"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SE270AA","OK",TRUE,24.1,15.4,30,TRUE,9
"SE270AB","OK",FALSE,20.6,16.3,30,TRUE,7
"SE270AD","OK",FALSE,17.5,18,30,TRUE,19
"SE270AE","OK",TRUE,17.7,14.8,30,TRUE,24
"SE270AF","OK",FALSE,18.9,13.8,30,TRUE,29
"SE270AG","OK",FALSE,19.2,15.4,30,TRUE,34
"SE270AH","OK",FALSE,25.1,8.4,30,TRUE,4
"SE270AJ","OK",FALSE,15.9,14.9,30,TRUE,21
"SE270AL","OK",FALSE,19.6,17.1,30,TRUE,33
"SE270AN","OK",FALSE,19.7,11.8,30,TRUE,11
"SE270AQ","OK",FALSE,14.5,14.8,17.8,TRUE,7
"SE270AR","OK",FALSE,10.8,10.6,18.5,TRUE,3
"SE270AS","OK",FALSE,21.6,14.6,30,TRUE,5
"SE270AT","OK",TRUE,12.7,12.5,30,TRUE,9
"SE270AU","OK",FALSE,20,13.5,30,TRUE,22
"SE270AW","No premises",NA,NA,NA,NA,FALSE,0
"SE270AX","OK",FALSE,11.9,10.4,15.5,FALSE,3
"SE270AY","OK",TRUE,16.7,15.4,30,TRUE,31
"SE270AZ","OK",TRUE,15.4,14,30,TRUE,12
"SE270BA","OK",FALSE,13.1,14.8,18,TRUE,6
"SE270BB","OK",FALSE,10.5,11.3,14.9,TRUE,6
"SE270BD","OK",FALSE,13.7,8.7,30,TRUE,5
"SE270BE","OK",FALSE,30,20,30,TRUE,21
"SE270BF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SE270BG","OK",FALSE,18.8,18.9,30,TRUE,18
"SE270BH","OK",FALSE,20,13.5,30,TRUE,47
"SE270BJ","OK",FALSE,26,16.8,30,TRUE,52
"SE270BL","OK",FALSE,26.8,15.7,30,TRUE,4
"SE270BN","OK",FALSE,13,8.8,30,TRUE,16
"SE270BP","OK",FALSE,10.9,13,13.3,FALSE,3
"SE270BQ","OK",FALSE,9.8,11.3,13.6,TRUE,4
"SE270BS","OK",FALSE,17.6,15.4,30,TRUE,11
"SE270BT","OK",TRUE,29,16.2,30,TRUE,47
"SE270BU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE270BW","OK",FALSE,26,17,30,TRUE,18
"SE270BX","OK",FALSE,12.6,13.2,19.7,TRUE,9
"SE270BY","OK",FALSE,20.5,14,30,TRUE,22
"SE270DA","No premises",NA,NA,NA,NA,FALSE,0
"SE270DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE270DF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE270DG","No premises",NA,NA,NA,NA,FALSE,0
"SE270DJ","OK",FALSE,14.7,14.7,18,TRUE,3
"SE270DL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE270DN","No Data",NA,NA,NA,NA,TRUE,0
"SE270DQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SE270DT","OK",FALSE,24.7,18.3,30,TRUE,12
"SE270DU","OK",TRUE,9.6,7.2,30,TRUE,18
"SE270DW","OK",FALSE,15.3,15.7,19.8,TRUE,18
"SE270DX","OK",TRUE,4.9,5,11.4,FALSE,37
"SE270DZ","OK",FALSE,29.9,11.7,30,TRUE,10
"SE270EA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SE270EB","OK",TRUE,10.7,8.1,30,TRUE,23
"SE270ED","OK",TRUE,12.8,6.9,30,TRUE,24
"SE270EE","OK",TRUE,5.5,5.9,11.3,TRUE,30
"SE270EF","OK",FALSE,12.4,5.6,30,TRUE,11
"SE270EG","OK",TRUE,10.5,7.1,30,TRUE,15
"SE270EJ","OK",FALSE,10.6,9.2,30,TRUE,16
"SE270EL","OK",FALSE,8,8,9.6,TRUE,6
"SE270EN","OK",TRUE,14.9,7.8,30,TRUE,10
"SE270EP","OK",FALSE,12.6,7.2,30,TRUE,12
"SE270EQ","OK",TRUE,6,6.2,8.6,TRUE,21
"SE270ER","OK",FALSE,11.2,7.2,30,TRUE,14
"SE270ES","OK",FALSE,12.1,6.7,30,TRUE,13
"SE270ET","OK",FALSE,7,7.7,9.2,TRUE,11
"SE270EU","OK",FALSE,12.3,6.1,30,TRUE,17
"SE270EW","OK",TRUE,4.9,4.6,10.2,TRUE,11
"SE270EX","OK",TRUE,5.7,5.9,9.3,FALSE,17
"SE270EY","OK",TRUE,6.4,7,12.3,FALSE,43
"SE270EZ","OK",TRUE,7.1,7.6,11,FALSE,37
"SE270FD","OK",FALSE,12.5,12.9,17.6,FALSE,6
"SE270FE","OK",FALSE,9.9,9.2,16.4,FALSE,9
"SE270GX","No premises",NA,NA,NA,NA,FALSE,0
"SE270HA","OK",TRUE,7.8,8.7,10.5,FALSE,16
"SE270HE","OK",FALSE,7.5,7.7,11.5,FALSE,20
"SE270HF","OK",TRUE,5.5,5.6,8.4,FALSE,22
"SE270HH","No premises",NA,NA,NA,NA,TRUE,0
"SE270HJ","OK",FALSE,8,7.7,11.5,FALSE,27
"SE270HL","OK",TRUE,6.1,6.5,9,FALSE,23
"SE270HN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE270HP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SE270HQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SE270HS","OK",TRUE,11.4,11.2,19.7,TRUE,16
"SE270HT","OK",FALSE,16.1,16,17.3,TRUE,4
"SE270HU","OK",FALSE,15.5,16.8,17.9,TRUE,5
