"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SG13AB","OK",FALSE,9.5,9.5,12.1,FALSE,10
"SG13AD","OK",TRUE,4.8,5.5,7.4,FALSE,59
"SG13AE","OK",TRUE,4.9,5.4,10.3,FALSE,74
"SG13AF","OK",FALSE,21,20,30,TRUE,16
"SG13AG","No Data",NA,NA,NA,NA,TRUE,0
"SG13AH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG13AL","No Data",NA,NA,NA,NA,TRUE,0
"SG13AN","OK",FALSE,14.1,9.6,30,TRUE,4
"SG13AP","OK",FALSE,8.3,8.7,13.3,FALSE,17
"SG13AQ","OK",FALSE,17,6.3,30,TRUE,7
"SG13AR","No premises",NA,NA,NA,NA,TRUE,0
"SG13AS","No premises",NA,NA,NA,NA,TRUE,0
"SG13AT","OK",FALSE,9.7,10.7,16.6,FALSE,69
"SG13AU","OK",FALSE,20.3,7.4,30,TRUE,6
"SG13AW","OK",FALSE,8.5,7.8,10.4,TRUE,3
"SG13AZ","No premises",NA,NA,NA,NA,TRUE,0
"SG13BB","OK",TRUE,10.4,5.2,30,TRUE,9
"SG13BE","No premises",NA,NA,NA,NA,TRUE,0
"SG13BF","OK",TRUE,8.9,5.7,30,TRUE,10
"SG13BG","OK",TRUE,30,30,30,TRUE,14
"SG13BH","OK",FALSE,27.3,30,30,TRUE,9
"SG13BJ","OK",FALSE,30,30,30,TRUE,4
"SG13BL","OK",TRUE,20.8,10.8,30,TRUE,13
"SG13BN","OK",TRUE,30,30,30,TRUE,6
"SG13BP","OK",FALSE,30,30,30,TRUE,10
"SG13BQ","OK",FALSE,7.6,7.8,11.7,FALSE,30
"SG13BS","OK",FALSE,24.6,20,30,TRUE,5
"SG13BT","OK",TRUE,5.1,5.8,7.3,FALSE,62
"SG13BU","No premises",NA,NA,NA,NA,FALSE,0
"SG13BW","OK",TRUE,14.4,13.2,30,TRUE,11
"SG13BX","OK",FALSE,6.9,6.5,12.3,TRUE,5
"SG13BY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SG13BY","No Data",NA,NA,NA,NA,FALSE,0
"SG13BZ","OK",TRUE,3.6,3.9,5.8,TRUE,4
"SG13DB","OK",FALSE,5.8,5,7.6,TRUE,3
"SG13DF","OK",FALSE,30,20,30,TRUE,22
"SG13DG","OK",FALSE,6.4,7,8.5,TRUE,10
"SG13DJ","OK",FALSE,29.5,30,30,TRUE,16
"SG13DL","OK",FALSE,10.7,10.1,12.2,FALSE,5
"SG13DR","No premises",NA,NA,NA,NA,FALSE,0
"SG13DS","OK",TRUE,15,5.9,30,TRUE,15
"SG13DT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG13DW","OK",FALSE,16.6,8.4,30,TRUE,12
"SG13DX","OK",FALSE,9,7.9,20,TRUE,9
"SG13EA","OK",TRUE,18.1,6.9,30,TRUE,13
"SG13EB","OK",FALSE,8.8,8.9,10.3,FALSE,7
"SG13EE","OK",FALSE,6.1,6.1,8.9,TRUE,11
"SG13EF","OK",TRUE,11.8,9.8,30,TRUE,9
"SG13EH","No premises",NA,NA,NA,NA,TRUE,0
"SG13EJ","OK",FALSE,20.4,20,30,TRUE,13
"SG13EN","OK",TRUE,13.2,9.7,30,TRUE,18
"SG13ER","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG13ES","OK",TRUE,28.3,30,30,TRUE,20
"SG13ET","OK",FALSE,24.2,16.9,30,TRUE,5
"SG13EU","OK",TRUE,24.1,30,30,TRUE,5
"SG13EW","OK",FALSE,30,20,30,TRUE,10
"SG13EX","OK",TRUE,30,25,30,TRUE,22
"SG13EY","OK",TRUE,29.6,30,30,TRUE,17
"SG13EZ","OK",FALSE,30,30,30,TRUE,16
"SG13FD","OK",TRUE,6.9,4.5,30,TRUE,12
"SG13GA","OK",FALSE,30,30,30,TRUE,3
"SG13HA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13HA","No Data",NA,NA,NA,NA,TRUE,0
"SG13HD","OK",FALSE,30,30,30,TRUE,7
"SG13HE","OK",TRUE,23.2,6.8,30,TRUE,14
"SG13HF","No premises",NA,NA,NA,NA,FALSE,0
"SG13HG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG13HH","OK",FALSE,2.8,2.7,3.8,TRUE,6
"SG13HJ","OK",TRUE,20.9,12.5,30,TRUE,24
"SG13HP","OK",FALSE,18.9,7.8,30,TRUE,21
"SG13HQ","OK",FALSE,30,30,30,TRUE,9
"SG13HR","OK",TRUE,9.3,7.7,30,TRUE,14
"SG13HS","OK",FALSE,23.7,14.6,30,TRUE,11
"SG13HT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13HT","No Data",NA,NA,NA,NA,TRUE,0
"SG13HU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13HU","No Data",NA,NA,NA,NA,TRUE,0
"SG13HW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SG13HW","No Data",NA,NA,NA,NA,FALSE,0
"SG13JA","OK",FALSE,18.1,20,30,TRUE,16
"SG13JB","OK",FALSE,30,20,30,TRUE,21
"SG13JD","OK",FALSE,21.3,10.5,30,TRUE,10
"SG13JE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13JE","No Data",NA,NA,NA,NA,TRUE,0
"SG13JF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG13JG","OK",FALSE,15.9,13.9,30,TRUE,4
"SG13JH","OK",TRUE,29.6,11,30,TRUE,12
"SG13JJ","OK",TRUE,19,20,30,TRUE,27
"SG13JL","OK",FALSE,23.4,20,30,TRUE,18
"SG13JN","OK",FALSE,29.9,20,30,TRUE,7
"SG13JP","OK",TRUE,30,25,30,TRUE,7
"SG13JQ","OK",FALSE,13,9.8,30,TRUE,18
"SG13JR","OK",FALSE,30,30,30,TRUE,22
"SG13JS","OK",FALSE,17.3,13.1,30,TRUE,10
"SG13JT","OK",FALSE,26.7,20,30,TRUE,11
"SG13JU","OK",FALSE,30,20,30,TRUE,52
"SG13JX","OK",TRUE,25.4,20,30,TRUE,30
"SG13JY","OK",FALSE,10.5,9.6,20,TRUE,4
"SG13JZ","OK",FALSE,25.3,20,30,TRUE,27
"SG13LA","OK",FALSE,29.8,20,30,TRUE,18
"SG13LB","OK",FALSE,30,30,30,TRUE,31
"SG13LE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13LE","No Data",NA,NA,NA,NA,TRUE,0
"SG13LF","OK",FALSE,27.2,20,30,TRUE,15
"SG13LJ","OK",FALSE,10.2,8.1,14.3,TRUE,4
"SG13LL","OK",FALSE,30,30,30,TRUE,8
"SG13LP","OK",TRUE,27,18.3,30,TRUE,13
"SG13LQ","OK",FALSE,21.7,20,30,TRUE,5
"SG13LR","OK",FALSE,27.8,20,30,TRUE,24
"SG13LS","OK",FALSE,30,20,30,TRUE,36
"SG13LT","OK",FALSE,29.8,25,30,TRUE,14
"SG13LU","OK",FALSE,30,20.7,30,TRUE,9
"SG13LX","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SG13LY","OK",FALSE,30,30,30,TRUE,4
"SG13LZ","OK",FALSE,24.8,15.7,30,TRUE,9
"SG13NA","OK",FALSE,30,20,30,TRUE,21
"SG13NB","OK",FALSE,24.8,20,30,TRUE,16
"SG13ND","OK",FALSE,25,16.9,30,TRUE,18
"SG13NE","OK",FALSE,27.2,25,30,TRUE,16
"SG13NG","OK",FALSE,30,20,30,TRUE,5
"SG13NH","OK",FALSE,24.4,14.2,30,TRUE,20
"SG13NJ","OK",FALSE,30,20,30,TRUE,18
"SG13NL","OK",FALSE,24,19.6,30,TRUE,21
"SG13NQ","OK",FALSE,30,13.5,30,TRUE,12
"SG13NT","OK",TRUE,28.5,20,30,TRUE,19
"SG13NU","OK",FALSE,29.5,23.5,30,TRUE,27
"SG13NX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG13NY","OK",FALSE,30,16.3,30,TRUE,7
"SG13NZ","OK",FALSE,30,30,30,TRUE,5
"SG13PA","OK",FALSE,20.4,20,30,TRUE,11
"SG13PB","OK",FALSE,30,30,30,TRUE,15
"SG13PE","OK",FALSE,25.4,20,30,TRUE,15
"SG13PF","OK",FALSE,20,15.1,30,TRUE,13
"SG13PG","OK",FALSE,27.2,23.3,30,TRUE,17
"SG13PH","OK",TRUE,30,24,30,TRUE,13
"SG13PJ","OK",TRUE,28.3,30,30,TRUE,17
"SG13PL","OK",FALSE,21.1,20,30,TRUE,24
"SG13PN","OK",FALSE,18.7,14.3,30,TRUE,7
"SG13PP","OK",FALSE,25.3,13.6,30,TRUE,25
"SG13PQ","No premises",NA,NA,NA,NA,FALSE,0
"SG13PR","OK",TRUE,11.4,12.5,20,TRUE,4
"SG13PS","OK",TRUE,19.9,20,30,TRUE,20
"SG13PT","OK",FALSE,15.6,9,30,TRUE,29
"SG13PU","OK",FALSE,30,29.9,30,TRUE,8
"SG13PW","OK",FALSE,5.4,5.6,8.5,TRUE,11
"SG13PX","OK",TRUE,21.9,12.9,30,TRUE,16
"SG13PY","OK",FALSE,30,20,30,TRUE,19
"SG13PZ","OK",FALSE,30,30,30,TRUE,3
"SG13QA","OK",TRUE,21.5,5.3,30,TRUE,17
"SG13QD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13QD","No Data",NA,NA,NA,NA,TRUE,0
"SG13QE","OK",FALSE,24,20,30,TRUE,25
"SG13QF","OK",FALSE,30,20,30,TRUE,22
"SG13QH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG13QH","No Data",NA,NA,NA,NA,TRUE,0
"SG13QP","Insufficient Data",NA,NA,NA,NA,TRUE,2
