"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SK38AB","OK",FALSE,18.2,18.3,19.8,TRUE,3
"SK38AD","No premises",NA,NA,NA,NA,TRUE,0
"SK38AS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SK38AX","OK",TRUE,11.2,11.8,20.9,TRUE,6
"SK38BA","No premises",NA,NA,NA,NA,TRUE,0
"SK38BD","OK",FALSE,17.1,14.7,30,TRUE,4
"SK38BH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SK38BP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SK38BQ","No premises",NA,NA,NA,NA,TRUE,0
"SK38DN","OK",FALSE,13.1,11.1,30,TRUE,7
"SK38DR","OK",FALSE,30,20,30,TRUE,13
"SK38DT","OK",FALSE,22.9,17.9,30,TRUE,20
"SK38DU","OK",FALSE,28.9,20,30,TRUE,12
"SK38DW","OK",FALSE,20.8,17.5,30,TRUE,24
"SK38DX","OK",TRUE,24.5,15.9,30,TRUE,40
"SK38DY","OK",FALSE,29.7,20,30,TRUE,41
"SK38DZ","OK",FALSE,25.4,15.8,30,TRUE,30
"SK38EA","OK",FALSE,20.5,13.2,30,TRUE,11
"SK38EB","OK",TRUE,23.6,20,30,TRUE,31
"SK38ED","OK",FALSE,27.2,20,30,TRUE,21
"SK38EE","OK",TRUE,23.4,16.5,30,TRUE,30
"SK38EF","No premises",NA,NA,NA,NA,TRUE,0
"SK38EG","OK",FALSE,11.5,12.5,15.1,TRUE,10
"SK38EH","OK",TRUE,4.2,4.2,9.2,FALSE,41
"SK38EJ","OK",FALSE,29.1,13.9,30,TRUE,18
"SK38EN","OK",TRUE,4.9,5,9.1,FALSE,28
"SK38EQ","OK",TRUE,20.9,13.3,30,TRUE,17
"SK38GD","OK",TRUE,23.2,7.9,30,TRUE,11
"SK38GN","OK",TRUE,16,6.9,30,TRUE,41
"SK38HA","OK",TRUE,21.5,7.3,30,TRUE,12
"SK38HB","No premises",NA,NA,NA,NA,TRUE,0
"SK38HD","OK",TRUE,26,20,30,TRUE,17
"SK38HE","OK",TRUE,24.2,20,30,TRUE,23
"SK38HG","OK",TRUE,18.7,20,30,TRUE,47
"SK38HH","OK",TRUE,19.4,8.1,30,TRUE,45
"SK38HJ","OK",TRUE,25.1,25,30,TRUE,6
"SK38HL","OK",TRUE,19.8,20,30,TRUE,50
"SK38HN","OK",FALSE,26.4,20,30,TRUE,21
"SK38HP","OK",TRUE,17.3,20,30,TRUE,10
"SK38HQ","OK",TRUE,26.8,20,30,TRUE,26
"SK38HR","OK",FALSE,25,30,30,TRUE,20
"SK38HS","OK",FALSE,21.8,6.7,30,TRUE,12
"SK38HT","OK",FALSE,30,30,30,TRUE,3
"SK38HW","OK",FALSE,30,30,30,TRUE,4
"SK38HX","OK",FALSE,30,30,30,TRUE,4
"SK38HZ","OK",FALSE,30,30,30,TRUE,22
"SK38JB","No Data",NA,NA,NA,NA,TRUE,0
"SK38JD","OK",FALSE,29,20,30,TRUE,3
"SK38JE","OK",FALSE,10.5,11.3,14.7,TRUE,5
"SK38JF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SK38JG","OK",FALSE,23.8,16.8,30,TRUE,12
"SK38JH","OK",FALSE,26.1,30,30,TRUE,9
"SK38JJ","OK",TRUE,23.2,17.6,30,TRUE,41
"SK38JL","OK",FALSE,30,20,30,TRUE,12
"SK38JN","OK",FALSE,21.1,16,30,TRUE,19
"SK38JP","OK",TRUE,21.2,20,30,TRUE,39
"SK38JR","OK",FALSE,17.3,13.3,30,TRUE,30
"SK38JS","OK",FALSE,24,20,30,TRUE,22
"SK38JW","OK",FALSE,30,30,30,TRUE,6
"SK38JY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SK38JZ","OK",TRUE,26.5,3,30,TRUE,13
"SK38LA","OK",TRUE,9.5,3.7,30,TRUE,4
"SK38LB","OK",TRUE,30,4,30,TRUE,31
"SK38LD","OK",TRUE,10.2,3.1,30,TRUE,14
"SK38LF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SK38LH","OK",FALSE,28.6,20,30,TRUE,38
"SK38LJ","OK",FALSE,26.4,12.3,30,TRUE,15
"SK38LL","OK",FALSE,18.2,15.3,30,TRUE,20
"SK38LN","OK",FALSE,14.3,9.7,30,TRUE,20
"SK38LP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SK38LQ","OK",TRUE,30,20,30,TRUE,46
"SK38LR","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SK38LS","OK",FALSE,30,4.4,30,TRUE,12
"SK38LT","OK",FALSE,22.6,6,30,TRUE,8
"SK38LU","OK",TRUE,23.2,20,30,TRUE,12
"SK38LW","OK",FALSE,22.9,20,30,TRUE,23
"SK38LX","OK",TRUE,20.6,4.4,30,TRUE,13
"SK38LY","OK",TRUE,22.1,13.4,30,TRUE,37
"SK38LZ","OK",TRUE,21.2,6.2,30,TRUE,18
"SK38NA","OK",TRUE,30,25,30,TRUE,16
"SK38NB","OK",TRUE,26.3,20,30,TRUE,34
"SK38ND","OK",TRUE,20.9,13,30,TRUE,10
"SK38NE","OK",TRUE,28.8,30,30,TRUE,21
"SK38NF","OK",FALSE,28.2,4.1,30,TRUE,35
"SK38NG","OK",FALSE,22.3,3.9,30,TRUE,6
"SK38NH","OK",TRUE,24.5,6.2,30,TRUE,36
"SK38NJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SK38NL","OK",FALSE,8.6,3.9,20,TRUE,7
"SK38NN","OK",TRUE,17.1,13.1,30,TRUE,8
"SK38NP","OK",FALSE,24.7,6.1,30,TRUE,16
"SK38NQ","OK",TRUE,22.6,3.3,30,TRUE,27
"SK38NR","OK",FALSE,30,30,30,TRUE,10
"SK38NS","OK",TRUE,24.3,20,30,TRUE,17
"SK38NU","OK",TRUE,25.3,3.6,30,TRUE,13
"SK38NY","OK",FALSE,26.1,9.9,30,TRUE,4
"SK38NZ","OK",FALSE,20.6,5.8,30,TRUE,9
"SK38PA","OK",FALSE,21.5,13.5,30,TRUE,15
"SK38PB","OK",FALSE,25.8,20,30,TRUE,12
"SK38PD","OK",FALSE,30,20,30,TRUE,6
"SK38PE","OK",TRUE,30,30,30,TRUE,24
"SK38PF","OK",TRUE,17.8,8.1,30,TRUE,19
"SK38PG","OK",TRUE,23.1,8.7,30,TRUE,22
"SK38PH","OK",FALSE,22.4,6.9,30,TRUE,12
"SK38PJ","OK",TRUE,14.9,6.4,30,TRUE,18
"SK38PL","OK",FALSE,25.2,20,30,TRUE,12
"SK38PN","OK",FALSE,30,30,30,TRUE,14
"SK38PP","OK",TRUE,25.1,20,30,TRUE,19
"SK38PQ","OK",FALSE,30,7.3,30,TRUE,20
"SK38PR","OK",TRUE,21.9,12.8,30,TRUE,25
"SK38PS","OK",TRUE,17.7,6.1,30,TRUE,13
"SK38PT","OK",FALSE,24.7,20,30,TRUE,7
"SK38PU","OK",TRUE,27.9,30,30,TRUE,18
"SK38PW","No Data",NA,NA,NA,NA,TRUE,0
"SK38PX","OK",FALSE,21.6,20,30,TRUE,27
"SK38PY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SK38QA","OK",TRUE,20.6,6.9,30,TRUE,35
"SK38QD","OK",TRUE,20.8,8.3,30,TRUE,14
"SK38QE","OK",FALSE,22.8,20,30,TRUE,10
"SK38QF","OK",FALSE,26.6,20,30,TRUE,15
"SK38QG","OK",FALSE,30,30,30,TRUE,5
"SK38QH","OK",FALSE,30,30,30,TRUE,8
"SK38QJ","OK",FALSE,25.7,20,30,TRUE,20
"SK38QN","OK",FALSE,19.2,19.2,20,TRUE,3
"SK38QP","OK",FALSE,30,25,30,TRUE,9
"SK38QQ","OK",FALSE,12,6.9,30,TRUE,10
"SK38QR","OK",FALSE,21.4,8.1,30,TRUE,9
"SK38QS","OK",TRUE,21.6,13,30,TRUE,19
"SK38QT","OK",TRUE,17.8,11,30,TRUE,23
"SK38QU","OK",TRUE,19.4,13.6,30,TRUE,44
"SK38QW","OK",FALSE,22.3,14.3,30,TRUE,12
