"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SL12AA","OK",TRUE,23.9,18.3,30,TRUE,8
"SL12AB","OK",FALSE,16.5,14.5,30,TRUE,6
"SL12AD","OK",FALSE,30,17.5,30,TRUE,17
"SL12AE","OK",FALSE,20.4,12.5,30,TRUE,21
"SL12AF","OK",FALSE,10.9,12,17.8,TRUE,6
"SL12AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL12AG","No Data",NA,NA,NA,NA,TRUE,0
"SL12AH","OK",FALSE,27,18.6,30,TRUE,7
"SL12AJ","OK",FALSE,28.1,23.9,30,TRUE,4
"SL12AL","OK",FALSE,25.7,18,30,TRUE,17
"SL12AN","OK",FALSE,14.2,16.3,17.6,TRUE,4
"SL12AP","OK",FALSE,19,15.6,30,TRUE,20
"SL12AQ","No premises",NA,NA,NA,NA,TRUE,0
"SL12AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL12AR","No Data",NA,NA,NA,NA,TRUE,0
"SL12AS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL12AS","No Data",NA,NA,NA,NA,TRUE,0
"SL12AT","OK",FALSE,23.6,16.4,30,TRUE,5
"SL12AU","OK",FALSE,30,17.8,30,TRUE,12
"SL12AW","OK",FALSE,30,17.7,30,TRUE,21
"SL12AX","OK",FALSE,27.8,15.6,30,TRUE,14
"SL12AY","OK",FALSE,20.5,12.9,30,TRUE,22
"SL12AZ","OK",FALSE,13.2,12,21,TRUE,5
"SL12BA","OK",FALSE,20.4,13.9,30,TRUE,18
"SL12BB","OK",FALSE,12.2,13.6,15.5,TRUE,9
"SL12BD","OK",FALSE,30,30,30,TRUE,4
"SL12BE","OK",FALSE,10.3,10.4,17.5,TRUE,5
"SL12BG","OK",FALSE,29.5,18.1,30,TRUE,17
"SL12BJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL12BJ","No Data",NA,NA,NA,NA,TRUE,0
"SL12BL","OK",FALSE,30,18.2,30,TRUE,5
"SL12BN","OK",FALSE,13.5,14.3,19.8,TRUE,8
"SL12BQ","No Data",NA,NA,NA,NA,TRUE,0
"SL12BU","OK",FALSE,26.3,11.6,30,TRUE,16
"SL12BW","OK",FALSE,22.2,14.3,30,TRUE,9
"SL12BX","OK",TRUE,13.7,14.3,30,TRUE,5
"SL12BY","OK",FALSE,14.9,15.6,19.9,TRUE,12
"SL12DA","OK",TRUE,18.1,9.7,30,TRUE,72
"SL12DB","OK",TRUE,17.3,6.9,30,TRUE,10
"SL12DD","OK",FALSE,14.3,7.8,30,TRUE,3
"SL12DE","OK",FALSE,9,7.8,30,TRUE,16
"SL12DF","OK",FALSE,13.2,10,30,TRUE,4
"SL12DG","OK",TRUE,19.3,7,30,TRUE,18
"SL12DN","OK",FALSE,20.3,12.3,30,TRUE,27
"SL12DP","OK",TRUE,11.1,9.5,30,TRUE,10
"SL12DQ","No premises",NA,NA,NA,NA,TRUE,0
"SL12DR","OK",FALSE,23.1,19.3,30,TRUE,4
"SL12DS","OK",FALSE,11.9,11.2,20,TRUE,5
"SL12DT","OK",FALSE,24.5,9.5,30,TRUE,24
"SL12DU","OK",FALSE,20.1,5.9,30,TRUE,7
"SL12DX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL12DX","No Data",NA,NA,NA,NA,TRUE,0
"SL12DY","OK",FALSE,20.3,10.7,30,TRUE,20
"SL12DZ","OK",FALSE,20.2,17,30,TRUE,10
"SL12EA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL12EA","No Data",NA,NA,NA,NA,TRUE,0
"SL12EB","No premises",NA,NA,NA,NA,TRUE,0
"SL12ED","OK",TRUE,18.8,6.6,30,TRUE,4
"SL12EE","OK",FALSE,10.7,11.4,12.7,TRUE,4
"SL12EG","OK",FALSE,15.1,11.4,30,TRUE,41
"SL12EJ","OK",FALSE,12.7,12.4,18.2,TRUE,8
"SL12EL","No Data",NA,NA,NA,NA,TRUE,0
"SL12EP","OK",FALSE,25.2,12.8,30,TRUE,20
"SL12ER","No Data",NA,NA,NA,NA,TRUE,0
"SL12ES","OK",TRUE,24.3,3.9,30,TRUE,7
"SL12ET","OK",FALSE,23.5,13.6,30,TRUE,11
"SL12EY","No premises",NA,NA,NA,NA,FALSE,0
"SL12EZ","OK",FALSE,14.4,10.9,30,TRUE,69
"SL12GB","OK",FALSE,23.6,20,30,TRUE,29
"SL12GD","OK",FALSE,7.6,8.1,10.2,TRUE,9
"SL12GE","OK",FALSE,6.3,5.9,9.8,TRUE,4
"SL12GF","OK",FALSE,9,8.2,19.9,TRUE,13
"SL12GG","OK",FALSE,10.8,11.3,16.5,FALSE,26
"SL12GX","No premises",NA,NA,NA,NA,FALSE,0
"SL12HD","OK",FALSE,30,17.4,30,TRUE,3
"SL12HE","No premises",NA,NA,NA,NA,TRUE,0
"SL12HF","No premises",NA,NA,NA,NA,TRUE,0
"SL12HH","No premises",NA,NA,NA,NA,TRUE,0
"SL12HJ","No premises",NA,NA,NA,NA,TRUE,0
"SL12HP","OK",TRUE,20.1,15.6,30,TRUE,21
"SL12HR","OK",FALSE,30,17.8,30,TRUE,22
