"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SL60AA","OK",FALSE,15.5,11.3,30,TRUE,6
"SL60AB","OK",FALSE,20.9,11.8,30,TRUE,5
"SL60AD","OK",TRUE,30,30,30,TRUE,7
"SL60AG","OK",TRUE,10.2,6.6,30,TRUE,8
"SL60AH","OK",TRUE,25.4,30,30,TRUE,10
"SL60AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL60AJ","No Data",NA,NA,NA,NA,TRUE,0
"SL60AP","OK",TRUE,11.8,7.3,30,TRUE,21
"SL60AR","OK",FALSE,20.5,11.1,30,TRUE,9
"SL60AS","OK",FALSE,26,14.3,30,TRUE,18
"SL60AT","OK",FALSE,14.9,7.5,30,TRUE,5
"SL60AU","OK",FALSE,21,12.2,30,TRUE,21
"SL60AX","OK",FALSE,27.1,16.8,30,TRUE,12
"SL60AY","OK",FALSE,30,30,30,TRUE,6
"SL60AZ","OK",FALSE,10.9,12.3,13.9,TRUE,4
"SL60BA","OK",FALSE,19.5,10,30,TRUE,24
"SL60BB","OK",FALSE,18.2,8.2,30,TRUE,20
"SL60BG","OK",FALSE,14.3,8.3,30,TRUE,20
"SL60BW","No premises",NA,NA,NA,NA,TRUE,0
"SL60DA","OK",TRUE,15.4,5.7,30,TRUE,19
"SL60DB","OK",FALSE,14.3,10.5,29.4,TRUE,10
"SL60DD","OK",TRUE,7.1,5.6,22.5,TRUE,8
"SL60DE","OK",TRUE,25.2,4.6,30,TRUE,22
"SL60DF","OK",TRUE,11.9,5.1,30,TRUE,19
"SL60DH","OK",FALSE,9.3,5.2,30,TRUE,12
"SL60DL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SL60DN","OK",TRUE,2.4,2.1,3.9,TRUE,5
"SL60DQ","OK",FALSE,4.7,4,7,TRUE,4
"SL60DR","OK",TRUE,2,1.8,4.1,TRUE,14
"SL60DS","OK",TRUE,2.1,2.1,3.8,TRUE,23
"SL60DT","OK",TRUE,2.4,1.5,12.9,TRUE,27
"SL60DU","OK",TRUE,3.1,1.7,16.5,TRUE,19
"SL60DW","OK",TRUE,2.7,1.7,9.7,TRUE,8
"SL60DX","OK",TRUE,1.9,1.7,3.9,TRUE,14
"SL60DY","OK",TRUE,1.9,1.8,4.1,TRUE,16
"SL60DZ","OK",TRUE,2.9,1.9,13.7,TRUE,10
"SL60EA","OK",FALSE,29.5,30,30,TRUE,6
"SL60EB","OK",TRUE,1.5,1.2,3.1,TRUE,6
"SL60EE","OK",TRUE,2.4,1.9,5,TRUE,8
"SL60EF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL60EF","No Data",NA,NA,NA,NA,TRUE,0
"SL60EH","OK",FALSE,14,7.5,30,TRUE,8
"SL60EL","OK",FALSE,11.8,6.1,29.2,TRUE,7
"SL60EP","OK",FALSE,12.2,3.8,28.7,TRUE,6
"SL60ER","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL60ER","No Data",NA,NA,NA,NA,TRUE,0
"SL60ES","OK",TRUE,5.8,4.6,11.7,FALSE,8
"SL60ET","OK",TRUE,7.5,5.9,30,TRUE,26
"SL60EU","OK",TRUE,10.1,5.1,29.2,TRUE,16
"SL60EX","OK",FALSE,6.2,5.5,10.4,FALSE,11
"SL60EY","OK",TRUE,3.6,3.9,6.1,FALSE,4
"SL60EZ","OK",FALSE,5.2,5,10.1,FALSE,14
"SL60GA","OK",TRUE,2.6,2.9,4.6,FALSE,35
"SL60GB","OK",TRUE,2.8,3.1,4.3,FALSE,33
"SL60HA","OK",FALSE,8.6,8.7,12.5,FALSE,8
"SL60HB","OK",FALSE,7.5,7,8.5,FALSE,3
"SL60HD","OK",FALSE,9.8,9.3,14.1,FALSE,5
"SL60HE","OK",TRUE,7.3,9.2,11.9,FALSE,5
"SL60HF","OK",TRUE,7.7,7.9,12.6,FALSE,30
"SL60HG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SL60HH","OK",FALSE,5,6,6.5,FALSE,3
"SL60HJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60HJ","No Data",NA,NA,NA,NA,FALSE,0
"SL60HL","OK",TRUE,2.3,2,4.6,FALSE,13
"SL60HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60HP","No Data",NA,NA,NA,NA,FALSE,0
"SL60HQ","OK",FALSE,5.8,5.6,7.8,FALSE,3
"SL60HR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SL60HS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60HS","No Data",NA,NA,NA,NA,FALSE,0
"SL60HT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60HT","No Data",NA,NA,NA,NA,FALSE,0
"SL60HW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60HW","No Data",NA,NA,NA,NA,FALSE,0
"SL60HX","OK",TRUE,4.5,3.7,11.3,TRUE,12
"SL60JA","OK",TRUE,2.2,2.2,2.3,FALSE,5
"SL60JB","OK",TRUE,2.7,2.6,5.1,FALSE,15
"SL60JD","OK",TRUE,5.8,6.3,9.7,FALSE,10
"SL60JE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60JE","No Data",NA,NA,NA,NA,FALSE,0
"SL60JF","No premises",NA,NA,NA,NA,FALSE,0
"SL60JH","OK",TRUE,24,20.3,30,TRUE,13
"SL60JJ","OK",FALSE,15.6,7.7,30,TRUE,3
"SL60JL","OK",TRUE,12.6,5.1,30,TRUE,8
"SL60JN","OK",TRUE,24.7,25.8,30,TRUE,23
"SL60JP","OK",TRUE,13.9,6.3,30,TRUE,14
"SL60JQ","OK",FALSE,6.2,6.4,7.2,TRUE,7
"SL60JR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL60JR","No Data",NA,NA,NA,NA,TRUE,0
"SL60JS","OK",TRUE,23.1,9.9,30,TRUE,25
"SL60JT","OK",TRUE,24.1,8.1,30,TRUE,12
"SL60JU","OK",TRUE,24.7,7,30,TRUE,29
"SL60JW","OK",TRUE,14.5,4.3,30,TRUE,27
"SL60JX","OK",TRUE,15.3,6.1,30,TRUE,11
"SL60JY","OK",TRUE,6.2,5.7,12.5,TRUE,9
"SL60JZ","OK",TRUE,15.1,7.4,30,TRUE,18
"SL60LA","OK",FALSE,8.9,6,30,TRUE,10
"SL60LB","OK",TRUE,28.2,21.4,30,TRUE,30
"SL60LD","OK",TRUE,15,10,30,TRUE,20
"SL60LE","OK",FALSE,22.8,9.1,30,TRUE,15
"SL60LF","OK",TRUE,14.6,6,30,TRUE,16
"SL60LG","OK",FALSE,25,14.6,30,TRUE,20
"SL60LH","OK",FALSE,14,7,30,TRUE,19
"SL60LJ","OK",TRUE,17.7,8.1,30,TRUE,16
"SL60LL","OK",TRUE,19.4,7.2,30,TRUE,14
"SL60LN","OK",FALSE,29.6,30,30,TRUE,27
"SL60LQ","OK",FALSE,10.9,6.3,30,TRUE,13
"SL60LR","OK",FALSE,22.5,22.7,30,TRUE,4
"SL60LS","OK",TRUE,18,4.8,30,TRUE,35
"SL60LT","OK",TRUE,18.1,5,30,TRUE,56
"SL60LU","OK",TRUE,23.2,12.6,30,TRUE,15
"SL60LW","OK",TRUE,16.7,5.4,30,TRUE,18
"SL60LX","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SL60LZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SL60NA","OK",FALSE,14.5,6.1,30,TRUE,45
"SL60NB","OK",TRUE,16.7,6.5,30,TRUE,39
"SL60ND","OK",FALSE,29.3,30,30,TRUE,3
"SL60NE","OK",FALSE,15.9,7.9,30,TRUE,17
"SL60NF","OK",TRUE,13.6,6.9,30,TRUE,37
"SL60NH","OK",TRUE,17.6,4.8,30,TRUE,31
"SL60NL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SL60NL","No Data",NA,NA,NA,NA,FALSE,0
"SL60NP","OK",TRUE,11.4,4.9,30,TRUE,5
"SL60NQ","OK",TRUE,15.3,6.1,30,TRUE,40
"SL60NR","OK",FALSE,23.4,23.4,30,TRUE,3
"SL60NS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SL60NT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL60NT","No Data",NA,NA,NA,NA,TRUE,0
"SL60NU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SL60NU","No Data",NA,NA,NA,NA,TRUE,0
"SL60NX","OK",FALSE,3.7,3.4,4.7,TRUE,3
"SL60NZ","OK",TRUE,24.3,30,30,TRUE,39
"SL60PA","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SL60PB","OK",TRUE,9.8,5,30,TRUE,16
"SL60PD","OK",FALSE,26.4,30,30,TRUE,11
"SL60PE","OK",FALSE,30,30,30,TRUE,9
"SL60PF","OK",TRUE,13.9,7.6,30,TRUE,20
"SL60PG","OK",TRUE,6.6,4.8,30,TRUE,13
"SL60PH","No premises",NA,NA,NA,NA,TRUE,0
