"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SM51AA","No premises",NA,NA,NA,NA,TRUE,0
"SM51AD","No premises",NA,NA,NA,NA,TRUE,0
"SM51AF","OK",FALSE,30,30,30,TRUE,22
"SM51AG","OK",TRUE,11.3,4.3,30,TRUE,44
"SM51AH","OK",TRUE,27.8,9.2,30,TRUE,18
"SM51AJ","OK",FALSE,6.1,6.6,7.2,TRUE,9
"SM51AL","OK",TRUE,15.5,4.8,30,TRUE,7
"SM51AP","OK",TRUE,19.5,20,30,TRUE,25
"SM51AR","OK",FALSE,14.1,8.2,30,TRUE,5
"SM51AU","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SM51AW","OK",TRUE,19.5,7.2,30,TRUE,41
"SM51AX","OK",TRUE,21.4,6.1,30,TRUE,23
"SM51AY","OK",TRUE,24.5,13.5,30,TRUE,25
"SM51AZ","OK",FALSE,23.5,20,30,TRUE,11
"SM51BD","OK",FALSE,14.2,20,20,TRUE,3
"SM51BH","OK",TRUE,19.9,6.1,30,TRUE,15
"SM51BJ","OK",TRUE,23.7,6.7,30,TRUE,25
"SM51BL","OK",FALSE,13,6,30,TRUE,9
"SM51BP","OK",FALSE,12.8,7.3,30,TRUE,6
"SM51BQ","OK",TRUE,29.4,6.8,30,TRUE,19
"SM51BS","OK",FALSE,26.5,7,30,TRUE,21
"SM51BT","OK",FALSE,25.2,25,30,TRUE,6
"SM51BU","OK",TRUE,16.7,6.8,30,TRUE,20
"SM51BX","OK",FALSE,23.3,13.5,30,TRUE,4
"SM51BY","OK",FALSE,30,20,30,TRUE,19
"SM51BZ","OK",FALSE,29.4,25,30,TRUE,8
"SM51DA","OK",FALSE,29.3,20,30,TRUE,24
"SM51DB","OK",FALSE,25.1,20,30,TRUE,19
"SM51DD","OK",FALSE,28.8,20,30,TRUE,9
"SM51DF","OK",TRUE,21.2,6.4,30,TRUE,29
"SM51DG","OK",TRUE,21.2,20,30,TRUE,11
"SM51DH","OK",TRUE,26.3,20,30,TRUE,19
"SM51DL","No premises",NA,NA,NA,NA,FALSE,0
"SM51DN","OK",FALSE,14.5,4.7,30,TRUE,7
"SM51DP","OK",FALSE,26.8,13.6,30,TRUE,20
"SM51DR","OK",FALSE,25,30,30,TRUE,3
"SM51DS","OK",TRUE,21.2,20,30,TRUE,13
"SM51DT","OK",TRUE,22,10.1,30,TRUE,32
"SM51DW","OK",TRUE,27,6,30,TRUE,27
"SM51DZ","OK",TRUE,28.5,9.5,30,TRUE,20
"SM51EA","OK",FALSE,14.8,8.4,30,TRUE,3
"SM51EE","OK",FALSE,26.9,20,30,TRUE,40
"SM51EH","OK",TRUE,30,7.9,30,TRUE,12
"SM51EJ","OK",TRUE,19.3,9.4,30,TRUE,28
"SM51EL","OK",FALSE,22.7,16.1,30,TRUE,14
"SM51EN","OK",FALSE,14.6,8.2,30,TRUE,17
