"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SN32AA","OK",TRUE,28.1,3.7,30,TRUE,13
"SN32AB","OK",TRUE,24.1,20,30,TRUE,34
"SN32AD","OK",TRUE,30,30,30,TRUE,11
"SN32AE","OK",TRUE,30,30,30,TRUE,28
"SN32AF","OK",FALSE,30,30,30,TRUE,4
"SN32AG","OK",TRUE,16.3,5.2,30,TRUE,19
"SN32AH","OK",TRUE,17.4,20,30,TRUE,17
"SN32AJ","OK",TRUE,15.1,4.1,30,TRUE,12
"SN32AL","OK",TRUE,20.9,20,30,TRUE,11
"SN32AN","OK",TRUE,25.5,20,30,TRUE,20
"SN32AP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SN32AQ","OK",TRUE,22.2,5,30,TRUE,15
"SN32AR","OK",TRUE,13.3,3.6,30,TRUE,7
"SN32AS","OK",TRUE,20.5,20,30,TRUE,7
"SN32AT","OK",TRUE,26.8,30,30,TRUE,5
"SN32AU","OK",TRUE,25.9,4.8,30,TRUE,15
"SN32AW","OK",TRUE,23.5,3.9,30,TRUE,9
"SN32AX","OK",TRUE,19.3,20,30,TRUE,7
"SN32AY","OK",TRUE,12,4.3,30,TRUE,4
"SN32AZ","OK",TRUE,20.1,5,30,TRUE,13
"SN32BA","OK",TRUE,17.5,5.4,30,TRUE,6
"SN32BB","OK",FALSE,25,25,30,FALSE,4
"SN32BD","OK",TRUE,16.6,4.1,30,TRUE,18
"SN32BE","OK",FALSE,7.9,4.1,20,TRUE,4
"SN32BG","OK",TRUE,17.6,4.7,30,TRUE,13
"SN32BH","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SN32BN","OK",TRUE,10.1,7.4,30,TRUE,33
"SN32BP","OK",FALSE,22.2,22.3,30,TRUE,4
"SN32BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SN32BQ","No Data",NA,NA,NA,NA,TRUE,0
"SN32BS","OK",FALSE,21.1,20,30,TRUE,16
"SN32BT","OK",TRUE,22.8,20,30,TRUE,6
"SN32BU","OK",TRUE,28,25,30,TRUE,4
"SN32BW","OK",TRUE,7.5,3.6,30,TRUE,9
