"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SP20AA","OK",FALSE,7.8,7.8,8.9,FALSE,3
"SP20AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SP20AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SP20AE","OK",TRUE,3.4,2.6,5.7,FALSE,3
"SP20AF","OK",FALSE,15.6,16.3,24,FALSE,5
"SP20AH","OK",FALSE,11.4,12.7,19.9,FALSE,10
"SP20AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SP20AL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SP20AN","OK",FALSE,7.5,8.2,10.4,FALSE,4
"SP20AP","OK",FALSE,7.8,7.8,7.8,FALSE,4
"SP20AT","OK",FALSE,8.9,8.9,9.7,FALSE,3
"SP20AU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SP20AW","OK",FALSE,11.7,9.7,16.7,FALSE,8
"SP20AX","OK",FALSE,10.6,9.3,16.1,FALSE,8
"SP20AY","No premises",NA,NA,NA,NA,FALSE,0
"SP20AZ","OK",FALSE,15.4,16.1,21.2,FALSE,5
"SP20BA","OK",TRUE,12.9,11.5,20.4,TRUE,14
"SP20BB","No premises",NA,NA,NA,NA,FALSE,0
"SP20BD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SP20BE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SP20BF","OK",TRUE,7.8,7.8,11.2,TRUE,10
"SP20BG","OK",FALSE,17.9,19,30,TRUE,20
"SP20BH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SP20BJ","OK",FALSE,10.9,9.4,17.9,FALSE,11
"SP20BL","OK",FALSE,27.2,15.9,30,TRUE,25
"SP20BN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SP20BP","OK",TRUE,13.3,15.3,18.6,FALSE,7
