"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SR34AA","OK",TRUE,27.4,20,30,TRUE,31
"SR34AD","No premises",NA,NA,NA,NA,FALSE,0
"SR34AG","OK",FALSE,7.5,7.5,8.8,TRUE,3
"SR34AH","No premises",NA,NA,NA,NA,TRUE,0
"SR34AJ","OK",FALSE,30,20,30,TRUE,13
"SR34AL","OK",FALSE,30,20,30,TRUE,19
"SR34AN","OK",TRUE,19.2,16.4,30,TRUE,21
"SR34AP","OK",FALSE,25.4,19.1,30,TRUE,31
"SR34AR","OK",TRUE,27.9,20,30,TRUE,29
"SR34AS","OK",FALSE,24.5,19.3,30,TRUE,32
"SR34AT","OK",FALSE,23.7,20,30,TRUE,29
"SR34AU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34AW","OK",FALSE,30,16.5,30,TRUE,11
"SR34AX","OK",FALSE,30,30,30,TRUE,17
"SR34AY","OK",FALSE,28.3,30,30,TRUE,8
"SR34AZ","OK",FALSE,19.9,19.8,30,TRUE,18
"SR34BA","OK",TRUE,30,22.9,30,TRUE,18
"SR34BB","OK",FALSE,30,22,30,TRUE,23
"SR34BD","OK",FALSE,30,30,30,TRUE,11
"SR34BE","OK",FALSE,30,30,30,TRUE,5
"SR34BG","OK",FALSE,29.5,20.7,30,TRUE,19
"SR34BH","OK",FALSE,26.7,20.5,30,TRUE,21
"SR34BJ","OK",FALSE,26.4,25,30,TRUE,6
"SR34BQ","OK",FALSE,30,25,30,TRUE,4
"SR34BX","OK",TRUE,30,30,30,TRUE,4
"SR34BY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SR34BY","No Data",NA,NA,NA,NA,TRUE,0
"SR34DE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SR34DE","No Data",NA,NA,NA,NA,TRUE,0
"SR34DF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SR34DG","OK",FALSE,20.9,20,30,TRUE,9
"SR34DH","OK",FALSE,30,30,30,TRUE,13
"SR34DJ","OK",TRUE,22.4,18,30,TRUE,12
"SR34DL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34DN","OK",FALSE,23.8,20,30,TRUE,9
"SR34DP","OK",FALSE,22.2,18.2,30,TRUE,12
"SR34DQ","OK",FALSE,30,30,30,TRUE,7
"SR34DR","OK",FALSE,22,20,30,TRUE,4
"SR34DS","OK",FALSE,30,30,30,TRUE,10
"SR34DT","OK",FALSE,23.2,30,30,TRUE,3
"SR34DU","OK",FALSE,20.9,20,30,TRUE,14
"SR34DW","OK",FALSE,27,12.8,30,TRUE,3
"SR34DX","OK",FALSE,20.1,15.4,30,TRUE,8
"SR34DY","OK",TRUE,23.1,20,30,TRUE,18
"SR34DZ","OK",FALSE,24.3,30,30,TRUE,11
"SR34EA","OK",FALSE,22.3,16.3,30,TRUE,10
"SR34EB","OK",FALSE,23.4,12,30,TRUE,16
"SR34ED","OK",FALSE,30,30,30,TRUE,13
"SR34EE","OK",TRUE,27.4,20,30,TRUE,35
"SR34EF","OK",FALSE,24.8,15.3,30,TRUE,15
"SR34EG","OK",TRUE,16.9,14.3,30,TRUE,9
"SR34EH","OK",FALSE,23.4,19.1,30,TRUE,21
"SR34EJ","OK",FALSE,26.3,20,30,TRUE,19
"SR34EL","OK",FALSE,23.8,18.4,30,TRUE,9
"SR34EN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SR34EP","OK",FALSE,18,13.5,30,TRUE,14
"SR34EQ","OK",FALSE,29.9,30,30,TRUE,10
"SR34ER","OK",TRUE,30,30,30,TRUE,17
"SR34ES","OK",TRUE,25.7,20,30,TRUE,22
"SR34ET","OK",FALSE,30,20,30,TRUE,6
"SR34EU","OK",FALSE,23.3,20,30,TRUE,18
"SR34EW","OK",FALSE,30,20,30,TRUE,25
"SR34EX","OK",FALSE,30,22,30,TRUE,8
"SR34EY","OK",TRUE,26.2,30,30,TRUE,9
"SR34EZ","OK",FALSE,30,24.1,30,TRUE,10
"SR34HA","OK",TRUE,30,20,30,TRUE,11
"SR34HB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34HD","OK",FALSE,30,30,30,TRUE,6
"SR34HE","OK",FALSE,24,20,30,TRUE,25
"SR34HF","OK",FALSE,28.6,20,30,TRUE,4
"SR34HG","No premises",NA,NA,NA,NA,TRUE,0
"SR34HP","OK",FALSE,25.4,22,30,TRUE,9
"SR34HR","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SR34HS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34HT","OK",TRUE,30,21.8,30,TRUE,13
"SR34HU","OK",FALSE,24.3,20,30,TRUE,14
"SR34HW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34HX","OK",FALSE,30,20.5,30,TRUE,19
"SR34HY","OK",FALSE,30,30,30,TRUE,8
"SR34HZ","OK",FALSE,30,29.2,30,TRUE,22
"SR34JA","OK",FALSE,19.1,20.6,22,TRUE,5
"SR34JB","OK",FALSE,30,21.9,30,TRUE,13
"SR34JD","OK",FALSE,28.7,26.6,30,TRUE,16
"SR34JE","OK",FALSE,30,19.1,30,TRUE,24
"SR34JF","OK",FALSE,19.7,15.8,30,TRUE,6
"SR34JG","OK",FALSE,24.4,18.6,30,TRUE,8
"SR34JH","OK",TRUE,30,20,30,TRUE,24
"SR34JJ","OK",FALSE,22,20,30,TRUE,8
"SR34JL","OK",TRUE,30,30,30,TRUE,27
"SR34JN","OK",FALSE,30,25,30,TRUE,10
"SR34JP","OK",FALSE,23.7,13.9,30,TRUE,4
"SR34JQ","OK",FALSE,27.3,20,30,TRUE,8
"SR34JR","OK",FALSE,18.3,14.8,30,TRUE,12
"SR34JT","OK",FALSE,15.1,18,19.8,TRUE,3
"SR34JU","OK",FALSE,30,20,30,TRUE,3
"SR34JW","OK",FALSE,18.5,17,30,TRUE,4
"SR34JX","OK",FALSE,25.8,17.1,30,TRUE,16
"SR34JY","OK",FALSE,21.8,18.7,30,TRUE,6
"SR34JZ","OK",FALSE,18.5,16.7,30,TRUE,21
"SR34LA","OK",FALSE,27.2,19.9,30,TRUE,17
"SR34LB","OK",FALSE,22.7,20,30,TRUE,26
"SR34LD","OK",FALSE,25.1,26,30,TRUE,4
"SR34LL","OK",FALSE,26.6,20,30,TRUE,24
"SR34LN","OK",FALSE,30,25,30,TRUE,39
"SR34LP","OK",TRUE,23.5,20,30,TRUE,27
"SR34LR","OK",FALSE,27.5,20,30,TRUE,25
"SR34LS","OK",FALSE,22.9,30,30,TRUE,8
"SR34LT","OK",FALSE,22.2,15.8,30,TRUE,6
"SR34LU","OK",FALSE,27.1,30,30,TRUE,14
"SR34LW","OK",TRUE,17.8,11.3,30,TRUE,41
"SR34LX","OK",FALSE,30,30,30,TRUE,13
"SR34LY","OK",FALSE,27.7,20,30,TRUE,31
"SR34LZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34NA","OK",FALSE,19.5,14.3,30,TRUE,28
"SR34NB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR34ND","OK",FALSE,9.3,10.8,12.3,TRUE,3
"SR34NE","OK",FALSE,30,18.1,30,TRUE,16
"SR34NF","OK",FALSE,30,30,30,TRUE,10
