"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SR77AA","OK",FALSE,11.5,10.7,16.4,TRUE,6
"SR77AB","OK",FALSE,17.3,8.1,30,TRUE,7
"SR77AD","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SR77AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SR77AF","No Data",NA,NA,NA,NA,TRUE,0
"SR77AG","OK",FALSE,4.9,4.9,7,TRUE,4
"SR77AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SR77AH","No Data",NA,NA,NA,NA,TRUE,0
"SR77AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SR77AJ","No Data",NA,NA,NA,NA,FALSE,0
"SR77AL","OK",TRUE,16.7,15.1,30,TRUE,33
"SR77AN","OK",FALSE,15.2,15.6,30,TRUE,15
"SR77AS","OK",FALSE,13.8,14.3,15.4,TRUE,8
"SR77AT","OK",FALSE,12.7,8.9,23.1,TRUE,7
"SR77AU","OK",FALSE,17,20.3,23.3,FALSE,12
"SR77AX","No Data",NA,NA,NA,NA,TRUE,0
"SR77AY","OK",FALSE,17.4,17.9,23.1,FALSE,8
"SR77BA","OK",FALSE,12,11.7,20.6,TRUE,4
"SR77BB","OK",FALSE,21.4,16.6,30,TRUE,4
"SR77BD","OK",FALSE,18.7,22.3,23.1,TRUE,4
"SR77BE","OK",FALSE,18.8,17.9,30,TRUE,7
"SR77BF","OK",FALSE,23.9,11.3,30,TRUE,8
"SR77BG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SR77BG","No Data",NA,NA,NA,NA,TRUE,0
"SR77BH","OK",FALSE,18.4,14.5,30,TRUE,17
"SR77BJ","OK",FALSE,16.6,16.9,18.3,TRUE,3
"SR77BN","OK",FALSE,15.1,17,20.6,TRUE,8
"SR77BP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SR77BQ","OK",TRUE,13.3,11.3,30,TRUE,36
"SR77BS","OK",FALSE,12.2,10.3,30,TRUE,38
"SR77BT","OK",FALSE,11.8,11.2,19,TRUE,24
