"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SS19AJ","No premises",NA,NA,NA,NA,FALSE,0
"SS19BF","No premises",NA,NA,NA,NA,FALSE,0
"SS19BG","No premises",NA,NA,NA,NA,FALSE,0
"SS19BN","No premises",NA,NA,NA,NA,FALSE,0
"SS19BQ","No premises",NA,NA,NA,NA,FALSE,0
"SS19DT","No premises",NA,NA,NA,NA,FALSE,0
"SS19ED","No premises",NA,NA,NA,NA,FALSE,0
"SS19EE","No premises",NA,NA,NA,NA,FALSE,0
"SS19EG","No premises",NA,NA,NA,NA,FALSE,0
"SS19EH","No premises",NA,NA,NA,NA,FALSE,0
"SS19EJ","No premises",NA,NA,NA,NA,FALSE,0
"SS19EL","No premises",NA,NA,NA,NA,FALSE,0
"SS19ER","No premises",NA,NA,NA,NA,FALSE,0
"SS19ET","No premises",NA,NA,NA,NA,FALSE,0
"SS19FD","No premises",NA,NA,NA,NA,FALSE,0
"SS19FF","No premises",NA,NA,NA,NA,FALSE,0
"SS19FJ","No premises",NA,NA,NA,NA,FALSE,0
"SS19FN","No premises",NA,NA,NA,NA,FALSE,0
"SS19FS","No premises",NA,NA,NA,NA,FALSE,0
"SS19FT","No premises",NA,NA,NA,NA,FALSE,0
"SS19FX","No premises",NA,NA,NA,NA,FALSE,0
"SS19FY","No premises",NA,NA,NA,NA,FALSE,0
"SS19GW","No premises",NA,NA,NA,NA,FALSE,0
"SS19GX","No premises",NA,NA,NA,NA,FALSE,0
"SS19HA","No premises",NA,NA,NA,NA,FALSE,0
"SS19HE","No premises",NA,NA,NA,NA,FALSE,0
"SS19HR","No premises",NA,NA,NA,NA,FALSE,0
"SS19HU","No premises",NA,NA,NA,NA,FALSE,0
"SS19HW","No premises",NA,NA,NA,NA,FALSE,0
"SS19HX","No premises",NA,NA,NA,NA,FALSE,0
"SS19JJ","No premises",NA,NA,NA,NA,FALSE,0
"SS19JN","No premises",NA,NA,NA,NA,FALSE,0
"SS19JQ","No premises",NA,NA,NA,NA,FALSE,0
"SS19JT","No premises",NA,NA,NA,NA,FALSE,0
"SS19JX","No premises",NA,NA,NA,NA,FALSE,0
"SS19JZ","No premises",NA,NA,NA,NA,FALSE,0
"SS19LB","No premises",NA,NA,NA,NA,FALSE,0
"SS19LD","No premises",NA,NA,NA,NA,FALSE,0
"SS19LJ","No premises",NA,NA,NA,NA,FALSE,0
"SS19LQ","No premises",NA,NA,NA,NA,FALSE,0
"SS19LR","No premises",NA,NA,NA,NA,FALSE,0
"SS19LW","No premises",NA,NA,NA,NA,FALSE,0
"SS19LY","No premises",NA,NA,NA,NA,FALSE,0
"SS19ND","No premises",NA,NA,NA,NA,FALSE,0
"SS19NF","No premises",NA,NA,NA,NA,FALSE,0
"SS19NH","No premises",NA,NA,NA,NA,FALSE,0
"SS19NL","No premises",NA,NA,NA,NA,FALSE,0
"SS19NQ","No premises",NA,NA,NA,NA,FALSE,0
"SS19NR","No premises",NA,NA,NA,NA,FALSE,0
"SS19NS","No premises",NA,NA,NA,NA,FALSE,0
"SS19NT","No premises",NA,NA,NA,NA,FALSE,0
"SS19NU","No premises",NA,NA,NA,NA,FALSE,0
"SS19NX","No premises",NA,NA,NA,NA,FALSE,0
"SS19NY","No premises",NA,NA,NA,NA,FALSE,0
"SS19NZ","No premises",NA,NA,NA,NA,FALSE,0
"SS19PA","No premises",NA,NA,NA,NA,FALSE,0
"SS19PB","No premises",NA,NA,NA,NA,FALSE,0
"SS19PD","No premises",NA,NA,NA,NA,FALSE,0
"SS19PE","No premises",NA,NA,NA,NA,FALSE,0
"SS19PF","No premises",NA,NA,NA,NA,FALSE,0
"SS19PG","No premises",NA,NA,NA,NA,FALSE,0
"SS19SA","No premises",NA,NA,NA,NA,FALSE,0
"SS19SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS19SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
