"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"ST54AA","OK",TRUE,2.6,2.4,5.2,TRUE,8
"ST54AB","OK",TRUE,4,1.6,20,TRUE,8
"ST54AD","OK",TRUE,21.3,2.4,30,TRUE,3
"ST54AE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"ST54AF","No premises",NA,NA,NA,NA,TRUE,0
"ST54AG","OK",TRUE,20.2,5.9,30,TRUE,11
"ST54AH","OK",TRUE,29.9,30,30,TRUE,11
"ST54AJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"ST54AL","OK",TRUE,11.1,2.8,30,TRUE,3
"ST54AN","OK",TRUE,24.2,25,30,TRUE,6
"ST54AP","OK",TRUE,15.5,4.9,30,TRUE,13
"ST54AQ","OK",TRUE,24.4,30,30,TRUE,5
"ST54AR","Insufficient Data",NA,NA,NA,NA,TRUE,1
"ST54AS","OK",TRUE,13.7,4,30,TRUE,20
"ST54AT","OK",FALSE,22.6,4.9,30,TRUE,8
"ST54AU","OK",TRUE,17.9,12.3,30,TRUE,8
"ST54AW","OK",TRUE,17.3,5.2,30,TRUE,28
"ST54AX","OK",TRUE,9.2,4,30,TRUE,22
"ST54AY","OK",FALSE,17.1,13.1,30,TRUE,15
"ST54AZ","OK",TRUE,22.7,6.2,30,TRUE,20
"ST54BA","OK",TRUE,14.7,4.8,30,TRUE,15
"ST54BB","OK",TRUE,14.5,6.2,30,TRUE,15
"ST54BD","OK",FALSE,12.5,4.6,30,TRUE,12
"ST54BE","OK",TRUE,16.2,4.1,30,TRUE,13
"ST54BG","OK",FALSE,22.7,20,30,TRUE,7
"ST54BH","OK",TRUE,15,4,30,TRUE,26
"ST54BL","OK",TRUE,13.2,3.3,30,TRUE,19
"ST54BN","OK",TRUE,18,4.7,30,TRUE,59
"ST54BP","OK",TRUE,16,4.4,30,TRUE,40
"ST54BQ","OK",TRUE,17.8,4,30,TRUE,18
"ST54BS","OK",TRUE,2.6,2.7,4,FALSE,6
"ST54BT","OK",TRUE,14.6,5,30,TRUE,9
