"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"ST57AA","OK",TRUE,18.1,6,30,TRUE,28
"ST57AB","OK",TRUE,18.1,20,30,TRUE,54
"ST57AD","OK",FALSE,21.3,20,30,TRUE,8
"ST57AE","OK",FALSE,30,30,30,TRUE,5
"ST57AF","OK",TRUE,27.5,25,30,TRUE,44
"ST57AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ST57AG","No Data",NA,NA,NA,NA,TRUE,0
"ST57AH","OK",TRUE,14.8,3.1,30,TRUE,17
"ST57AJ","OK",TRUE,5.8,2.5,30,TRUE,7
"ST57AL","OK",TRUE,2.9,2.8,5.6,TRUE,5
"ST57AP","OK",TRUE,4,4,7,TRUE,43
"ST57AQ","OK",TRUE,3.9,4.5,6.1,FALSE,18
"ST57AS","OK",FALSE,30,9.7,30,TRUE,4
"ST57AT","OK",TRUE,3.7,3.4,6.5,FALSE,40
"ST57AU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ST57AU","No Data",NA,NA,NA,NA,TRUE,0
"ST57AW","OK",TRUE,7.4,7.9,12.7,TRUE,8
"ST57AX","OK",TRUE,22.7,20,30,TRUE,5
"ST57AY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ST57AY","No Data",NA,NA,NA,NA,TRUE,0
"ST57AZ","OK",FALSE,25.2,9.9,30,TRUE,11
"ST57BA","OK",TRUE,17.8,20,30,TRUE,5
"ST57BB","OK",FALSE,16.6,7.1,30,TRUE,13
"ST57BD","OK",FALSE,27.9,20,30,TRUE,11
"ST57BE","OK",TRUE,14.9,6.8,30,TRUE,18
"ST57BG","OK",FALSE,29.7,30,30,TRUE,11
"ST57BH","OK",FALSE,17.7,14.6,30,TRUE,6
"ST57BJ","No Data",NA,NA,NA,NA,TRUE,0
"ST57BL","OK",FALSE,30,30,30,TRUE,9
"ST57BN","OK",FALSE,30,30,30,TRUE,18
"ST57BP","OK",TRUE,21.2,20,30,TRUE,27
"ST57BQ","OK",FALSE,20.5,25,30,TRUE,7
"ST57BS","OK",TRUE,27.7,20,30,TRUE,28
"ST57BT","OK",FALSE,29.4,30,30,TRUE,24
"ST57BU","OK",TRUE,21.1,5.2,30,TRUE,13
"ST57BW","OK",TRUE,16.3,2.4,30,TRUE,6
"ST57BX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ST57BX","No Data",NA,NA,NA,NA,TRUE,0
"ST57BY","OK",TRUE,21.5,15,30,TRUE,6
"ST57BZ","OK",TRUE,21.6,6,30,TRUE,27
"ST57DA","OK",TRUE,14.5,7,30,TRUE,16
"ST57DB","OK",FALSE,14.4,5.5,30,TRUE,6
"ST57DD","OK",FALSE,19.3,20,30,TRUE,32
"ST57DE","OK",FALSE,28,20,30,TRUE,3
"ST57DF","OK",TRUE,19,20,30,TRUE,12
"ST57DG","OK",FALSE,18,4.5,30,TRUE,7
"ST57DH","OK",FALSE,22.9,5.3,30,TRUE,3
"ST57DJ","OK",FALSE,26.7,30,30,TRUE,3
"ST57DL","OK",TRUE,22.8,12.7,30,TRUE,14
"ST57DN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ST57DN","No Data",NA,NA,NA,NA,TRUE,0
"ST57DP","OK",TRUE,30,13.1,30,TRUE,9
"ST57DQ","OK",FALSE,30,30,30,TRUE,11
"ST57DR","OK",TRUE,25.8,8.2,30,TRUE,27
"ST57DS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"ST57DT","OK",FALSE,27.3,6.6,30,TRUE,5
"ST57DU","No premises",NA,NA,NA,NA,FALSE,0
"ST57DW","OK",TRUE,25.7,25,30,TRUE,10
"ST57DX","OK",FALSE,26.6,13.3,30,TRUE,6
"ST57DY","OK",FALSE,21.1,13.6,30,TRUE,15
"ST57DZ","OK",FALSE,10.9,5.7,30,TRUE,5
"ST57EA","OK",TRUE,5.8,6.2,7.8,TRUE,5
"ST57EB","OK",FALSE,30,30,30,TRUE,3
"ST57ED","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"ST57ED","No Data",NA,NA,NA,NA,TRUE,0
"ST57EE","No premises",NA,NA,NA,NA,FALSE,0
"ST57EF","OK",TRUE,6.1,7.5,9.5,TRUE,11
"ST57EG","OK",FALSE,21.1,20,30,TRUE,12
