"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SW49AA","OK",FALSE,13.8,15.4,20,FALSE,25
"SW49AB","OK",FALSE,15.1,16,22,FALSE,27
"SW49AD","OK",TRUE,14.4,16.6,21.1,FALSE,28
"SW49AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SW49AF","No premises",NA,NA,NA,NA,FALSE,0
"SW49AG","OK",FALSE,12.5,7.2,30,TRUE,5
"SW49AH","OK",FALSE,26.4,20,30,TRUE,10
"SW49AJ","OK",FALSE,26.2,17.9,30,TRUE,4
"SW49AL","OK",FALSE,27.2,11.1,30,TRUE,3
"SW49AN","OK",TRUE,12.7,8.1,30,TRUE,12
"SW49AP","OK",FALSE,26.3,9.3,30,TRUE,4
"SW49AQ","OK",TRUE,14.8,9,30,TRUE,25
"SW49AR","OK",FALSE,30,20,30,TRUE,9
"SW49AS","OK",FALSE,30,30,30,TRUE,8
"SW49AT","OK",FALSE,30,30,30,TRUE,8
"SW49AU","OK",TRUE,30,14.7,30,TRUE,15
"SW49AW","OK",FALSE,17.2,4.9,30,TRUE,5
"SW49AX","OK",FALSE,30,22.7,30,TRUE,10
"SW49AY","OK",FALSE,30,18.1,30,TRUE,17
"SW49AZ","OK",FALSE,27.4,15.4,30,TRUE,31
"SW49BA","OK",FALSE,30,19.8,30,TRUE,14
"SW49BB","OK",FALSE,12.6,14.6,17,TRUE,10
"SW49BD","OK",FALSE,12,11.8,18.3,TRUE,7
"SW49BE","OK",FALSE,30,30,30,TRUE,5
"SW49BL","No premises",NA,NA,NA,NA,TRUE,0
"SW49BN","No premises",NA,NA,NA,NA,FALSE,0
"SW49BP","OK",FALSE,26.8,30,30,TRUE,5
"SW49BS","OK",TRUE,5.7,5.5,11.3,FALSE,10
"SW49BU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SW49BW","OK",FALSE,8.3,8.8,10.5,FALSE,16
"SW49BX","OK",TRUE,15.3,6.8,30,TRUE,28
"SW49DA","OK",TRUE,16.8,11.5,30,TRUE,42
"SW49DE","OK",FALSE,14.9,9.5,30,TRUE,47
"SW49DF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SW49DG","OK",FALSE,29.4,18.5,30,TRUE,19
"SW49DH","OK",FALSE,16.1,18.3,18.4,TRUE,5
"SW49DJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SW49DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SW49DN","OK",FALSE,22.8,16.5,30,TRUE,22
"SW49DP","OK",FALSE,10.3,10.4,15.5,TRUE,5
"SW49DQ","OK",FALSE,23.8,14.9,30,TRUE,6
"SW49DS","OK",FALSE,20.6,11.1,30,TRUE,10
"SW49DT","OK",TRUE,7.7,7.9,12.4,TRUE,15
"SW49DU","OK",FALSE,18.4,9.6,30,TRUE,37
"SW49DW","OK",TRUE,12.1,12.6,19.7,TRUE,16
"SW49DX","OK",FALSE,30,30,30,TRUE,61
"SW49DY","OK",FALSE,30,30,30,FALSE,19
"SW49EA","OK",FALSE,27.1,20,30,TRUE,29
"SW49EB","OK",FALSE,30,10.2,30,TRUE,3
"SW49ED","OK",FALSE,9.2,7.8,30,TRUE,24
"SW49EE","OK",TRUE,13.7,9.6,30,TRUE,22
"SW49EF","OK",FALSE,30,30,30,TRUE,15
"SW49EG","OK",TRUE,30,20,30,TRUE,22
"SW49EH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SW49EJ","OK",FALSE,25.6,20,30,TRUE,27
"SW49EL","OK",FALSE,30,15,30,TRUE,27
"SW49EN","OK",TRUE,25.2,18.9,30,TRUE,4
"SW49EP","OK",TRUE,30,19.7,30,TRUE,33
"SW49EQ","OK",FALSE,29.1,13.2,30,TRUE,43
"SW49ER","OK",FALSE,30,30,30,TRUE,22
"SW49ET","OK",FALSE,22.3,7.8,30,TRUE,8
"SW49EU","OK",TRUE,27.1,25,30,TRUE,22
"SW49EW","OK",TRUE,29.8,20,30,TRUE,25
"SW49EX","OK",TRUE,22.9,14,30,TRUE,19
"SW49EY","OK",TRUE,18.6,6.9,30,TRUE,17
"SW49HD","OK",FALSE,25.8,14.4,30,TRUE,34
"SW49HE","OK",TRUE,17.5,12.9,30,TRUE,29
"SW49HF","OK",TRUE,24.2,13.2,30,TRUE,26
"SW49HG","OK",FALSE,23.3,12.5,30,TRUE,29
"SW49HH","OK",FALSE,13.2,13.6,16.3,TRUE,6
"SW49HJ","OK",FALSE,28.7,13.5,30,TRUE,13
"SW49HL","OK",FALSE,30,16.3,30,TRUE,3
"SW49HN","OK",FALSE,24,14.3,30,TRUE,13
"SW49HP","OK",FALSE,12.1,13,15.5,TRUE,8
"SW49HQ","OK",FALSE,25.5,15.9,30,TRUE,18
"SW49HR","OK",FALSE,28.3,18.6,30,TRUE,30
"SW49HS","OK",FALSE,18.2,11.6,30,TRUE,28
"SW49HT","OK",FALSE,30,27.2,30,TRUE,6
