"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"SY245AA","OK",TRUE,11.2,12.6,16.6,FALSE,6
"SY245AB","OK",FALSE,11.7,10.7,16.7,FALSE,6
"SY245AD","OK",FALSE,9.4,9.5,10.8,FALSE,4
"SY245AE","OK",TRUE,8.8,8.4,15.7,FALSE,19
"SY245AF","OK",TRUE,3.7,4.1,4.8,FALSE,6
"SY245AG","OK",FALSE,5.7,5.5,7.2,FALSE,8
"SY245AH","OK",TRUE,3.3,3.4,4.4,FALSE,6
"SY245AJ","OK",TRUE,3.3,1.9,8.1,FALSE,5
"SY245AL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SY245AN","OK",FALSE,6.5,6.6,9.7,FALSE,8
"SY245AP","No premises",NA,NA,NA,NA,FALSE,0
"SY245AQ","OK",TRUE,4.9,5.5,7.1,FALSE,9
"SY245AR","OK",FALSE,11.6,8.1,19.7,FALSE,10
"SY245AS","OK",FALSE,21.9,22.2,23.1,FALSE,3
"SY245AT","OK",FALSE,15.8,18.5,24.4,FALSE,11
"SY245AU","OK",TRUE,17.1,20.3,23.7,FALSE,37
"SY245AW","OK",FALSE,15.5,16.8,19.8,FALSE,21
"SY245AX","OK",FALSE,17.6,18.9,24.4,FALSE,19
"SY245AY","OK",FALSE,21.8,22.7,23.3,FALSE,3
"SY245AZ","OK",FALSE,12.2,8.1,24.4,FALSE,4
"SY245BA","OK",FALSE,17.5,20.8,23.8,FALSE,16
"SY245BB","OK",TRUE,11,8.1,21.7,FALSE,13
"SY245BD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY245BE","OK",FALSE,17.6,19.9,23.4,FALSE,16
"SY245BG","OK",TRUE,13.7,15.5,21,FALSE,34
"SY245BH","OK",FALSE,16.4,15.8,19.7,FALSE,4
"SY245BJ","OK",FALSE,11.7,10.5,19.5,FALSE,18
"SY245BL","OK",TRUE,15.2,17.9,23.1,FALSE,60
"SY245BN","OK",FALSE,19.8,22.3,24.4,FALSE,8
"SY245BP","OK",FALSE,16.4,16.6,17.5,FALSE,5
"SY245BQ","OK",FALSE,15.2,16.6,21,FALSE,26
"SY245BS","OK",TRUE,7.2,7.1,14.5,FALSE,33
"SY245BT","OK",FALSE,8.6,8.3,9.7,FALSE,5
"SY245BU","OK",FALSE,8.8,7.9,20.3,FALSE,14
"SY245BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY245BX","OK",FALSE,5.7,6.1,7.7,FALSE,7
"SY245BY","OK",TRUE,5.1,5.2,8.9,FALSE,26
"SY245BZ","OK",TRUE,6.3,6.8,12.3,FALSE,33
"SY245DA","OK",FALSE,9.5,9.4,13.9,FALSE,3
"SY245DB","OK",FALSE,13.5,13.9,19.8,FALSE,6
"SY245DD","OK",FALSE,7.7,7.7,13.4,FALSE,15
"SY245DE","OK",FALSE,13,13.3,21.5,FALSE,40
"SY245DF","OK",FALSE,15.6,17.8,22.4,FALSE,53
"SY245DG","OK",TRUE,15.1,18.3,22,FALSE,17
"SY245DH","OK",TRUE,4.6,4.5,7.7,FALSE,5
"SY245DJ","OK",TRUE,4.3,3.8,8.1,FALSE,11
"SY245DL","OK",FALSE,7.1,7.6,8.1,FALSE,22
"SY245DN","OK",TRUE,4.6,2.7,12.4,FALSE,5
"SY245DP","OK",TRUE,1.9,1.5,7.6,FALSE,42
"SY245DR","OK",TRUE,0.6,0.6,0.9,FALSE,4
"SY245DS","OK",FALSE,12.5,14.3,19.4,FALSE,14
"SY245DT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY245DU","OK",FALSE,13.9,16,17.8,FALSE,6
"SY245DW","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SY245DY","OK",FALSE,6.7,7.4,8.1,FALSE,12
"SY245DZ","OK",FALSE,7.5,7.6,8.1,FALSE,7
"SY245EA","OK",FALSE,6.8,7.6,8.1,FALSE,12
"SY245EB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SY245ED","OK",FALSE,7.2,7.7,8.1,FALSE,7
"SY245EE","OK",FALSE,6,6,6.2,FALSE,4
"SY245EF","Insufficient Data",NA,NA,NA,NA,FALSE,2
