"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SY41AA","OK",TRUE,5.7,7.4,8,FALSE,14
"SY41AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41AB","No Data",NA,NA,NA,NA,FALSE,0
"SY41AD","OK",TRUE,2.1,2.3,2.8,FALSE,3
"SY41AE","OK",TRUE,2.5,1.8,5.1,FALSE,7
"SY41AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41AF","No Data",NA,NA,NA,NA,FALSE,0
"SY41AG","OK",TRUE,2.4,1.9,3.6,FALSE,3
"SY41AH","OK",TRUE,1.8,1.7,3.4,FALSE,21
"SY41AJ","OK",TRUE,1.8,1.2,6.2,FALSE,9
"SY41AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41AL","No Data",NA,NA,NA,NA,FALSE,0
"SY41AN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41AN","No Data",NA,NA,NA,NA,FALSE,0
"SY41AP","OK",FALSE,7.1,8.1,8.1,FALSE,5
"SY41AQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SY41AR","OK",FALSE,5.1,5.1,6.8,FALSE,3
"SY41AS","OK",FALSE,7,7.5,8.1,FALSE,8
"SY41AT","OK",FALSE,6.1,6.2,6.8,FALSE,3
"SY41AU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SY41AU","No Data",NA,NA,NA,NA,TRUE,0
"SY41AW","OK",FALSE,6.6,6.6,8.1,FALSE,4
"SY41AX","OK",FALSE,5.7,6,8,FALSE,5
"SY41AY","OK",TRUE,4.7,4.7,7.1,FALSE,7
"SY41AZ","OK",FALSE,6.2,7,8.1,FALSE,22
"SY41BA","OK",FALSE,6.1,7.4,7.6,FALSE,6
"SY41BB","OK",FALSE,7.2,7.5,8.1,FALSE,8
"SY41BD","OK",TRUE,7.1,7.6,8.1,FALSE,21
"SY41BE","OK",FALSE,7.1,7.6,8.1,FALSE,7
"SY41BG","OK",TRUE,6.6,7.6,8.1,FALSE,19
"SY41BH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41BH","No Data",NA,NA,NA,NA,FALSE,0
"SY41BJ","OK",FALSE,5.7,6.2,8.1,FALSE,21
"SY41BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41BL","No Data",NA,NA,NA,NA,FALSE,0
"SY41BN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SY41BP","OK",TRUE,5.4,5.7,8.1,FALSE,12
"SY41BQ","OK",TRUE,2.8,2.8,3.8,FALSE,7
"SY41BS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SY41BT","OK",TRUE,4.7,4.5,7.6,FALSE,7
"SY41BU","OK",TRUE,4.6,4.2,7.6,FALSE,7
"SY41BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41BW","No Data",NA,NA,NA,NA,FALSE,0
"SY41BY","OK",FALSE,6.9,7.6,7.6,FALSE,6
"SY41BZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41BZ","No Data",NA,NA,NA,NA,FALSE,0
"SY41DA","OK",FALSE,7.2,8.1,8.1,FALSE,8
"SY41DB","OK",FALSE,6.7,7.6,8.1,FALSE,21
"SY41DD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SY41DD","No Data",NA,NA,NA,NA,FALSE,0
"SY41DE","OK",FALSE,6.9,7.5,8.1,FALSE,18
"SY41DF","OK",TRUE,7,7.5,8.1,FALSE,21
