"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"TA100AA","OK",TRUE,2,2,2.4,FALSE,3
"TA100AB","OK",TRUE,1.4,1.3,1.9,FALSE,3
"TA100AD","OK",TRUE,2.7,2.6,5.3,FALSE,14
"TA100AE","OK",TRUE,1.3,1.2,1.7,FALSE,4
"TA100AF","OK",TRUE,3,3.1,3.6,FALSE,14
"TA100AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TA100AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TA100AL","OK",TRUE,1.2,1.2,1.7,FALSE,4
"TA100AN","OK",TRUE,1.1,0.9,1.9,FALSE,5
"TA100AP","OK",TRUE,2.8,2.8,4.5,FALSE,17
"TA100AR","OK",TRUE,3.1,3.4,5.1,FALSE,17
"TA100AS","OK",TRUE,2,1.8,3.4,FALSE,6
"TA100AT","OK",TRUE,3.6,3.8,5.1,FALSE,8
"TA100AU","OK",TRUE,3,2.5,8,FALSE,18
"TA100AW","OK",TRUE,2.6,2.3,4.5,FALSE,5
"TA100AX","OK",FALSE,5.4,5.4,7.4,FALSE,6
"TA100AY","OK",TRUE,3.3,4,4.5,FALSE,3
"TA100AZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TA100BA","OK",FALSE,3.5,2.8,5.4,FALSE,6
"TA100BB","OK",TRUE,2,2.3,3.4,FALSE,9
"TA100BD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TA100BE","OK",TRUE,2.8,3.1,3.5,FALSE,4
"TA100BG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TA100BH","OK",TRUE,6.4,6.9,8.1,FALSE,24
"TA100BJ","OK",TRUE,5.5,6.4,8,FALSE,4
"TA100BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TA100BN","OK",TRUE,6.3,6.8,8.1,FALSE,20
"TA100BP","OK",TRUE,1.6,1.6,1.7,FALSE,5
"TA100BQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TA100BW","OK",TRUE,5.3,6.2,8.1,FALSE,6
"TA100DA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TA100DB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TA100DD","OK",TRUE,5.2,4.6,13.1,FALSE,12
"TA100DF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TA100DG","OK",TRUE,2.2,2.6,3.1,FALSE,3
"TA100DH","OK",FALSE,3.3,3.2,3.8,FALSE,3
"TA100DJ","OK",TRUE,2.6,3.1,3.9,FALSE,12
"TA100DL","OK",TRUE,3.4,3.6,5.3,FALSE,14
"TA100DN","OK",FALSE,4.1,4.3,5.6,FALSE,11
"TA100DP","OK",FALSE,4.6,4.4,6,FALSE,3
"TA100DQ","OK",TRUE,3.1,3.1,4.1,FALSE,5
"TA100DR","OK",TRUE,2.1,2,3.1,FALSE,17
"TA100DT","OK",TRUE,1.8,1.9,2.7,FALSE,7
