"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"TF35AA","OK",FALSE,15.3,11.8,30,TRUE,16
"TF35AB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TF35AB","No Data",NA,NA,NA,NA,TRUE,0
"TF35AD","OK",FALSE,14.2,10.9,30,TRUE,4
"TF35AE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TF35AE","No Data",NA,NA,NA,NA,TRUE,0
"TF35AF","OK",FALSE,30,30,30,TRUE,4
"TF35AG","OK",FALSE,3.9,4,5,TRUE,3
"TF35AH","OK",FALSE,30,17.5,30,TRUE,6
"TF35AJ","OK",FALSE,14.6,5.6,30,TRUE,17
"TF35AL","OK",TRUE,13.2,6.1,30,TRUE,17
"TF35AN","OK",TRUE,18.6,6.5,30,TRUE,16
"TF35AP","OK",FALSE,25.4,20,30,TRUE,25
"TF35AQ","OK",FALSE,18.5,20,30,TRUE,5
"TF35AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TF35AR","No Data",NA,NA,NA,NA,TRUE,0
"TF35AS","OK",FALSE,4.9,4.9,7,TRUE,3
"TF35AT","OK",TRUE,4,3.6,6.9,FALSE,7
"TF35AU","OK",TRUE,17.4,9.9,30,TRUE,12
"TF35AW","OK",FALSE,27.2,30,30,TRUE,6
"TF35AX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TF35AY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TF35AZ","OK",TRUE,30,20,30,TRUE,19
"TF35BA","OK",TRUE,28,20,30,TRUE,13
"TF35BB","OK",FALSE,18.6,20,30,TRUE,4
"TF35BD","OK",TRUE,30,30,30,TRUE,15
"TF35BE","OK",FALSE,26.5,20,30,TRUE,9
"TF35BF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TF35BG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"TF35BH","OK",TRUE,12.5,5.8,30,TRUE,8
"TF35BJ","OK",FALSE,29.2,4.4,30,TRUE,6
"TF35BL","OK",FALSE,27.1,12.5,30,TRUE,24
"TF35BN","OK",FALSE,28,30,30,TRUE,12
"TF35BP","OK",FALSE,30,30,30,TRUE,18
"TF35BQ","OK",TRUE,22.1,20,30,TRUE,7
"TF35BS","OK",FALSE,30,30,30,TRUE,4
"TF35BT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TF35BU","OK",FALSE,10.6,5.1,30,TRUE,13
"TF35BW","OK",FALSE,26.1,25,30,TRUE,14
"TF35BX","OK",TRUE,3.4,4.1,4.9,TRUE,10
"TF35BY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TF35BZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TF35BZ","No Data",NA,NA,NA,NA,FALSE,0
"TF35DA","OK",TRUE,19.8,20,30,TRUE,43
"TF35DB","OK",FALSE,18.3,20,30,TRUE,29
"TF35DD","OK",TRUE,27.4,20,30,TRUE,30
"TF35DE","OK",TRUE,29.8,20,30,TRUE,25
"TF35DF","OK",FALSE,23.2,12.2,30,TRUE,7
"TF35DG","OK",FALSE,21.4,20,30,TRUE,9
"TF35DH","OK",FALSE,22.4,20,30,TRUE,14
"TF35DJ","OK",FALSE,30,30,30,TRUE,12
"TF35DL","OK",TRUE,22.6,11.3,30,TRUE,25
"TF35DN","OK",FALSE,30,30,30,TRUE,36
"TF35DP","OK",FALSE,25.1,20,30,TRUE,6
"TF35DQ","OK",FALSE,26.1,30,30,TRUE,15
"TF35DR","OK",FALSE,28.7,20,30,TRUE,19
"TF35DS","OK",FALSE,18.8,10.2,30,TRUE,7
"TF35DT","OK",TRUE,27.5,17,30,TRUE,6
"TF35DU","OK",FALSE,30,30,30,TRUE,22
"TF35DW","OK",FALSE,21.6,13.8,30,TRUE,8
"TF35DX","OK",TRUE,28.2,20,30,TRUE,33
"TF35DY","OK",TRUE,21.3,8.8,30,TRUE,22
"TF35DZ","OK",FALSE,30,20,30,TRUE,18
"TF35EA","OK",TRUE,17.5,8.2,30,TRUE,12
"TF35EB","OK",TRUE,24.4,6.8,30,TRUE,17
"TF35ED","OK",TRUE,25.2,13.8,30,TRUE,16
"TF35EE","OK",FALSE,10.5,7,30,TRUE,15
"TF35EF","OK",FALSE,29,30,30,TRUE,26
"TF35EG","OK",TRUE,19.4,20,30,TRUE,22
"TF35EH","OK",TRUE,16.5,6.3,30,TRUE,8
"TF35EJ","OK",FALSE,27.3,25,30,TRUE,14
"TF35EL","OK",TRUE,17.9,13.1,30,TRUE,25
"TF35EN","OK",TRUE,19.2,9.7,30,TRUE,23
"TF35EP","OK",FALSE,28,20,30,TRUE,17
"TF35EQ","OK",FALSE,21.9,20,30,TRUE,8
"TF35ER","OK",TRUE,7.1,7.6,9.8,FALSE,13
"TF35ES","OK",FALSE,9,8.9,13.4,FALSE,19
