"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TF99AJ","No premises",NA,NA,NA,NA,FALSE,0
"TF99AQ","No premises",NA,NA,NA,NA,FALSE,0
"TF99AU","No premises",NA,NA,NA,NA,FALSE,0
"TF99BA","No premises",NA,NA,NA,NA,FALSE,0
"TF99BF","No premises",NA,NA,NA,NA,FALSE,0
"TF99BQ","No premises",NA,NA,NA,NA,FALSE,0
"TF99BS","No premises",NA,NA,NA,NA,FALSE,0
"TF99BX","No premises",NA,NA,NA,NA,FALSE,0
"TF99DJ","No premises",NA,NA,NA,NA,FALSE,0
"TF99DP","No premises",NA,NA,NA,NA,FALSE,0
"TF99DR","No premises",NA,NA,NA,NA,FALSE,0
"TF99DY","No premises",NA,NA,NA,NA,FALSE,0
"TF99DZ","No premises",NA,NA,NA,NA,FALSE,0
"TF99EA","No premises",NA,NA,NA,NA,FALSE,0
"TF99EB","No premises",NA,NA,NA,NA,FALSE,0
"TF99ED","No premises",NA,NA,NA,NA,FALSE,0
