"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"TN89AE","No premises",NA,NA,NA,NA,FALSE,0
"TN89AP","No premises",NA,NA,NA,NA,FALSE,0
"TN89AQ","No premises",NA,NA,NA,NA,FALSE,0
"TN89AS","No premises",NA,NA,NA,NA,FALSE,0
"TN89BG","No premises",NA,NA,NA,NA,FALSE,0
"TN89BL","No premises",NA,NA,NA,NA,FALSE,0
"TN89BN","No premises",NA,NA,NA,NA,FALSE,0
"TN89BP","No premises",NA,NA,NA,NA,FALSE,0
"TN89BQ","No premises",NA,NA,NA,NA,FALSE,0
"TN89BR","No premises",NA,NA,NA,NA,FALSE,0
"TN89BS","No premises",NA,NA,NA,NA,FALSE,0
"TN89DB","No premises",NA,NA,NA,NA,FALSE,0
"TN89DD","No premises",NA,NA,NA,NA,FALSE,0
"TN89DE","No premises",NA,NA,NA,NA,FALSE,0
"TN89DF","No premises",NA,NA,NA,NA,FALSE,0
