"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TQ58AA","OK",TRUE,13.6,12.2,23,TRUE,17
"TQ58AF","No premises",NA,NA,NA,NA,TRUE,0
"TQ58AG","OK",TRUE,13.3,14.5,24.1,TRUE,10
"TQ58AH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58AJ","No Data",NA,NA,NA,NA,FALSE,0
"TQ58AP","OK",FALSE,13.7,14.5,20.7,FALSE,12
"TQ58AR","OK",FALSE,15.3,16.4,18,TRUE,10
"TQ58AS","No premises",NA,NA,NA,NA,FALSE,0
"TQ58AT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58AU","OK",FALSE,15.5,16.9,18.1,FALSE,7
"TQ58AW","OK",TRUE,10.5,12.6,19.6,FALSE,14
"TQ58AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58AX","No Data",NA,NA,NA,NA,FALSE,0
"TQ58AY","OK",FALSE,14.1,15.1,18.6,FALSE,6
"TQ58AZ","No premises",NA,NA,NA,NA,FALSE,0
"TQ58BA","No premises",NA,NA,NA,NA,TRUE,0
"TQ58BB","OK",FALSE,13.6,15.2,20.6,FALSE,18
"TQ58BD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TQ58BG","OK",TRUE,8.4,6.4,30,TRUE,18
"TQ58BH","OK",FALSE,11.2,8,30,TRUE,48
"TQ58BL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58BN","OK",FALSE,14.4,14.5,20.8,FALSE,12
"TQ58BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58BP","No Data",NA,NA,NA,NA,FALSE,0
"TQ58BQ","OK",TRUE,7.6,8.1,15.5,TRUE,18
"TQ58BU","OK",FALSE,15.9,15.6,30,TRUE,45
"TQ58BW","OK",FALSE,14.4,15.8,21.8,FALSE,16
"TQ58BY","OK",TRUE,17,16.7,23.9,TRUE,17
"TQ58BZ","OK",FALSE,19.1,20.4,24.4,TRUE,18
"TQ58DA","OK",FALSE,17.7,18.9,21.9,TRUE,11
"TQ58DB","OK",FALSE,19.8,20.8,22,TRUE,6
"TQ58DD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TQ58DE","OK",FALSE,15.3,14.8,30,TRUE,22
"TQ58DF","OK",TRUE,15.2,14.3,30,TRUE,18
"TQ58DG","OK",TRUE,13.1,14.5,20.5,TRUE,9
"TQ58DH","OK",FALSE,12.1,13,18,TRUE,13
"TQ58DJ","OK",TRUE,11,11.7,20.5,TRUE,10
"TQ58DL","No Data",NA,NA,NA,NA,TRUE,0
"TQ58DN","OK",FALSE,14,15.3,19.9,TRUE,13
"TQ58DP","OK",FALSE,16.2,16.6,22.3,TRUE,9
"TQ58DQ","OK",TRUE,11.3,13.4,17.6,TRUE,4
"TQ58DS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TQ58DT","Insufficient Data",NA,NA,NA,NA,TRUE,1
"TQ58DY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TQ58DZ","OK",FALSE,12,10.2,22.5,TRUE,16
"TQ58EA","No premises",NA,NA,NA,NA,TRUE,0
"TQ58ED","OK",TRUE,13.6,16.8,20,FALSE,6
"TQ58EE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ58EF","OK",FALSE,13.2,15.4,19.5,FALSE,5
"TQ58EG","No premises",NA,NA,NA,NA,FALSE,0
"TQ58EH","OK",FALSE,15.4,15.8,21.1,FALSE,11
"TQ58EJ","OK",FALSE,16.4,17.8,20.3,TRUE,5
"TQ58EP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TQ58EP","No Data",NA,NA,NA,NA,TRUE,0
"TQ58ER","OK",FALSE,15.3,15.4,22.7,TRUE,10
"TQ58ET","OK",FALSE,14.8,17,22.4,FALSE,4
"TQ58EU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58EU","No Data",NA,NA,NA,NA,FALSE,0
"TQ58EW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58EW","No Data",NA,NA,NA,NA,FALSE,0
"TQ58EX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ58EY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ58EZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58GA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58GA","No Data",NA,NA,NA,NA,FALSE,0
"TQ58HA","OK",FALSE,16.2,19,21.5,FALSE,9
"TQ58HB","OK",FALSE,17.4,19.4,21.4,FALSE,9
"TQ58HD","OK",FALSE,14.8,14.6,21.9,FALSE,4
"TQ58HE","OK",FALSE,13.1,15.9,19,FALSE,3
"TQ58HF","OK",TRUE,14,16,20.1,FALSE,9
"TQ58HG","OK",FALSE,14.4,15,22.4,TRUE,13
"TQ58HH","OK",FALSE,17.4,19.3,22.8,TRUE,4
"TQ58HJ","OK",FALSE,19.3,20.4,21.1,TRUE,5
"TQ58HL","OK",FALSE,15.4,18.5,21.4,TRUE,10
"TQ58HN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58HP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TQ58HP","No Data",NA,NA,NA,NA,TRUE,0
"TQ58HQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58HR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58HS","OK",FALSE,12.7,12.5,17.7,FALSE,24
"TQ58HT","OK",FALSE,14.6,14.2,20.4,FALSE,12
"TQ58HU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ58HW","OK",TRUE,17.1,17.2,30,TRUE,20
"TQ58HX","OK",FALSE,12,12,15.4,FALSE,3
"TQ58HY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58HY","No Data",NA,NA,NA,NA,FALSE,0
"TQ58HZ","OK",FALSE,12.8,12.9,19.6,FALSE,18
"TQ58JA","OK",FALSE,14.3,13.3,20.6,FALSE,6
"TQ58JB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ58JB","No Data",NA,NA,NA,NA,FALSE,0
"TQ58JD","OK",FALSE,14.6,15.4,19.5,FALSE,25
"TQ58JE","OK",FALSE,14,15.5,18.8,FALSE,4
"TQ58JF","OK",FALSE,13.3,13.9,21.5,FALSE,33
"TQ58JG","OK",TRUE,14.2,16.6,21.7,FALSE,12
"TQ58JJ","No premises",NA,NA,NA,NA,TRUE,0
"TQ58JL","OK",FALSE,14.3,15.4,19.6,FALSE,4
"TQ58JN","OK",FALSE,13.4,14.1,20.6,TRUE,24
"TQ58JP","OK",FALSE,10.8,11.9,14.3,TRUE,5
"TQ58JQ","OK",TRUE,14.1,17.8,19.8,FALSE,9
"TQ58JR","No Data",NA,NA,NA,NA,TRUE,0
"TQ58JS","OK",TRUE,11.2,12.7,19.2,TRUE,13
"TQ58JT","OK",FALSE,14.1,14.6,17,TRUE,4
"TQ58JU","OK",FALSE,13.2,14.3,19.3,TRUE,13
"TQ58JW","OK",FALSE,13.5,14.3,19.2,TRUE,22
"TQ58JX","OK",TRUE,12.6,15.6,19.1,TRUE,10
"TQ58JY","OK",FALSE,15,16.4,19,TRUE,16
"TQ58JZ","OK",FALSE,13.7,14,20.1,TRUE,7
"TQ58LA","OK",FALSE,13.8,15.2,19,TRUE,16
"TQ58LB","OK",TRUE,15.5,12.6,30,TRUE,22
"TQ58LD","OK",FALSE,10.4,11.9,15.9,TRUE,12
"TQ58LE","OK",FALSE,12,13.3,14.9,TRUE,7
"TQ58LF","OK",FALSE,15.7,15.5,30,TRUE,21
