"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TR12AA","OK",FALSE,15.3,16.2,22.2,TRUE,13
"TR12AF","OK",FALSE,22.6,20.8,30,TRUE,9
"TR12AH","OK",FALSE,20.4,20.7,21.3,TRUE,3
"TR12AJ","OK",FALSE,20.2,18.7,24.4,TRUE,3
"TR12AP","No premises",NA,NA,NA,NA,TRUE,0
"TR12AQ","OK",FALSE,14.8,15.2,19.7,TRUE,7
"TR12AR","OK",FALSE,12.3,10.5,20.6,FALSE,5
"TR12AX","OK",FALSE,17.2,19.1,23.2,FALSE,4
"TR12AY","OK",TRUE,12.2,15.1,20.9,FALSE,6
"TR12AZ","OK",FALSE,13,15,20,FALSE,3
"TR12BB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TR12BD","OK",FALSE,10.8,8.1,16.2,FALSE,4
"TR12BE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TR12BG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TR12BH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TR12BH","No Data",NA,NA,NA,NA,TRUE,0
"TR12BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TR12BJ","No Data",NA,NA,NA,NA,FALSE,0
"TR12BL","OK",FALSE,17.4,17.5,30,TRUE,24
"TR12BN","OK",FALSE,28.1,17.9,30,TRUE,19
"TR12BP","OK",TRUE,16.6,15.6,30,TRUE,8
"TR12BQ","OK",FALSE,30,20.7,30,TRUE,12
"TR12BS","OK",TRUE,21.5,16.5,30,TRUE,20
"TR12BT","OK",FALSE,30,20.8,30,TRUE,15
"TR12BU","OK",FALSE,26.5,15.7,30,TRUE,29
"TR12BW","OK",TRUE,24.5,17,30,TRUE,28
"TR12BX","OK",FALSE,25.3,15.3,30,TRUE,11
"TR12BY","OK",FALSE,13,12.1,20.2,TRUE,21
"TR12BZ","OK",TRUE,26.7,18.5,30,TRUE,24
"TR12DA","OK",FALSE,20.1,16.5,30,TRUE,32
"TR12DB","OK",FALSE,15.8,17.3,30,TRUE,15
"TR12DD","OK",TRUE,16.9,17,30,TRUE,29
"TR12DE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TR12DE","No Data",NA,NA,NA,NA,FALSE,0
"TR12DF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TR12DG","OK",FALSE,16.5,17.9,22.3,TRUE,7
"TR12DH","OK",FALSE,17.2,16.9,30,TRUE,13
"TR12DJ","OK",FALSE,15.6,15.4,30,TRUE,15
"TR12DL","OK",FALSE,16.5,17.6,20.4,TRUE,13
"TR12DN","OK",FALSE,18,19.3,24,FALSE,35
"TR12DP","OK",TRUE,10.4,12.4,15.3,TRUE,5
"TR12DQ","OK",FALSE,17,17,30,TRUE,8
"TR12DS","OK",FALSE,16.8,18.6,21.9,TRUE,16
