"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"TS78AA","OK",FALSE,20.1,20,30,TRUE,11
"TS78AB","OK",FALSE,19.5,15,30,TRUE,9
"TS78AD","OK",FALSE,22.3,20,30,TRUE,9
"TS78AE","OK",FALSE,14.2,15.6,21.8,FALSE,19
"TS78AF","OK",TRUE,10.7,13.2,18.6,TRUE,12
"TS78AG","OK",FALSE,12.1,12,19.1,FALSE,9
"TS78AH","OK",FALSE,15.3,15,19.2,FALSE,9
"TS78AJ","OK",FALSE,9.4,9.7,16.4,FALSE,16
"TS78AL","OK",FALSE,12.1,12.4,19,FALSE,15
"TS78AN","OK",FALSE,9.8,7.8,19.1,TRUE,11
"TS78AP","OK",TRUE,7.7,7.4,17.4,TRUE,22
"TS78AQ","OK",FALSE,13.4,15.2,18.7,FALSE,5
"TS78AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS78AT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS78AU","OK",FALSE,14.3,15.4,18.3,TRUE,6
"TS78AZ","OK",FALSE,28,30,30,TRUE,5
"TS78BA","OK",FALSE,25,25,30,TRUE,20
"TS78BB","OK",FALSE,28.8,20,30,TRUE,10
"TS78BD","OK",FALSE,30,20.1,30,TRUE,5
"TS78BE","OK",FALSE,17.3,19.4,19.9,TRUE,5
"TS78BG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS78BH","OK",FALSE,18.3,20,30,TRUE,10
"TS78BJ","OK",FALSE,18.3,18,19,TRUE,3
"TS78BL","OK",TRUE,22.4,20,30,TRUE,20
"TS78BN","OK",TRUE,19.6,18.1,30,TRUE,25
"TS78BP","OK",FALSE,27.6,20,30,TRUE,16
"TS78BS","OK",FALSE,29.4,20.9,30,TRUE,10
"TS78BT","OK",FALSE,26.3,20.4,30,TRUE,12
"TS78BU","OK",FALSE,28.8,20,30,TRUE,25
"TS78BW","OK",TRUE,15.6,17.5,30,TRUE,6
"TS78BX","OK",FALSE,25.7,20,30,TRUE,21
"TS78BY","OK",FALSE,29.4,26.3,30,TRUE,14
"TS78BZ","OK",FALSE,25.9,22.2,30,TRUE,6
"TS78DA","OK",FALSE,21.1,14,30,TRUE,18
"TS78DB","OK",FALSE,26.1,20,30,TRUE,30
"TS78DD","OK",FALSE,25.5,20,30,TRUE,27
"TS78DE","OK",FALSE,23.5,20,30,TRUE,23
"TS78DF","OK",FALSE,25,20,30,TRUE,6
"TS78DG","OK",FALSE,30,30,30,TRUE,14
"TS78DH","OK",FALSE,30,30,30,TRUE,8
"TS78DJ","OK",FALSE,27.1,20,30,TRUE,31
"TS78DL","OK",TRUE,29.2,20,30,TRUE,23
"TS78DN","OK",TRUE,20.2,20,30,TRUE,17
"TS78DP","OK",TRUE,30,20,30,TRUE,31
"TS78DQ","OK",FALSE,21.4,20,30,TRUE,18
"TS78DR","OK",TRUE,18.2,8,30,TRUE,18
"TS78DS","No premises",NA,NA,NA,NA,TRUE,0
"TS78DT","OK",FALSE,28.9,20,30,TRUE,22
"TS78DU","OK",FALSE,8.6,8.1,10.5,TRUE,4
"TS78DW","OK",TRUE,24.4,20,30,TRUE,17
"TS78DX","OK",TRUE,8.1,7.5,16.7,TRUE,10
"TS78DY","OK",FALSE,24.4,20,30,TRUE,14
"TS78DZ","OK",FALSE,14.1,16.4,20,TRUE,5
"TS78EA","OK",FALSE,21.6,14.3,30,TRUE,21
"TS78EB","OK",FALSE,15.5,16.4,30,TRUE,10
"TS78ED","OK",FALSE,22.3,20,30,TRUE,16
"TS78EE","OK",FALSE,19.6,20,30,TRUE,5
"TS78EF","OK",FALSE,19,15.9,30,TRUE,17
"TS78EG","OK",TRUE,21.7,20,30,TRUE,23
"TS78EH","OK",FALSE,22.2,20,30,TRUE,19
"TS78EJ","OK",FALSE,20.7,16.2,30,TRUE,13
"TS78EL","OK",TRUE,18,20.2,24.4,FALSE,37
"TS78EQ","OK",FALSE,20.3,20,21,TRUE,4
"TS78ER","OK",FALSE,23.2,20,30,TRUE,22
"TS78ES","OK",FALSE,20.3,20,30,TRUE,17
"TS78ET","OK",FALSE,30,25,30,TRUE,6
"TS78EU","OK",FALSE,25.4,20,30,TRUE,8
"TS78EX","OK",FALSE,22.2,20,30,TRUE,15
"TS78EY","OK",FALSE,30,20,30,TRUE,27
"TS78EZ","OK",FALSE,28.2,20,30,TRUE,5
"TS78HA","OK",FALSE,25.5,20,30,TRUE,21
"TS78HB","OK",FALSE,9.3,5,20,TRUE,3
"TS78HD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TS78HE","OK",FALSE,15.8,11.8,30,TRUE,9
"TS78HF","OK",TRUE,30,20,30,TRUE,15
"TS78HG","OK",FALSE,25.9,20,30,TRUE,15
"TS78HH","OK",TRUE,23.8,20,30,TRUE,17
"TS78HJ","OK",TRUE,22.3,8.7,30,TRUE,15
"TS78HL","OK",FALSE,16.9,8.3,30,TRUE,21
"TS78HQ","OK",FALSE,22.9,20,30,TRUE,12
"TS78HY","OK",FALSE,28.6,20.4,30,TRUE,17
"TS78HZ","OK",FALSE,26.7,20,30,TRUE,17
"TS78JA","OK",TRUE,30,20,30,TRUE,32
"TS78JB","OK",TRUE,18.5,11.8,30,TRUE,14
"TS78JD","OK",FALSE,19.3,15.3,30,TRUE,9
"TS78JE","OK",FALSE,17.3,18.3,30,TRUE,6
"TS78JF","OK",FALSE,30,25,30,TRUE,4
"TS78JG","OK",FALSE,30,30,30,TRUE,3
"TS78JH","OK",FALSE,19.8,14.9,30,TRUE,7
"TS78JJ","OK",FALSE,27.9,30,30,TRUE,8
"TS78JL","OK",FALSE,14.4,13.3,30,TRUE,7
"TS78JN","OK",FALSE,30,30,30,TRUE,14
"TS78JP","OK",TRUE,16.7,20,30,TRUE,6
"TS78JQ","OK",FALSE,15.4,15.8,20,TRUE,13
"TS78JR","OK",FALSE,30,20,30,TRUE,11
"TS78JT","OK",FALSE,26.2,20,30,TRUE,18
"TS78JU","OK",FALSE,10.4,8.7,16.3,TRUE,4
"TS78JW","OK",FALSE,15.6,12.8,30,TRUE,5
"TS78JX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS78JY","OK",FALSE,29.6,20,30,TRUE,15
"TS78JZ","OK",FALSE,30,21.9,30,TRUE,6
"TS78LA","OK",FALSE,19.8,20,30,TRUE,13
"TS78LB","OK",FALSE,18.4,8.6,30,TRUE,10
"TS78LD","OK",FALSE,15.5,16.1,30,TRUE,6
"TS78LE","OK",FALSE,10.9,7.4,30,TRUE,9
"TS78LF","OK",FALSE,29.1,20,30,TRUE,18
"TS78LN","OK",TRUE,17.7,20,30,TRUE,31
"TS78LP","OK",FALSE,30,30,30,TRUE,13
"TS78LQ","OK",FALSE,29.4,20,30,TRUE,27
"TS78LR","OK",TRUE,13.8,8.3,30,TRUE,27
"TS78LS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TS78LT","OK",TRUE,24.3,20,30,TRUE,11
"TS78LU","OK",FALSE,21.9,10.5,30,TRUE,14
"TS78LW","OK",FALSE,19.5,20,30,TRUE,10
"TS78LX","OK",TRUE,22.7,14,30,TRUE,5
"TS78LY","OK",FALSE,22.1,18.7,30,TRUE,16
"TS78LZ","OK",FALSE,23.9,16.7,30,TRUE,22
"TS78NA","OK",FALSE,9,7.1,20,TRUE,6
"TS78NB","OK",TRUE,21.7,11.7,30,TRUE,14
"TS78ND","OK",FALSE,18.4,12.9,30,TRUE,13
"TS78NF","OK",FALSE,28.2,20,30,TRUE,35
"TS78NG","OK",FALSE,21.2,20,30,TRUE,29
"TS78NH","OK",FALSE,25.7,16.5,30,TRUE,8
"TS78NJ","OK",TRUE,20.5,20,30,TRUE,8
"TS78NL","OK",FALSE,26.8,20,30,TRUE,16
"TS78NN","OK",FALSE,22.5,20,30,TRUE,28
"TS78NP","OK",FALSE,21.2,20,30,TRUE,7
"TS78NQ","OK",FALSE,10.3,13.2,13.8,TRUE,3
"TS78NR","OK",FALSE,29.2,25,30,TRUE,15
"TS78NS","OK",TRUE,26,20,30,TRUE,33
"TS78NT","OK",FALSE,28.2,20,30,TRUE,14
"TS78NU","OK",FALSE,14,13.8,30,TRUE,12
"TS78NW","OK",FALSE,24.8,20,30,TRUE,14
"TS78NX","OK",TRUE,10.2,14.2,16.1,TRUE,10
"TS78NY","OK",FALSE,11.8,12,17.7,FALSE,16
"TS78PA","OK",FALSE,12.9,9.3,30,TRUE,11
"TS78PB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TS78PD","OK",FALSE,27.5,20,30,TRUE,7
"TS78PE","OK",FALSE,25.9,20,30,TRUE,16
"TS78PF","OK",FALSE,24.7,20,30,TRUE,8
"TS78PG","OK",FALSE,30,30,30,TRUE,7
"TS78PH","OK",TRUE,25.4,20,30,TRUE,27
"TS78PJ","OK",TRUE,30,25,30,TRUE,18
"TS78PL","OK",FALSE,22.7,13.3,30,TRUE,9
"TS78PN","OK",TRUE,25.8,20,30,TRUE,19
"TS78PP","OK",FALSE,27.4,20,30,TRUE,5
"TS78PQ","OK",FALSE,21.3,20,30,TRUE,11
"TS78PR","OK",FALSE,30,20,30,TRUE,11
"TS78PS","OK",TRUE,25.8,20,30,TRUE,13
"TS78PT","OK",TRUE,27.7,23.8,30,TRUE,28
"TS78PU","OK",FALSE,23.5,20,30,TRUE,16
"TS78PW","OK",FALSE,30,30,30,TRUE,4
"TS78PX","OK",FALSE,27.5,20,30,TRUE,15
"TS78PY","OK",TRUE,22.6,20,30,TRUE,57
"TS78PZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TS78QA","OK",FALSE,24.2,14.3,30,TRUE,10
"TS78QB","OK",TRUE,30,20,30,TRUE,30
"TS78QD","OK",FALSE,30,12.1,30,TRUE,8
"TS78QE","OK",TRUE,15.5,13.4,30,TRUE,6
"TS78QF","OK",FALSE,29.1,30,30,TRUE,32
"TS78QG","OK",FALSE,24.9,20,30,TRUE,21
"TS78QH","OK",TRUE,19.5,20,30,TRUE,16
"TS78QJ","OK",FALSE,19.1,9.5,30,TRUE,8
"TS78QL","OK",FALSE,20,20.1,30,TRUE,4
"TS78QN","OK",TRUE,15.6,8.7,30,TRUE,19
"TS78QP","OK",TRUE,26.4,20,30,TRUE,44
"TS78QQ","OK",FALSE,30,20,30,TRUE,31
"TS78QR","OK",FALSE,25.1,20,30,TRUE,28
"TS78QS","OK",FALSE,26.4,20,30,TRUE,30
"TS78QT","OK",FALSE,25.4,20,30,TRUE,34
"TS78QW","OK",TRUE,29.1,20,30,TRUE,43
"TS78QX","OK",FALSE,25.6,20,30,TRUE,20
"TS78RA","OK",FALSE,30,21.8,30,TRUE,10
"TS78RB","OK",FALSE,25.2,20,30,TRUE,15
"TS78RD","OK",FALSE,25.6,21.3,30,TRUE,14
"TS78RE","OK",FALSE,26.3,30,30,TRUE,8
"TS78RF","OK",FALSE,27.3,20,30,TRUE,25
"TS78RG","OK",TRUE,18.6,7,30,TRUE,71
"TS78RH","OK",FALSE,22.5,19.9,30,TRUE,11
"TS78RJ","OK",FALSE,30,20,30,TRUE,5
"TS78RL","OK",FALSE,30,21.5,30,TRUE,30
"TS78RN","OK",FALSE,19.2,19.4,30,TRUE,8
"TS78RP","OK",FALSE,28.5,20.4,30,TRUE,37
"TS78RQ","OK",FALSE,22.4,15.3,30,TRUE,14
"TS78RR","OK",FALSE,26.9,20,30,TRUE,63
"TS78RS","OK",FALSE,30,21.9,30,TRUE,15
"TS78RW","OK",TRUE,24.5,20.3,30,TRUE,11
"TS78RX","OK",TRUE,21.2,18.1,30,TRUE,17
"TS78RY","OK",FALSE,28.2,20,30,TRUE,14
"TS78RZ","OK",FALSE,20.4,20,30,TRUE,17
"TS78SA","OK",FALSE,25,21.8,30,TRUE,12
"TS78SB","OK",FALSE,28.5,21.6,30,TRUE,12
"TS78SD","OK",FALSE,30,20,30,TRUE,23
"TS78SE","OK",FALSE,27.1,20,30,TRUE,26
"TS78SF","OK",FALSE,30,30,30,TRUE,10
"TS78SH","OK",FALSE,25,22,30,TRUE,25
"TS78SJ","OK",FALSE,30,22,30,TRUE,27
"TS78SL","OK",FALSE,26.7,20,30,TRUE,34
"TS78SN","OK",TRUE,26.7,20.2,30,TRUE,17
"TS78SP","OK",FALSE,30,21,30,TRUE,15
"TS78SQ","OK",FALSE,28.1,20.2,30,TRUE,17
"TS78SR","OK",FALSE,21.6,20.2,30,TRUE,10
"TS78SS","OK",TRUE,28.6,30,30,TRUE,11
"TS78ST","OK",FALSE,19.5,20,20,TRUE,3
"TS78SW","OK",FALSE,30,20.7,30,TRUE,21
"TS78TA","OK",FALSE,10.3,8.2,13.9,TRUE,5
"TS78WL","No premises",NA,NA,NA,NA,FALSE,0
"TS78WR","No premises",NA,NA,NA,NA,FALSE,0
"TS78WT","No premises",NA,NA,NA,NA,FALSE,0
"TS78WY","No premises",NA,NA,NA,NA,FALSE,0
"TS78XG","No premises",NA,NA,NA,NA,FALSE,0
"TS78XP","No premises",NA,NA,NA,NA,FALSE,0
"TS78XY","No premises",NA,NA,NA,NA,FALSE,0
