"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TW11AE","No premises",NA,NA,NA,NA,FALSE,0
"TW11AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TW11AF","No Data",NA,NA,NA,NA,FALSE,0
"TW11AG","OK",FALSE,24,16.6,30,TRUE,42
"TW11AH","OK",TRUE,17.6,10.4,30,TRUE,35
"TW11AJ","OK",FALSE,22,11.6,30,TRUE,38
"TW11AL","OK",FALSE,28.1,20,30,TRUE,46
"TW11AN","OK",FALSE,24,13.4,30,TRUE,41
"TW11AP","OK",FALSE,27.2,14.3,30,TRUE,31
"TW11AQ","No premises",NA,NA,NA,NA,FALSE,0
"TW11AZ","OK",FALSE,17.1,16.4,21,FALSE,8
"TW11BA","OK",FALSE,17.4,18.7,22.2,FALSE,10
"TW11BB","OK",FALSE,21.1,21,21.4,FALSE,3
"TW11BD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TW11BH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TW11BJ","OK",FALSE,30,21,30,TRUE,21
"TW11BL","OK",FALSE,18.3,18.4,22,FALSE,14
"TW11BN","OK",FALSE,29,20,30,TRUE,31
"TW11BP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"TW11BQ","No premises",NA,NA,NA,NA,FALSE,0
"TW11BS","OK",FALSE,30,30,30,TRUE,36
"TW11BT","OK",FALSE,27.6,20.4,30,TRUE,11
"TW11BU","OK",FALSE,28.9,20.1,30,TRUE,20
"TW11BW","OK",FALSE,30,30,30,TRUE,4
"TW11BX","OK",FALSE,30,20,30,TRUE,21
"TW11BY","OK",TRUE,30,20,30,TRUE,30
"TW11BZ","OK",FALSE,25.8,20,30,TRUE,24
"TW11DA","OK",TRUE,24.8,20,30,TRUE,20
"TW11DB","OK",FALSE,22.1,20,30,TRUE,15
"TW11DD","OK",FALSE,26.7,20,30,TRUE,49
"TW11DE","OK",FALSE,15.5,18.4,20,TRUE,8
"TW11DF","OK",FALSE,19.5,20,30,TRUE,9
"TW11DG","OK",FALSE,24.8,16.6,30,TRUE,29
"TW11DQ","OK",FALSE,12.9,15,15.6,TRUE,3
"TW11DX","OK",FALSE,25.6,19.5,30,TRUE,8
"TW11DZ","No premises",NA,NA,NA,NA,TRUE,0
"TW11EA","OK",FALSE,15,16.8,21.9,FALSE,31
"TW11EB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"TW11EB","No Data",NA,NA,NA,NA,TRUE,0
"TW11EE","OK",FALSE,21.8,20.5,30,TRUE,5
"TW11EF","OK",FALSE,30,20.4,30,TRUE,23
"TW11EG","OK",FALSE,17.9,16.7,21.8,FALSE,7
"TW11EJ","OK",FALSE,22,18.8,30,TRUE,14
"TW11EL","OK",FALSE,23.4,19.4,30,TRUE,30
"TW11EN","OK",FALSE,26.9,20,30,TRUE,53
"TW11EQ","OK",FALSE,30,30,30,TRUE,13
"TW11ER","OK",TRUE,15.6,12.3,30,TRUE,19
"TW11ES","OK",FALSE,25.7,17.1,30,TRUE,13
"TW11ET","OK",FALSE,20.1,12.5,30,TRUE,15
"TW11EU","OK",FALSE,23,17.5,30,TRUE,16
"TW11EW","OK",TRUE,24.5,18.6,30,TRUE,26
"TW11EX","OK",FALSE,30,17,30,TRUE,12
"TW11EY","OK",FALSE,14.7,17,21,TRUE,5
"TW11EZ","OK",FALSE,19.6,19.2,30,TRUE,10
"TW11HA","OK",TRUE,13.3,18,19.6,FALSE,11
"TW11HB","OK",FALSE,15.6,16.5,18.1,FALSE,13
"TW11HD","OK",FALSE,19.7,20.2,30,TRUE,10
"TW11HG","OK",FALSE,17.5,19.5,20.4,TRUE,4
"TW11HP","OK",FALSE,30,20,30,TRUE,27
"TW11HR","OK",FALSE,19.2,16.4,30,TRUE,19
"TW11HS","OK",TRUE,30,20,30,TRUE,23
"TW11HT","OK",TRUE,30,20,30,TRUE,17
"TW11HU","OK",FALSE,19.8,17.9,30,TRUE,6
"TW11HW","OK",TRUE,27.9,19.4,30,TRUE,14
