"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"UB187AT","No premises",NA,NA,NA,NA,FALSE,0
"UB187AU","No premises",NA,NA,NA,NA,FALSE,0
"UB187BE","No premises",NA,NA,NA,NA,FALSE,0
"UB187DE","No premises",NA,NA,NA,NA,FALSE,0
"UB187DN","No premises",NA,NA,NA,NA,FALSE,0
"UB187ER","No premises",NA,NA,NA,NA,FALSE,0
"UB187ES","No premises",NA,NA,NA,NA,FALSE,0
"UB187FD","No premises",NA,NA,NA,NA,FALSE,0
"UB187FR","No premises",NA,NA,NA,NA,FALSE,0
"UB187HG","No premises",NA,NA,NA,NA,FALSE,0
"UB187JP","No premises",NA,NA,NA,NA,FALSE,0
"UB187NL","No premises",NA,NA,NA,NA,FALSE,0
"UB187NY","No premises",NA,NA,NA,NA,FALSE,0
"UB187NZ","No premises",NA,NA,NA,NA,FALSE,0
"UB187PH","No premises",NA,NA,NA,NA,FALSE,0
"UB187PT","No premises",NA,NA,NA,NA,FALSE,0
"UB187SE","No premises",NA,NA,NA,NA,FALSE,0
"UB187SW","No premises",NA,NA,NA,NA,FALSE,0
"UB187TR","No premises",NA,NA,NA,NA,FALSE,0
"UB187TW","No premises",NA,NA,NA,NA,FALSE,0
"UB187US","No premises",NA,NA,NA,NA,FALSE,0
"UB187YN","No premises",NA,NA,NA,NA,FALSE,0
"UB187YS","No premises",NA,NA,NA,NA,FALSE,0
"UB187YT","No premises",NA,NA,NA,NA,FALSE,0
"UB187YZ","No premises",NA,NA,NA,NA,FALSE,0
"UB187ZA","No premises",NA,NA,NA,NA,FALSE,0
"UB189AU","No premises",NA,NA,NA,NA,FALSE,0
"UB189BE","No premises",NA,NA,NA,NA,FALSE,0
"UB189DE","No premises",NA,NA,NA,NA,FALSE,0
"UB189DN","No premises",NA,NA,NA,NA,FALSE,0
"UB189ER","No premises",NA,NA,NA,NA,FALSE,0
"UB189ES","No premises",NA,NA,NA,NA,FALSE,0
"UB189FD","No premises",NA,NA,NA,NA,FALSE,0
"UB189FR","No premises",NA,NA,NA,NA,FALSE,0
"UB189HG","No premises",NA,NA,NA,NA,FALSE,0
"UB189JP","No premises",NA,NA,NA,NA,FALSE,0
"UB189NL","No premises",NA,NA,NA,NA,FALSE,0
"UB189NY","No premises",NA,NA,NA,NA,FALSE,0
"UB189NZ","No premises",NA,NA,NA,NA,FALSE,0
"UB189PH","No premises",NA,NA,NA,NA,FALSE,0
"UB189PT","No premises",NA,NA,NA,NA,FALSE,0
"UB189SE","No premises",NA,NA,NA,NA,FALSE,0
"UB189SW","No premises",NA,NA,NA,NA,FALSE,0
"UB189TH","No premises",NA,NA,NA,NA,FALSE,0
"UB189TR","No premises",NA,NA,NA,NA,FALSE,0
"UB189TW","No premises",NA,NA,NA,NA,FALSE,0
"UB189US","No premises",NA,NA,NA,NA,FALSE,0
"UB189YN","No premises",NA,NA,NA,NA,FALSE,0
"UB189YS","No premises",NA,NA,NA,NA,FALSE,0
"UB189YT","No premises",NA,NA,NA,NA,FALSE,0
"UB189YZ","No premises",NA,NA,NA,NA,FALSE,0
"UB189ZA","No premises",NA,NA,NA,NA,FALSE,0
