"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W140AA","OK",FALSE,8.1,7.5,21.1,TRUE,17
"W140AB","OK",FALSE,22.8,7.6,30,TRUE,35
"W140AD","OK",FALSE,11.5,7.3,30,TRUE,8
"W140AE","OK",FALSE,14.1,7.8,30,TRUE,13
"W140AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W140AH","OK",TRUE,12.3,7.7,30,TRUE,30
"W140AJ","OK",TRUE,13.5,7.3,30,TRUE,46
"W140AL","OK",TRUE,10.8,7,30,TRUE,64
"W140AN","OK",TRUE,7.8,5.7,30,TRUE,64
"W140AP","OK",TRUE,10.9,7.3,30,TRUE,36
"W140AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W140AS","OK",TRUE,9.9,7,30,TRUE,26
"W140AT","OK",FALSE,16.6,7.2,30,TRUE,56
"W140AU","OK",TRUE,11,6.5,30,TRUE,72
"W140AW","OK",FALSE,14.9,6.3,30,TRUE,9
"W140AX","No premises",NA,NA,NA,NA,FALSE,0
"W140AY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W140BG","OK",TRUE,16,7.1,30,TRUE,39
"W140BJ","OK",TRUE,16.3,8.4,30,TRUE,50
"W140BL","OK",TRUE,9.3,6.9,30,TRUE,67
"W140BP","OK",TRUE,9.3,5.6,30,TRUE,32
"W140BQ","OK",TRUE,21.4,7,30,TRUE,41
"W140BS","OK",TRUE,16.4,6.9,30,TRUE,35
"W140BT","OK",TRUE,15,7,30,TRUE,29
"W140BU","OK",TRUE,8.9,6.5,30,TRUE,58
"W140BW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W140BX","OK",FALSE,9.9,7.6,30,TRUE,24
"W140BY","OK",TRUE,15.4,5.9,30,TRUE,22
"W140BZ","OK",FALSE,17.9,8.3,30,TRUE,4
"W140DA","OK",TRUE,10.5,6.3,30,TRUE,30
"W140DB","OK",TRUE,10.2,6,30,TRUE,44
"W140DJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W140DN","OK",TRUE,13.6,6.8,30,TRUE,19
"W140DP","OK",TRUE,10.2,6.6,30,TRUE,104
"W140DQ","OK",FALSE,5.5,5.5,6.2,TRUE,4
"W140DR","OK",TRUE,25.4,7.7,30,TRUE,21
"W140DS","OK",TRUE,19.3,6.9,30,TRUE,34
"W140DT","OK",TRUE,19.1,9.1,30,TRUE,13
"W140DU","OK",TRUE,9.1,7.3,30,TRUE,40
"W140DX","OK",TRUE,10.4,7.3,30,TRUE,61
