"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W1B5AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5AD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5AF","No Data",NA,NA,NA,NA,FALSE,0
"W1B5AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5AH","No premises",NA,NA,NA,NA,FALSE,0
"W1B5AL","No premises",NA,NA,NA,NA,FALSE,0
"W1B5AN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5AP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5AR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5BD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5BN","No premises",NA,NA,NA,NA,FALSE,0
"W1B5BT","No premises",NA,NA,NA,NA,FALSE,0
"W1B5DF","OK",FALSE,14,16.5,17.3,FALSE,5
"W1B5DG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"W1B5DH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5DP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5DQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5DS","No premises",NA,NA,NA,NA,FALSE,0
"W1B5DW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5DX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5EA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5FE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"W1B5HA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5HQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5JG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5JY","No premises",NA,NA,NA,NA,FALSE,0
"W1B5LJ","No premises",NA,NA,NA,NA,FALSE,0
"W1B5LR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5LS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5LT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"W1B5LU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5LX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"W1B5LY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5LZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"W1B5NA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5NE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5NF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5NH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5NL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"W1B5NQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PD","No Data",NA,NA,NA,NA,FALSE,0
"W1B5PE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PW","OK",TRUE,9.7,8.1,19.5,FALSE,11
"W1B5PX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5PZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1B5QA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
