"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W1H4AA","No premises",NA,NA,NA,NA,TRUE,0
"W1H4AD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W1H4AG","No premises",NA,NA,NA,NA,FALSE,0
"W1H4AL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4AL","No Data",NA,NA,NA,NA,TRUE,0
"W1H4AN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4AN","No Data",NA,NA,NA,NA,TRUE,0
"W1H4AP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4AP","No Data",NA,NA,NA,NA,TRUE,0
"W1H4AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4AT","No Data",NA,NA,NA,NA,FALSE,0
"W1H4AW","OK",FALSE,15.7,14.6,23.8,TRUE,6
"W1H4BS","No Data",NA,NA,NA,NA,FALSE,0
"W1H4DJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4DJ","No Data",NA,NA,NA,NA,FALSE,0
"W1H4DL","OK",FALSE,15.4,15.4,22,FALSE,3
"W1H4DR","OK",FALSE,10.3,13.3,16.1,FALSE,5
"W1H4EG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4EG","No Data",NA,NA,NA,NA,TRUE,0
"W1H4EU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"W1H4EX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4EX","No Data",NA,NA,NA,NA,FALSE,0
"W1H4EY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"W1H4EZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4EZ","No Data",NA,NA,NA,NA,FALSE,0
"W1H4HA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4HA","No Data",NA,NA,NA,NA,FALSE,0
"W1H4HB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4HB","No Data",NA,NA,NA,NA,FALSE,0
"W1H4HD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4HD","No Data",NA,NA,NA,NA,FALSE,0
"W1H4HE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4HE","No Data",NA,NA,NA,NA,FALSE,0
"W1H4HF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1H4HF","No Data",NA,NA,NA,NA,FALSE,0
"W1H4HG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HG","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HH","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HJ","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HL","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HN","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HP","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HQ","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HR","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HS","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HU","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HW","No Data",NA,NA,NA,NA,TRUE,0
"W1H4HX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1H4HX","No Data",NA,NA,NA,NA,TRUE,0
"W1H4JA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
