"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W1T4AA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4AB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4AH","No Data",NA,NA,NA,NA,FALSE,0
"W1T4AP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4AQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W1T4AS","No Data",NA,NA,NA,NA,TRUE,0
"W1T4AT","OK",FALSE,27.6,22.2,30,TRUE,9
"W1T4AU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4AW","OK",FALSE,30,22.2,30,TRUE,3
"W1T4AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4AY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W1T4AZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4BB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4BE","No premises",NA,NA,NA,NA,TRUE,0
"W1T4BG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4BJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4BL","OK",FALSE,19.4,19.9,22.9,TRUE,30
"W1T4BN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W1T4BP","OK",FALSE,18.3,20.2,23.2,TRUE,29
"W1T4BQ","No premises",NA,NA,NA,NA,TRUE,0
"W1T4BU","Insufficient Data",NA,NA,NA,NA,TRUE,1
"W1T4BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4BZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4DZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4EA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4EB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4EE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4EF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4EJ","No Data",NA,NA,NA,NA,TRUE,0
"W1T4EL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4EQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4ER","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4EU","OK",FALSE,12.9,8.1,23.4,FALSE,3
"W1T4EY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4EZ","OK",FALSE,17.6,20.9,23.4,TRUE,9
"W1T4HD","Insufficient Data",NA,NA,NA,NA,TRUE,1
"W1T4HF","OK",FALSE,19.9,19.9,20.1,TRUE,3
"W1T4HG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"W1T4HH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W1T4HJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W1T4HL","No premises",NA,NA,NA,NA,TRUE,0
"W1T4HQ","No Data",NA,NA,NA,NA,TRUE,0
