"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W22HB","OK",FALSE,12.8,12.2,20.7,FALSE,13
"W22HD","OK",FALSE,13.1,14.3,20.3,FALSE,17
"W22HF","No premises",NA,NA,NA,NA,FALSE,0
"W22HG","OK",FALSE,14.3,15.3,21.8,FALSE,13
"W22HH","OK",TRUE,12.8,14.4,19.5,FALSE,19
"W22HJ","OK",FALSE,15.4,18,21.5,FALSE,8
"W22HL","OK",TRUE,10.8,10.8,21,FALSE,29
"W22HN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W22HR","OK",FALSE,18.7,18.5,19.7,TRUE,6
"W22HS","No premises",NA,NA,NA,NA,FALSE,0
"W22HT","No premises",NA,NA,NA,NA,FALSE,0
"W22HU","No premises",NA,NA,NA,NA,FALSE,0
"W22HX","OK",FALSE,15.4,14.3,22.8,FALSE,6
"W22HZ","OK",FALSE,14.5,16.1,17.5,FALSE,5
