"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W25EA","OK",FALSE,24.2,14.4,30,TRUE,21
"W25EB","OK",FALSE,18.7,14.3,30,TRUE,32
"W25ED","OK",TRUE,19.9,13.3,30,TRUE,13
"W25EE","OK",TRUE,24,14.8,30,TRUE,15
"W25EF","OK",FALSE,17.4,12,30,TRUE,13
"W25EH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W25EJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W25EJ","No Data",NA,NA,NA,NA,TRUE,0
"W25EN","OK",FALSE,7.3,7.2,18.9,TRUE,38
"W25ER","OK",TRUE,16.7,9.1,30,TRUE,13
"W25ES","OK",FALSE,11.1,11.1,11.1,TRUE,4
"W25ET","OK",FALSE,23.2,11.4,30,TRUE,22
"W25EU","Insufficient Data",NA,NA,NA,NA,TRUE,1
"W25EW","OK",TRUE,13.5,6.6,30,TRUE,44
"W25EX","OK",FALSE,18.6,8.8,30,TRUE,16
"W25EY","OK",TRUE,15.9,9.5,30,TRUE,24
"W25EZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W25EZ","No Data",NA,NA,NA,NA,TRUE,0
