"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"W36LE","OK",FALSE,26.6,20,30,TRUE,13
"W36LG","OK",TRUE,20.1,21.6,30,TRUE,10
"W36LH","OK",FALSE,23.6,19.7,30,TRUE,96
"W36LJ","OK",FALSE,30,30,30,TRUE,4
"W36LP","OK",FALSE,24.1,14.4,30,TRUE,18
"W36LR","No premises",NA,NA,NA,NA,FALSE,0
"W36LS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W36LS","No Data",NA,NA,NA,NA,TRUE,0
"W36LX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W36LX","No Data",NA,NA,NA,NA,TRUE,0
"W36LY","OK",FALSE,23.4,15.8,30,TRUE,17
"W36LZ","No premises",NA,NA,NA,NA,TRUE,0
