"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W52NA","OK",FALSE,30,30,30,TRUE,7
"W52NB","OK",FALSE,30,20,30,TRUE,20
"W52ND","OK",TRUE,8.9,8.1,17.7,FALSE,8
"W52NG","OK",FALSE,20.1,14.3,30,TRUE,27
"W52NH","OK",FALSE,10.9,7.8,18.3,TRUE,5
"W52NN","OK",FALSE,20.6,20.6,21.4,FALSE,3
"W52NP","OK",TRUE,10.1,12.1,17.8,TRUE,7
"W52NQ","OK",FALSE,30,30,30,TRUE,22
"W52NR","OK",FALSE,11.2,14.1,15.5,TRUE,11
"W52NT","OK",TRUE,8.6,6.6,16.1,FALSE,5
"W52NU","OK",TRUE,4.7,5.9,7.8,TRUE,7
"W52NX","OK",FALSE,20.3,13.9,30,TRUE,16
"W52NY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W52NY","No Data",NA,NA,NA,NA,TRUE,0
"W52NZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"W52NZ","No Data",NA,NA,NA,NA,TRUE,0
