"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W54BA","OK",FALSE,3.8,3.8,5.7,TRUE,21
"W54BB","OK",TRUE,24.7,20,30,TRUE,59
"W54BD","OK",TRUE,4.8,4.9,6.4,TRUE,16
"W54BE","No Data",NA,NA,NA,NA,FALSE,0
"W54BF","OK",TRUE,13,3.7,30,TRUE,5
"W54BH","OK",TRUE,19,6.6,30,TRUE,56
"W54BJ","OK",TRUE,27.4,6.8,30,TRUE,71
"W54BL","OK",TRUE,2.7,2.6,5.2,TRUE,35
"W54BN","OK",FALSE,3.6,3.8,4.1,FALSE,3
"W54BP","OK",TRUE,20.3,13.2,30,TRUE,60
"W54BS","OK",FALSE,7.4,5.8,30,TRUE,14
"W54BT","OK",FALSE,17,7.5,30,TRUE,32
"W54BW","OK",FALSE,4.9,3.6,14.9,TRUE,7
