"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W59SA","No premises",NA,NA,NA,NA,FALSE,0
"W59SB","No premises",NA,NA,NA,NA,FALSE,0
"W59SD","No premises",NA,NA,NA,NA,FALSE,0
"W59SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
