"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W59TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TA","No Data",NA,NA,NA,NA,FALSE,0
"W59TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TB","No Data",NA,NA,NA,NA,FALSE,0
"W59TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TD","No Data",NA,NA,NA,NA,FALSE,0
"W59TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TE","No Data",NA,NA,NA,NA,FALSE,0
"W59TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TF","No Data",NA,NA,NA,NA,FALSE,0
"W59TG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TG","No Data",NA,NA,NA,NA,FALSE,0
"W59TH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"W59TH","No Data",NA,NA,NA,NA,FALSE,0
