"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W84PD","OK",FALSE,14,14.5,30,FALSE,33
"W84PE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"W84PF","OK",FALSE,17.5,19.1,23.6,FALSE,4
"W84PL","OK",FALSE,10.6,8.1,19.9,FALSE,7
"W84PR","OK",FALSE,11.8,12.2,20.2,FALSE,4
"W84PT","No premises",NA,NA,NA,NA,FALSE,0
"W84PU","OK",FALSE,10.9,8.8,19.7,FALSE,15
"W84PW","No premises",NA,NA,NA,NA,FALSE,0
"W84PX","No premises",NA,NA,NA,NA,FALSE,0
"W84PY","OK",FALSE,14.7,17,21,FALSE,6
"W84PZ","No premises",NA,NA,NA,NA,FALSE,0
