"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W85UA","OK",TRUE,11.8,11.5,22.9,FALSE,6
"W85UB","OK",TRUE,20.7,12,30,TRUE,20
"W85UD","OK",FALSE,19.1,9,30,TRUE,9
"W85UE","OK",FALSE,19.7,15.6,30,TRUE,12
"W85UF","OK",FALSE,29.6,15.2,30,TRUE,12
"W85UG","OK",FALSE,25.1,11.4,30,TRUE,8
"W85UH","OK",TRUE,18.5,16.7,30,TRUE,9
"W85UJ","OK",FALSE,29.4,14.2,30,TRUE,17
"W85UL","OK",TRUE,23.9,12.9,30,TRUE,26
"W85UN","OK",FALSE,10.6,11.3,18,FALSE,26
"W85UP","OK",FALSE,12.9,13.4,17.4,FALSE,7
"W85UQ","OK",FALSE,11.1,15.1,16,TRUE,5
"W85UR","OK",TRUE,11.7,10.9,21.9,FALSE,23
"W85UT","OK",FALSE,8.4,8.7,11.6,FALSE,11
"W85UU","OK",FALSE,10.4,8.6,14.6,FALSE,4
"W85UW","OK",FALSE,7.8,6.8,11.6,FALSE,5
