"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W89FA","No premises",NA,NA,NA,NA,FALSE,0
"W89FB","No premises",NA,NA,NA,NA,FALSE,0
"W89FD","No premises",NA,NA,NA,NA,FALSE,0
"W89FF","No premises",NA,NA,NA,NA,FALSE,0
"W89FN","No premises",NA,NA,NA,NA,FALSE,0
"W89FP","No premises",NA,NA,NA,NA,FALSE,0
"W89FQ","No premises",NA,NA,NA,NA,FALSE,0
"W89FR","No premises",NA,NA,NA,NA,FALSE,0
"W89FS","No premises",NA,NA,NA,NA,FALSE,0
"W89FW","No premises",NA,NA,NA,NA,FALSE,0
"W89FX","No premises",NA,NA,NA,NA,FALSE,0
"W89FZ","No premises",NA,NA,NA,NA,FALSE,0
