"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"WA39AG","No premises",NA,NA,NA,NA,FALSE,0
"WA39AJ","No premises",NA,NA,NA,NA,FALSE,0
"WA39AL","No premises",NA,NA,NA,NA,FALSE,0
"WA39AN","No premises",NA,NA,NA,NA,FALSE,0
"WA39AU","No premises",NA,NA,NA,NA,FALSE,0
"WA39AZ","No premises",NA,NA,NA,NA,FALSE,0
"WA39BB","No premises",NA,NA,NA,NA,FALSE,0
"WA39BG","No premises",NA,NA,NA,NA,FALSE,0
"WA39BJ","No premises",NA,NA,NA,NA,FALSE,0
"WA39BL","No premises",NA,NA,NA,NA,FALSE,0
"WA39BN","No premises",NA,NA,NA,NA,FALSE,0
"WA39BP","No premises",NA,NA,NA,NA,FALSE,0
"WA39BQ","No premises",NA,NA,NA,NA,FALSE,0
"WA39BR","No premises",NA,NA,NA,NA,FALSE,0
"WA39BS","No premises",NA,NA,NA,NA,FALSE,0
"WA39BT","No premises",NA,NA,NA,NA,FALSE,0
"WA39BU","No premises",NA,NA,NA,NA,FALSE,0
