"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"WC1H0AA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AB","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0AE","No premises",NA,NA,NA,NA,FALSE,0
"WC1H0AF","OK",FALSE,15.5,15.5,23,TRUE,3
"WC1H0AG","OK",FALSE,15.1,16.9,22.7,TRUE,10
"WC1H0AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AL","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0AN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AR","No Data",NA,NA,NA,NA,FALSE,0
"WC1H0AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC1H0AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC1H0AY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0BT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WC1H0BW","No Data",NA,NA,NA,NA,TRUE,0
"WC1H0BX","No premises",NA,NA,NA,NA,FALSE,0
"WC1H0DB","OK",FALSE,14.6,13.5,20,TRUE,6
"WC1H0DD","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0DG","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0DH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0DP","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0DS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0EA","OK",FALSE,22.7,20.4,30,TRUE,16
"WC1H0EB","OK",FALSE,21.8,21.2,24.4,TRUE,6
"WC1H0EF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0EG","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0EH","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WC1H0EJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0HA","OK",FALSE,27.7,30,30,TRUE,3
"WC1H0HB","OK",FALSE,30,30,30,TRUE,6
"WC1H0HD","OK",FALSE,30,30,30,TRUE,5
"WC1H0HF","OK",FALSE,30,30,30,TRUE,3
"WC1H0HJ","OK",TRUE,30,21.7,30,TRUE,5
"WC1H0HL","OK",FALSE,30,30,30,TRUE,7
"WC1H0HP","OK",FALSE,21,20,30,TRUE,9
"WC1H0HQ","OK",FALSE,30,30,30,TRUE,4
"WC1H0HT","No premises",NA,NA,NA,NA,FALSE,0
"WC1H0HW","OK",FALSE,21.6,20,30,TRUE,7
"WC1H0HX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0JE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WC1H0JH","No premises",NA,NA,NA,NA,FALSE,0
"WC1H0JJ","OK",FALSE,19.6,19,22.8,TRUE,4
"WC1H0JL","OK",TRUE,11,12,20,TRUE,12
"WC1H0JR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WC1H0JW","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0JX","No premises",NA,NA,NA,NA,FALSE,0
"WC1H0JZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC1H0LH","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0LL","OK",FALSE,22.5,19,30,TRUE,17
"WC1H0LN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC1H0LP","OK",FALSE,23.2,17.7,30,TRUE,26
"WC1H0LQ","No premises",NA,NA,NA,NA,TRUE,0
"WC1H0LR","OK",FALSE,22.3,17.2,30,TRUE,23
"WC1H0LS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WC1H0LW","OK",FALSE,21.8,17.5,30,TRUE,23
"WC1H0ND","OK",TRUE,17.2,17.2,30,TRUE,31
"WC1H0NF","OK",FALSE,15.8,17,30,TRUE,21
"WC1H0NG","OK",FALSE,17.2,17.5,30,TRUE,24
"WC1H0NH","OK",FALSE,17.3,17.4,30,TRUE,22
"WC1H0NJ","OK",FALSE,17.4,16.4,30,TRUE,20
"WC1H0NL","OK",FALSE,27.7,30,30,TRUE,20
"WC1H0NN","No Data",NA,NA,NA,NA,TRUE,0
"WC1H0NR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
