"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"WC2R0AA","OK",TRUE,5.6,8.1,8.1,TRUE,3
"WC2R0AB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"WC2R0AF","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0AG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WC2R0AP","OK",FALSE,12.6,12.6,22.8,FALSE,3
"WC2R0BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0BA","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0BB","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0BL","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0BN","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0BP","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0BU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0BU","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0DA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0DA","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0DE","OK",FALSE,16,16,18.8,FALSE,4
"WC2R0DT","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0DU","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0DW","OK",TRUE,8.2,7.9,15.9,FALSE,4
"WC2R0ET","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0EU","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0EW","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0EX","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0EY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WC2R0EZ","OK",FALSE,16.3,17.6,20.5,FALSE,8
"WC2R0GR","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0HS","OK",FALSE,19.9,18.2,24.4,FALSE,5
"WC2R0JE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0JE","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0JF","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0JJ","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0JP","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0JR","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0JS","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0JT","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0JU","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0LP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"WC2R0LQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0LQ","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0LR","OK",FALSE,19.7,19.7,22.8,FALSE,4
"WC2R0LS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0LS","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0LT","OK",FALSE,10.3,8.1,18.3,FALSE,6
"WC2R0LX","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0NB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0NB","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0NE","OK",FALSE,12.5,8.2,22.2,FALSE,8
"WC2R0NH","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0NN","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0NP","OK",FALSE,15.2,14.3,22.7,FALSE,11
"WC2R0NR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0NR","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0NS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0NS","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0NT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WC2R0PD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0PD","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0PJ","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0PP","OK",FALSE,17,18.9,23.4,FALSE,14
"WC2R0PS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0PS","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0PT","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WC2R0PZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WC2R0PZ","No Data",NA,NA,NA,NA,FALSE,0
"WC2R0QE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WC2R0QN","OK",TRUE,4.6,4.6,8.1,FALSE,3
"WC2R0QS","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0QU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"WC2R0RE","No premises",NA,NA,NA,NA,FALSE,0
"WC2R0RG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
