"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"WF58AB","OK",FALSE,18.2,18.9,20.8,TRUE,4
"WF58AD","OK",FALSE,30,30,30,TRUE,4
"WF58AE","OK",FALSE,30,20,30,TRUE,5
"WF58AF","No Data",NA,NA,NA,NA,TRUE,0
"WF58AG","No Data",NA,NA,NA,NA,TRUE,0
"WF58AH","OK",TRUE,9.4,9.7,17.1,TRUE,4
"WF58AJ","No premises",NA,NA,NA,NA,FALSE,0
"WF58AL","OK",FALSE,30,20,30,TRUE,6
"WF58AN","OK",FALSE,16.2,10,30,TRUE,13
"WF58AP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF58AQ","OK",FALSE,15.5,15.2,19.9,TRUE,4
"WF58AR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF58AS","OK",FALSE,13.4,14.5,21.4,TRUE,11
"WF58AT","OK",FALSE,11.8,7.1,30,TRUE,8
"WF58AU","OK",TRUE,15.3,12.7,30,TRUE,25
"WF58AW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WF58AX","OK",FALSE,16.5,14.3,30,TRUE,9
"WF58AY","OK",FALSE,15.6,17.3,21.7,TRUE,15
"WF58AZ","OK",FALSE,15.8,17.9,20.1,TRUE,7
"WF58BA","OK",FALSE,20.9,17,30,TRUE,21
"WF58BB","OK",FALSE,19.6,15.9,30,TRUE,29
"WF58BD","OK",FALSE,9.2,8.9,14.8,TRUE,6
"WF58BE","No premises",NA,NA,NA,NA,TRUE,0
"WF58BH","OK",FALSE,13,15.4,18.7,TRUE,3
"WF58BJ","OK",FALSE,11.4,8.1,18.9,TRUE,3
"WF58BL","OK",FALSE,23.8,16.2,30,TRUE,3
"WF58BN","No Data",NA,NA,NA,NA,TRUE,0
"WF58BP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WF58BQ","OK",FALSE,11.3,7.8,18.4,TRUE,3
"WF58BU","OK",FALSE,18.6,6.6,30,TRUE,13
"WF58BW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF58BX","OK",FALSE,11.9,5.6,30,TRUE,10
"WF58DA","OK",FALSE,16.1,13.2,30,TRUE,8
"WF58DE","OK",TRUE,25.9,12.1,30,TRUE,9
"WF58DF","OK",FALSE,19.7,15.4,30,TRUE,11
"WF58DG","OK",FALSE,19,15,30,TRUE,13
"WF58DH","OK",FALSE,14.2,7.3,30,TRUE,21
"WF58DJ","OK",FALSE,22.2,10.4,30,TRUE,4
"WF58DL","OK",TRUE,21.8,20,30,TRUE,22
"WF58DN","OK",FALSE,28.7,13.3,30,TRUE,25
"WF58DP","OK",TRUE,17.2,8.6,30,TRUE,14
"WF58DQ","OK",TRUE,18.7,10.1,30,TRUE,20
"WF58DR","OK",FALSE,18.6,9.6,30,TRUE,13
"WF58DS","OK",FALSE,25.4,25,30,TRUE,6
"WF58DT","OK",TRUE,14.6,7.1,30,TRUE,28
"WF58DU","OK",FALSE,15.5,9.2,30,TRUE,10
"WF58DW","OK",FALSE,17.4,16.6,30,TRUE,10
"WF58DX","OK",FALSE,20.5,10.1,30,TRUE,9
"WF58DY","OK",FALSE,29,30,30,TRUE,17
"WF58DZ","OK",FALSE,21.8,8.7,30,TRUE,14
"WF58EA","OK",TRUE,16.4,8.1,30,TRUE,19
"WF58EB","OK",TRUE,16.6,7.3,30,TRUE,26
"WF58ED","OK",TRUE,18.8,7.8,30,TRUE,9
"WF58EE","OK",TRUE,27.9,7.9,30,TRUE,10
"WF58EF","OK",FALSE,8.3,6.8,20,TRUE,7
"WF58EG","OK",FALSE,12.8,8.4,30,TRUE,14
"WF58EH","OK",TRUE,17.9,7.8,30,TRUE,13
"WF58EJ","OK",TRUE,18.7,7.4,30,TRUE,34
"WF58EL","OK",TRUE,15.2,8.4,30,TRUE,8
"WF58EN","OK",TRUE,12.1,6.7,30,TRUE,11
"WF58EP","No premises",NA,NA,NA,NA,TRUE,0
"WF58EQ","OK",FALSE,6,6.1,7.4,TRUE,6
"WF58ER","OK",FALSE,11.3,9.7,16.4,TRUE,4
"WF58ES","OK",TRUE,20.1,7.4,30,TRUE,17
"WF58ET","No Data",NA,NA,NA,NA,TRUE,0
"WF58EU","OK",FALSE,21,19.7,30,TRUE,9
"WF58EW","OK",FALSE,27.5,20,30,TRUE,9
"WF58EX","OK",FALSE,24.1,14.8,30,TRUE,4
"WF58EZ","OK",FALSE,30,18.2,30,TRUE,12
"WF58HA","OK",FALSE,16.8,8.5,30,TRUE,8
"WF58HB","OK",FALSE,30,20,30,TRUE,14
"WF58HD","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF58HE","OK",TRUE,16.3,11.8,30,TRUE,40
"WF58HF","OK",FALSE,20.9,18.1,30,TRUE,6
"WF58HG","OK",TRUE,16,15.3,30,TRUE,19
"WF58HH","OK",FALSE,22.5,15.5,30,TRUE,10
"WF58HJ","OK",TRUE,14.3,9.7,30,TRUE,14
"WF58HL","OK",TRUE,7.7,7.5,13.3,TRUE,13
"WF58HN","OK",FALSE,21.5,7.9,30,TRUE,5
"WF58HP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF58HQ","OK",TRUE,21.5,12.7,30,TRUE,22
"WF58HR","OK",FALSE,9.6,8,16.9,TRUE,7
"WF58HS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF58HT","OK",FALSE,27.7,15.3,30,TRUE,35
"WF58HU","OK",FALSE,9.6,8.4,30,TRUE,22
"WF58HX","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WF58HY","OK",FALSE,12.9,11.2,30,TRUE,15
"WF58HZ","OK",FALSE,30,9.7,30,TRUE,3
"WF58JA","OK",TRUE,5.9,6,10.9,TRUE,8
"WF58JB","OK",FALSE,9,7.6,30,TRUE,15
"WF58JD","OK",TRUE,7.5,7.6,21.6,TRUE,23
"WF58JE","OK",FALSE,17.2,10.1,30,TRUE,14
"WF58JF","OK",TRUE,18.1,9.7,30,TRUE,18
"WF58JG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WF58JH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF58JJ","OK",TRUE,7.7,6.1,30,TRUE,36
"WF58JL","OK",FALSE,9,6.6,30,TRUE,14
"WF58JN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF58JP","OK",FALSE,10.5,9.9,15.9,TRUE,3
"WF58JQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WF58JR","OK",FALSE,10.3,11.9,16.4,TRUE,3
"WF58JS","OK",FALSE,18.2,16.4,30,TRUE,10
"WF58JT","OK",FALSE,15.6,14.5,30,TRUE,20
"WF58JU","OK",FALSE,10.9,11.5,15.9,TRUE,10
"WF58JW","OK",TRUE,11.7,8.3,30,TRUE,22
"WF58JX","Insufficient Data",NA,NA,NA,NA,TRUE,2
