"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"WS98AA","OK",TRUE,10.5,8.2,21.7,TRUE,12
"WS98AB","OK",TRUE,7.5,7,19,TRUE,5
"WS98AD","No premises",NA,NA,NA,NA,TRUE,0
"WS98AE","No Data",NA,NA,NA,NA,FALSE,0
"WS98AF","OK",FALSE,13.1,14.4,16.4,FALSE,11
"WS98AH","OK",TRUE,24.7,20,30,TRUE,24
"WS98AJ","No premises",NA,NA,NA,NA,TRUE,0
"WS98AL","No premises",NA,NA,NA,NA,TRUE,0
"WS98AN","OK",FALSE,14.4,15.8,20.1,TRUE,5
"WS98AP","OK",TRUE,21.8,19.7,30,TRUE,13
"WS98AQ","OK",FALSE,14.2,13.3,30,TRUE,62
"WS98AR","OK",FALSE,15.1,14.5,18.7,TRUE,12
"WS98AT","OK",TRUE,24.1,20,30,TRUE,30
"WS98AU","OK",FALSE,18.2,19,30,TRUE,24
"WS98AW","OK",FALSE,30,23.2,30,TRUE,20
"WS98AX","OK",FALSE,24.8,21.6,30,TRUE,28
"WS98AY","OK",FALSE,28.4,26.4,30,TRUE,6
"WS98AZ","OK",FALSE,30,20.5,30,TRUE,10
"WS98BA","OK",FALSE,23.8,20,30,TRUE,30
"WS98BB","OK",FALSE,30,20,30,TRUE,20
"WS98BD","OK",FALSE,18.2,17,22,TRUE,5
"WS98BE","OK",TRUE,16.2,16.6,30,TRUE,41
"WS98BG","OK",FALSE,11.2,10.6,15.3,FALSE,4
"WS98BH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WS98BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WS98BL","OK",TRUE,9.9,10.2,18.6,TRUE,4
"WS98BN","No premises",NA,NA,NA,NA,TRUE,0
"WS98BP","OK",FALSE,16.4,18.3,20.7,TRUE,35
"WS98BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS98BS","OK",TRUE,15.4,9.2,30,TRUE,25
"WS98BT","OK",FALSE,17.3,14.4,30,TRUE,14
"WS98BU","OK",FALSE,22.2,20,30,TRUE,9
"WS98BW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS98BX","OK",FALSE,14.1,14.1,20.2,TRUE,3
"WS98BY","OK",TRUE,15.1,15.4,20.3,TRUE,27
"WS98BZ","OK",FALSE,13.1,12,20.8,FALSE,8
"WS98DA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WS98DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WS98DE","No premises",NA,NA,NA,NA,FALSE,0
"WS98DG","No premises",NA,NA,NA,NA,FALSE,0
"WS98DJ","No premises",NA,NA,NA,NA,FALSE,0
"WS98DL","OK",FALSE,9.9,8.9,13.9,FALSE,4
