"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"WV60AA","OK",FALSE,19.1,18.2,30,TRUE,4
"WV60AB","OK",FALSE,11.3,8.6,30,TRUE,9
"WV60AD","OK",FALSE,19.9,8.4,30,TRUE,13
"WV60AE","OK",FALSE,24.4,11.7,30,TRUE,13
"WV60AF","OK",FALSE,11.1,10.1,30,TRUE,8
"WV60AG","OK",FALSE,29.2,20,30,TRUE,15
"WV60AH","OK",FALSE,30,30,30,TRUE,8
"WV60AJ","OK",FALSE,28,20,30,TRUE,23
"WV60AL","OK",TRUE,22.5,20,30,TRUE,19
"WV60AN","OK",TRUE,18.8,20,30,TRUE,17
"WV60AQ","OK",FALSE,23.1,30,30,TRUE,3
"WV60AR","OK",FALSE,25.4,20,30,TRUE,15
"WV60AS","OK",FALSE,23.6,25,30,TRUE,4
"WV60AT","OK",FALSE,24.7,20,30,TRUE,23
"WV60AU","OK",TRUE,21,20,30,TRUE,15
"WV60AW","OK",TRUE,30,20,30,TRUE,45
"WV60AX","OK",TRUE,13.7,9.5,30,TRUE,27
"WV60AZ","OK",TRUE,24.4,12.2,30,TRUE,24
"WV60BA","OK",FALSE,15.3,12.7,30,TRUE,14
"WV60BD","OK",FALSE,21.7,22.5,30,TRUE,6
"WV60BG","OK",FALSE,30,30,30,TRUE,11
"WV60BH","OK",FALSE,17,18.4,23,TRUE,14
"WV60BJ","OK",FALSE,30,22.5,30,TRUE,32
"WV60BL","OK",FALSE,23.9,20,30,TRUE,11
"WV60BN","No premises",NA,NA,NA,NA,FALSE,0
"WV60BP","OK",FALSE,12.8,13.4,21,TRUE,3
"WV60BQ","OK",FALSE,24.8,20,30,TRUE,13
"WV60BS","OK",FALSE,10.1,10.9,12.5,TRUE,4
"WV60BT","OK",FALSE,22.4,12.8,30,TRUE,4
"WV60BW","OK",FALSE,30,30,30,TRUE,4
"WV60BX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV60BX","No Data",NA,NA,NA,NA,TRUE,0
"WV60BY","No premises",NA,NA,NA,NA,TRUE,0
"WV60BZ","OK",FALSE,30,15.7,30,TRUE,16
"WV60DA","OK",FALSE,19,15.6,30,TRUE,15
"WV60DB","OK",FALSE,30,30,30,TRUE,18
"WV60DD","OK",FALSE,30,27.2,30,TRUE,4
"WV60DE","OK",FALSE,26.1,23,30,TRUE,42
"WV60DF","OK",FALSE,28.9,30,30,TRUE,3
"WV60DG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV60DG","No Data",NA,NA,NA,NA,TRUE,0
"WV60DN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WV60DP","OK",FALSE,17.4,12.2,30,TRUE,14
"WV60DR","OK",FALSE,23.6,14.5,30,TRUE,13
"WV60DS","OK",FALSE,29.1,20,30,TRUE,28
"WV60DT","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WV60DU","No premises",NA,NA,NA,NA,TRUE,0
"WV60DW","OK",FALSE,30,23.3,30,TRUE,8
"WV60DX","OK",TRUE,13.6,9.6,30,TRUE,19
"WV60DY","OK",FALSE,11.1,11.7,13.3,TRUE,9
"WV60DZ","OK",FALSE,24.3,20,30,TRUE,11
"WV60EA","OK",FALSE,12.3,10.2,20,TRUE,5
"WV60EB","OK",FALSE,30,20.3,30,TRUE,18
"WV60ED","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WV60EE","OK",FALSE,27.4,20.7,30,TRUE,15
"WV60EF","OK",FALSE,30,30,30,TRUE,6
"WV60EG","OK",FALSE,30,26.1,30,TRUE,12
"WV60EH","OK",FALSE,30,30,30,TRUE,8
"WV60EJ","OK",FALSE,30,20,30,TRUE,16
"WV60EN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV60EN","No Data",NA,NA,NA,NA,TRUE,0
"WV60EP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"WV60EP","No Data",NA,NA,NA,NA,FALSE,0
"WV60EQ","OK",FALSE,23.3,20,30,TRUE,25
"WV60ER","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WV60ES","OK",TRUE,15.5,8.6,30,TRUE,22
"WV60ET","OK",TRUE,8.6,7,20,TRUE,13
"WV60EW","OK",TRUE,30,25,30,TRUE,16
"WV60EX","OK",FALSE,26.1,20,30,TRUE,21
"WV60EY","OK",FALSE,18.2,13.7,30,TRUE,15
"WV60FL","No premises",NA,NA,NA,NA,FALSE,0
"WV60HA","OK",FALSE,24.3,17.9,30,TRUE,8
"WV60HD","OK",FALSE,24.1,16.2,30,TRUE,12
"WV60HE","OK",FALSE,24.4,20,30,TRUE,11
"WV60HF","OK",FALSE,27.8,21.1,30,TRUE,12
"WV60HG","OK",FALSE,30,19.4,30,TRUE,6
"WV60HJ","OK",FALSE,30,20,30,TRUE,17
"WV60HL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"WV60HN","No premises",NA,NA,NA,NA,TRUE,0
"WV60HP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV60HP","No Data",NA,NA,NA,NA,TRUE,0
"WV60HQ","OK",TRUE,27.8,20,30,TRUE,24
"WV60HR","OK",FALSE,28.1,21.1,30,TRUE,19
"WV60HS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV60HS","No Data",NA,NA,NA,NA,TRUE,0
"WV60HT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"WV60HT","No Data",NA,NA,NA,NA,TRUE,0
"WV60HU","Insufficient Data",NA,NA,NA,NA,TRUE,1
"WV60HW","OK",FALSE,30,20,30,TRUE,26
"WV60HX","OK",TRUE,26.9,20,30,TRUE,24
"WV60HY","OK",FALSE,29.6,20.9,30,TRUE,23
