"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"YO73AA","OK",FALSE,21.7,15.8,30,TRUE,7
"YO73AB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"YO73AD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73AE","OK",TRUE,2,0.9,4.1,FALSE,3
"YO73AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73AF","No Data",NA,NA,NA,NA,FALSE,0
"YO73AG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"YO73AH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"YO73AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73AJ","No Data",NA,NA,NA,NA,TRUE,0
"YO73AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73AL","No Data",NA,NA,NA,NA,FALSE,0
"YO73AN","OK",TRUE,2.6,2.8,3.5,FALSE,4
"YO73AP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73AP","No Data",NA,NA,NA,NA,FALSE,0
"YO73AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73AQ","No Data",NA,NA,NA,NA,FALSE,0
"YO73AR","OK",TRUE,3.6,3.4,6.8,FALSE,11
"YO73AS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73AS","No Data",NA,NA,NA,NA,FALSE,0
"YO73AT","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73AU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73AW","No Data",NA,NA,NA,NA,FALSE,0
"YO73AX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73AY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73BA","OK",TRUE,5.4,5.1,8.1,FALSE,18
"YO73BB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73BD","OK",FALSE,4.2,4,4.5,FALSE,3
"YO73BE","OK",TRUE,3.4,3.4,6,FALSE,44
"YO73BG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73BG","No Data",NA,NA,NA,NA,FALSE,0
"YO73BH","OK",FALSE,7.4,7.3,8.1,FALSE,3
"YO73BJ","OK",FALSE,6.3,6.3,8.1,TRUE,4
"YO73BL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73BL","No Data",NA,NA,NA,NA,FALSE,0
"YO73BN","OK",FALSE,4.2,4.2,4.8,FALSE,3
"YO73BP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73BQ","OK",FALSE,4.8,4.2,6.8,FALSE,4
"YO73BR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"YO73BS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73BS","No Data",NA,NA,NA,NA,FALSE,0
"YO73BT","OK",FALSE,11.2,11.2,14.3,FALSE,3
"YO73BU","OK",FALSE,21.8,18.1,30,TRUE,15
"YO73BW","OK",TRUE,2.8,2.8,4,FALSE,3
"YO73BX","OK",FALSE,9.1,8.1,22.9,TRUE,17
"YO73BY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73BZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73BZ","No Data",NA,NA,NA,NA,FALSE,0
"YO73DA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73DB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73DB","No Data",NA,NA,NA,NA,TRUE,0
"YO73DD","OK",TRUE,3.2,3.3,4.8,FALSE,18
"YO73DE","OK",TRUE,1.9,1.8,4.3,FALSE,19
"YO73DF","OK",TRUE,2.2,1.9,3.3,FALSE,11
"YO73DG","OK",TRUE,3.3,3.3,4.6,FALSE,5
"YO73DH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73DH","No Data",NA,NA,NA,NA,FALSE,0
"YO73DJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73DL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73DN","OK",TRUE,2.2,2.2,3.1,FALSE,5
"YO73DQ","OK",FALSE,3.2,3.3,3.9,FALSE,4
"YO73DS","OK",TRUE,3.2,3,7.6,FALSE,24
"YO73DW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73DW","No Data",NA,NA,NA,NA,FALSE,0
"YO73DY","OK",FALSE,4.7,4.5,6.8,FALSE,7
"YO73DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73DZ","No Data",NA,NA,NA,NA,FALSE,0
"YO73EA","OK",TRUE,3,2.9,5.1,FALSE,14
"YO73ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73ED","No Data",NA,NA,NA,NA,FALSE,0
"YO73EE","OK",TRUE,2.8,2.6,5,FALSE,6
"YO73EF","OK",TRUE,3.3,3.4,4.5,FALSE,7
"YO73EG","OK",FALSE,3.1,2.8,4.4,FALSE,5
"YO73EH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73EJ","OK",TRUE,2.9,3.1,4.1,FALSE,7
"YO73EL","OK",TRUE,3.2,3.4,4.3,FALSE,13
"YO73EN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73EP","OK",TRUE,2.9,2.8,4,FALSE,17
"YO73EQ","OK",TRUE,2.8,2.8,3.9,FALSE,6
"YO73ER","OK",TRUE,3.3,3.2,4.9,FALSE,13
"YO73ES","OK",TRUE,2.6,2.8,4,FALSE,7
"YO73ET","OK",TRUE,3.5,3.9,5,FALSE,19
"YO73EU","OK",TRUE,2.8,2.7,4.8,FALSE,4
"YO73EW","OK",TRUE,2.9,3,4.3,FALSE,25
"YO73EX","OK",TRUE,3.5,3.4,5.5,FALSE,9
"YO73EY","No premises",NA,NA,NA,NA,FALSE,0
"YO73EZ","No premises",NA,NA,NA,NA,FALSE,0
"YO73FB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73FB","No Data",NA,NA,NA,NA,FALSE,0
"YO73HA","OK",TRUE,3.9,4,7.5,FALSE,24
"YO73HB","OK",TRUE,23.3,10.6,30,TRUE,49
"YO73HD","OK",TRUE,4.7,5.1,7.4,FALSE,21
"YO73HE","OK",FALSE,6.9,7.6,10.9,FALSE,12
"YO73HF","OK",FALSE,7.4,7.5,9,TRUE,4
"YO73HG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73HG","No Data",NA,NA,NA,NA,TRUE,0
"YO73HH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73HH","No Data",NA,NA,NA,NA,TRUE,0
"YO73HJ","OK",FALSE,4.7,4.9,7.2,TRUE,6
"YO73HL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73HL","No Data",NA,NA,NA,NA,FALSE,0
"YO73HN","OK",TRUE,24.2,7.5,30,FALSE,4
"YO73HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73HP","No Data",NA,NA,NA,NA,FALSE,0
"YO73HQ","OK",FALSE,5.5,5.6,8.2,TRUE,4
"YO73HR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73HS","OK",TRUE,4.2,3.7,6.7,FALSE,21
"YO73HT","OK",FALSE,4,4.4,5.1,FALSE,4
"YO73HU","OK",TRUE,4.8,5.1,7.8,FALSE,33
"YO73HW","OK",FALSE,8,8.1,8.1,FALSE,3
"YO73HX","OK",TRUE,3.1,3.2,5.1,FALSE,4
"YO73HY","OK",TRUE,4,4,6.8,FALSE,15
"YO73HZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73HZ","No Data",NA,NA,NA,NA,FALSE,0
"YO73JA","OK",TRUE,3.2,2.9,5.7,FALSE,8
"YO73JB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73JB","No Data",NA,NA,NA,NA,FALSE,0
"YO73JD","OK",TRUE,1.5,1.6,2.5,FALSE,13
"YO73JF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73JF","No Data",NA,NA,NA,NA,FALSE,0
"YO73JG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73JG","No Data",NA,NA,NA,NA,FALSE,0
"YO73JH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73JJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73JJ","No Data",NA,NA,NA,NA,FALSE,0
"YO73JL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73JL","No Data",NA,NA,NA,NA,FALSE,0
"YO73JN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73JP","OK",FALSE,3.1,3.1,4,FALSE,8
"YO73JQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73JQ","No Data",NA,NA,NA,NA,FALSE,0
"YO73JR","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73JS","Insufficient Data",NA,NA,NA,NA,TRUE,2
"YO73JT","OK",TRUE,18,2.8,30,TRUE,6
"YO73JU","OK",TRUE,12.8,2.6,30,TRUE,22
"YO73JW","OK",TRUE,3.4,3.4,5.7,FALSE,7
"YO73JX","OK",TRUE,9.1,1.4,30,TRUE,6
"YO73JY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73JY","No Data",NA,NA,NA,NA,TRUE,0
"YO73JZ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"YO73LA","OK",TRUE,2.1,2,2.8,TRUE,4
"YO73LB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73LB","No Data",NA,NA,NA,NA,TRUE,0
"YO73LD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73LD","No Data",NA,NA,NA,NA,TRUE,0
"YO73LE","OK",FALSE,3,3.2,4,TRUE,7
"YO73LF","OK",FALSE,30,30,30,TRUE,3
"YO73LG","OK",TRUE,2.3,1.7,3.5,TRUE,3
"YO73LH","OK",TRUE,7.5,2.5,30,TRUE,14
"YO73LJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73LJ","No Data",NA,NA,NA,NA,TRUE,0
"YO73LL","Insufficient Data",NA,NA,NA,NA,TRUE,1
"YO73LN","OK",TRUE,3.9,2.4,30,TRUE,14
"YO73LP","OK",TRUE,10,2.5,30,TRUE,16
"YO73LQ","OK",TRUE,2,2.3,2.8,TRUE,7
"YO73LR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73LR","No Data",NA,NA,NA,NA,TRUE,0
"YO73LS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"YO73LT","OK",TRUE,8,2.8,30,TRUE,9
"YO73LU","OK",TRUE,20.5,3.4,30,TRUE,5
"YO73LW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"YO73LW","No Data",NA,NA,NA,NA,TRUE,0
"YO73LX","OK",TRUE,4.5,1.8,30,TRUE,14
"YO73LY","OK",TRUE,2,2.1,3.7,TRUE,8
"YO73LZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73LZ","No Data",NA,NA,NA,NA,FALSE,0
"YO73NA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73NA","No Data",NA,NA,NA,NA,FALSE,0
"YO73NB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73ND","OK",TRUE,1.7,0.6,3.7,FALSE,3
"YO73NE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73NE","No Data",NA,NA,NA,NA,FALSE,0
"YO73NF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73NG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"YO73NH","No Data",NA,NA,NA,NA,FALSE,0
"YO73NJ","OK",TRUE,11.3,4.9,30,FALSE,9
"YO73NL","OK",TRUE,2.3,1.8,4,FALSE,11
"YO73NN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"YO73NP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73NP","No Data",NA,NA,NA,NA,FALSE,0
"YO73NQ","OK",TRUE,3.2,3.5,4.5,FALSE,4
"YO73NR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"YO73NR","No Data",NA,NA,NA,NA,FALSE,0
