"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"AB416AA","No Data",NA,NA,NA,NA,FALSE,0
"AB416AB","OK",FALSE,5.6,5.7,7.9,FALSE,6
"AB416AD","OK",FALSE,6.9,6.8,8.1,FALSE,7
"AB416AE","OK",FALSE,7.4,8.1,8.1,FALSE,3
"AB416AF","OK",FALSE,5.8,5.8,6.8,FALSE,3
"AB416AG","OK",TRUE,3.8,4.4,5.7,FALSE,6
"AB416AH","OK",FALSE,3.8,3.4,5.9,FALSE,7
"AB416AJ","OK",TRUE,2,2,3.1,FALSE,4
"AB416AL","OK",TRUE,5.1,5.7,8.1,FALSE,9
"AB416AN","OK",TRUE,4.4,4.4,8.1,FALSE,3
"AB416AP","OK",TRUE,6.8,7.4,8.1,FALSE,20
"AB416AQ","OK",FALSE,5.7,5.7,8.1,FALSE,11
"AB416AR","OK",FALSE,5.8,5.7,6.1,FALSE,3
"AB416AS","OK",TRUE,4,5.1,6.2,FALSE,9
"AB416AT","OK",FALSE,5.1,5.3,7.9,FALSE,12
"AB416AU","OK",FALSE,4.3,4,6.6,FALSE,3
"AB416AW","OK",TRUE,6.7,7.6,8.1,FALSE,31
"AB416AX","OK",TRUE,5.2,5.4,8.1,FALSE,22
"AB416AY","OK",TRUE,1.3,1.2,2.8,FALSE,5
"AB416AZ","OK",TRUE,4.6,5.3,6.9,FALSE,4
"AB416BA","OK",TRUE,3.4,4,5.7,FALSE,9
"AB416BB","OK",TRUE,1.3,1.3,1.7,FALSE,4
"AB416BD","OK",TRUE,1.6,1,3.4,FALSE,12
"AB416BE","OK",FALSE,6.7,7.5,8.1,FALSE,18
"AB416BF","OK",FALSE,5.6,6.4,6.8,FALSE,3
"AB416BG","OK",FALSE,5.6,5.6,7.4,FALSE,3
"AB416BH","OK",TRUE,7.2,8.1,8.1,FALSE,28
"AB416BJ","OK",FALSE,6.9,7.8,8.1,FALSE,30
"AB416BL","OK",TRUE,7,8.1,8.1,FALSE,30
"AB416BN","OK",FALSE,7,7.8,8.1,FALSE,18
"AB416BP","OK",FALSE,5.9,6,8.1,FALSE,13
"AB416BQ","OK",FALSE,7.2,8.1,8.1,FALSE,9
"AB416BR","OK",FALSE,7.1,8,8.1,FALSE,6
"AB416BS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"AB416BT","OK",FALSE,6.5,7.7,8.1,FALSE,7
"AB416BU","OK",FALSE,7.5,7.4,8.1,FALSE,6
"AB416BW","OK",FALSE,6,5.1,8.1,FALSE,5
"AB416BX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB416BX","No Data",NA,NA,NA,NA,FALSE,0
"AB416BY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB416BY","No Data",NA,NA,NA,NA,FALSE,0
"AB416BZ","OK",FALSE,6.8,7.4,8.1,FALSE,10
"AB416DA","OK",FALSE,7.1,7.4,8.1,FALSE,23
"AB416DN","OK",FALSE,7.4,8,8.1,FALSE,4
"AB416DS","OK",TRUE,6.7,7.7,8.1,FALSE,7
"AB416DT","OK",FALSE,6.6,6.5,8,FALSE,8
"AB416DU","OK",FALSE,6.6,6.8,8.1,FALSE,9
"AB416DW","OK",FALSE,7.4,8,8.1,FALSE,15
"AB416DX","OK",FALSE,7.3,7.4,8.1,FALSE,10
"AB416DY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"AB416DY","No Data",NA,NA,NA,NA,FALSE,0
"AB416DZ","OK",TRUE,6.6,7.4,8.1,FALSE,46
"AB416FA","OK",FALSE,7,7.4,8.1,FALSE,21
"AB416FB","OK",FALSE,7.4,8.1,8.1,FALSE,50
"AB416FD","OK",TRUE,7,7.7,8.1,FALSE,32
"AB416FE","OK",FALSE,6.5,7.4,8.1,FALSE,10
"AB416FF","OK",FALSE,7.2,7.4,8.1,FALSE,22
