"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B235AA","OK",FALSE,24.2,20,30,TRUE,8
"B235AB","OK",FALSE,30,4.7,30,TRUE,8
"B235AD","OK",TRUE,17.1,3.7,30,TRUE,16
"B235AE","OK",TRUE,13.5,2.9,30,TRUE,25
"B235AF","OK",TRUE,23.7,3.9,30,TRUE,13
"B235AG","OK",FALSE,5.2,3.7,14.6,TRUE,8
"B235AH","OK",TRUE,19.4,6,30,TRUE,24
"B235AJ","OK",TRUE,13.4,12.4,30,TRUE,6
"B235AL","OK",TRUE,16.2,2.2,30,TRUE,23
"B235AN","OK",TRUE,25.2,1.8,30,TRUE,8
"B235AP","OK",TRUE,16,4.4,30,TRUE,15
"B235AQ","OK",FALSE,5.6,5.8,6.1,TRUE,3
"B235AR","OK",FALSE,4.7,4.5,8,TRUE,8
"B235AS","OK",TRUE,17.9,6.2,30,TRUE,13
"B235AT","OK",TRUE,20,1.9,30,TRUE,7
"B235AU","OK",TRUE,6.2,4.4,30,TRUE,17
"B235AW","OK",TRUE,9.8,2,30,TRUE,19
"B235AY","OK",FALSE,4.8,5,7,TRUE,3
"B235BA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B235BA","No Data",NA,NA,NA,NA,TRUE,0
"B235BB","OK",TRUE,20.9,4.4,30,TRUE,11
"B235BD","OK",TRUE,11.2,2.2,30,TRUE,4
"B235BG","OK",TRUE,18.9,20,30,TRUE,19
"B235BL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B235BL","No Data",NA,NA,NA,NA,TRUE,0
"B235BN","OK",TRUE,15.7,5.8,30,TRUE,3
"B235BP","OK",TRUE,15.9,5,30,TRUE,23
"B235BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B235BQ","No Data",NA,NA,NA,NA,TRUE,0
"B235BS","OK",TRUE,12.7,5.5,30,TRUE,18
"B235BU","OK",TRUE,30,30,30,TRUE,4
"B235BW","OK",FALSE,30,20,30,TRUE,5
"B235BX","OK",TRUE,2.5,3,3.6,TRUE,3
"B235BY","OK",TRUE,20.7,20,30,TRUE,27
"B235BZ","OK",FALSE,30,30,30,TRUE,4
"B235DA","OK",FALSE,30,25,30,TRUE,11
"B235DB","OK",TRUE,23.5,20,30,TRUE,21
"B235DD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"B235DD","No Data",NA,NA,NA,NA,TRUE,0
"B235DE","OK",TRUE,24.2,20,30,TRUE,21
"B235DF","OK",TRUE,30,30,30,TRUE,33
"B235DG","OK",TRUE,15.8,16.1,30,TRUE,4
