"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B24BA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B24BB","OK",FALSE,11.9,12.5,19.2,FALSE,42
"B24BE","No premises",NA,NA,NA,NA,FALSE,0
"B24BG","OK",FALSE,13.2,13.9,19.1,FALSE,7
"B24BH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B24BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B24BJ","No Data",NA,NA,NA,NA,FALSE,0
"B24BL","OK",FALSE,14.9,15.9,24.4,FALSE,3
"B24BP","No premises",NA,NA,NA,NA,FALSE,0
"B24BS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B24BS","No Data",NA,NA,NA,NA,FALSE,0
"B24BT","OK",FALSE,13.4,13.7,18.8,FALSE,8
"B24BU","No premises",NA,NA,NA,NA,FALSE,0
