"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B47AA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"B47AD","No premises",NA,NA,NA,NA,FALSE,0
"B47AE","No premises",NA,NA,NA,NA,FALSE,0
"B47AG","No Data",NA,NA,NA,NA,FALSE,0
"B47AH","No Data",NA,NA,NA,NA,FALSE,0
"B47AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B47AJ","No Data",NA,NA,NA,NA,FALSE,0
"B47AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B47AL","No Data",NA,NA,NA,NA,FALSE,0
"B47AN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B47AN","No Data",NA,NA,NA,NA,FALSE,0
"B47AP","OK",TRUE,4.4,4.4,8.1,FALSE,3
"B47AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B47AQ","No Data",NA,NA,NA,NA,FALSE,0
"B47AR","OK",TRUE,12.8,14.8,23.1,FALSE,3
"B47AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B47AT","No Data",NA,NA,NA,NA,FALSE,0
"B47AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B47AW","No Data",NA,NA,NA,NA,FALSE,0
"B47AX","No Data",NA,NA,NA,NA,FALSE,0
"B47AY","No Data",NA,NA,NA,NA,FALSE,0
"B47AZ","No Data",NA,NA,NA,NA,FALSE,0
