"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B54TB","No premises",NA,NA,NA,NA,FALSE,0
"B54TD","OK",FALSE,11.3,8.1,18.9,FALSE,21
"B54TE","No Data",NA,NA,NA,NA,FALSE,0
"B54TF","OK",FALSE,17.9,18.6,22.3,FALSE,64
"B54TH","OK",FALSE,18.3,19,22,FALSE,61
"B54TJ","OK",FALSE,17.1,19.1,22,FALSE,72
"B54TL","OK",FALSE,16.9,18.1,24,FALSE,69
"B54TN","OK",FALSE,17.3,18.3,21.8,FALSE,60
"B54TP","OK",TRUE,15.6,17.1,22.1,FALSE,51
"B54TR","OK",FALSE,20.5,22.1,24.4,FALSE,59
"B54TT","OK",TRUE,18.9,21.8,24.3,FALSE,48
"B54TU","OK",FALSE,19.1,20.9,24.2,FALSE,58
"B54TW","OK",FALSE,19,21.3,24.4,FALSE,37
