"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"B74SA","OK",TRUE,3.6,3.4,5.6,FALSE,3
"B74SB","OK",TRUE,3.2,3.2,4.4,FALSE,3
"B74SH","OK",FALSE,6.2,5.5,7.7,FALSE,3
"B74SL","OK",TRUE,6.2,4,16.8,FALSE,7
"B74SN","OK",TRUE,2.8,3.2,3.4,FALSE,4
"B74ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B74ST","No Data",NA,NA,NA,NA,FALSE,0
"B74SU","OK",FALSE,30,7.8,30,TRUE,5
"B74SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B74SZ","No Data",NA,NA,NA,NA,FALSE,0
"B74SA","OK",TRUE,3.6,3.4,5.6,FALSE,3
"B74SB","OK",TRUE,3.2,3.2,4.4,FALSE,3
"B74SH","OK",FALSE,6.2,5.5,7.7,FALSE,3
"B74SL","OK",TRUE,6.2,4,16.8,FALSE,7
"B74SN","OK",TRUE,2.8,3.2,3.4,FALSE,4
"B74ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B74ST","No Data",NA,NA,NA,NA,FALSE,0
"B74SU","OK",FALSE,30,7.8,30,TRUE,5
"B74SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"B74SZ","No Data",NA,NA,NA,NA,FALSE,0
