"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BA45AA","OK",FALSE,19.8,22.7,24.4,FALSE,11
"BA45AB","No premises",NA,NA,NA,NA,FALSE,0
"BA45AD","No premises",NA,NA,NA,NA,FALSE,0
"BA45AE","No premises",NA,NA,NA,NA,FALSE,0
"BA45AF","No premises",NA,NA,NA,NA,FALSE,0
"BA45AH","No premises",NA,NA,NA,NA,FALSE,0
"BA45AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA45AL","No Data",NA,NA,NA,NA,FALSE,0
"BA45AN","OK",FALSE,20,22.1,24.4,FALSE,12
"BA45AQ","OK",FALSE,16,15.9,24,FALSE,21
"BA45AR","OK",FALSE,14.7,14.7,21.2,FALSE,3
"BA45AS","OK",FALSE,21.3,22.1,24.4,FALSE,6
"BA45AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BA45AT","No Data",NA,NA,NA,NA,FALSE,0
"BA45AX","No premises",NA,NA,NA,NA,TRUE,0
"BA45AZ","OK",TRUE,16.3,19.5,24.4,FALSE,4
"BA45BB","No premises",NA,NA,NA,NA,FALSE,0
"BA45BD","OK",FALSE,12,8.1,24,FALSE,6
"BA45BE","OK",FALSE,17.3,18.8,23.5,TRUE,14
"BA45BG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BA45BH","OK",FALSE,19.3,19.4,24.2,FALSE,9
"BA45BJ","OK",FALSE,16.6,17.5,24.4,TRUE,6
"BA45BL","OK",FALSE,18.5,19,24,TRUE,22
"BA45BN","OK",FALSE,21.1,19.9,24.3,FALSE,3
"BA45BP","OK",FALSE,12.1,11.2,22.5,FALSE,4
"BA45BR","No premises",NA,NA,NA,NA,FALSE,0
"BA45BS","No Data",NA,NA,NA,NA,FALSE,0
"BA45BT","No premises",NA,NA,NA,NA,FALSE,0
"BA45BU","OK",FALSE,20,20.2,24,TRUE,5
"BA45BW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BA45BX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BA45BX","No Data",NA,NA,NA,NA,TRUE,0
"BA45BY","OK",FALSE,13.1,14.3,20.9,TRUE,5
"BA45DB","OK",FALSE,18.2,20.6,23.6,TRUE,8
"BA45DD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BA45DF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BA45DF","No Data",NA,NA,NA,NA,TRUE,0
"BA45DG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BA45DH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BA45DJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
