"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BL23AB","OK",TRUE,18.5,20,30,TRUE,10
"BL23AD","OK",TRUE,30,11.5,30,TRUE,6
"BL23AE","OK",FALSE,25,20,30,TRUE,7
"BL23AF","OK",FALSE,12.7,7,30,TRUE,20
"BL23AG","OK",TRUE,9.2,6.4,30,TRUE,10
"BL23AH","OK",FALSE,30,30,30,TRUE,8
"BL23AJ","OK",FALSE,30,30,30,TRUE,6
"BL23AL","OK",FALSE,30,20,30,TRUE,34
"BL23AN","OK",FALSE,23.8,16.1,30,TRUE,8
"BL23AP","OK",FALSE,28.3,12.8,30,TRUE,37
"BL23AQ","OK",FALSE,12.5,8.3,28.4,TRUE,4
"BL23AR","OK",TRUE,23.1,20,30,TRUE,11
"BL23AS","OK",FALSE,30,30,30,TRUE,3
"BL23AT","OK",FALSE,30,30,30,TRUE,7
"BL23AU","OK",TRUE,25.6,9.9,30,TRUE,25
"BL23AW","OK",TRUE,28,16.1,30,TRUE,8
"BL23AX","OK",FALSE,29.9,20,30,TRUE,16
"BL23AY","OK",FALSE,29.2,30,30,TRUE,10
"BL23AZ","OK",FALSE,30,30,30,TRUE,4
"BL23BA","OK",FALSE,11.5,7.7,30,TRUE,5
"BL23BB","OK",FALSE,17.9,20,30,TRUE,9
"BL23BD","OK",FALSE,30,30,30,TRUE,15
"BL23BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL23BE","No Data",NA,NA,NA,NA,TRUE,0
"BL23BG","OK",FALSE,19.3,18.8,30,TRUE,17
"BL23BH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL23BH","No Data",NA,NA,NA,NA,TRUE,0
"BL23BJ","OK",TRUE,14.5,7.4,30,TRUE,14
"BL23BL","OK",FALSE,30,30,30,TRUE,26
"BL23BN","OK",FALSE,25.4,20,30,TRUE,25
"BL23BP","No premises",NA,NA,NA,NA,TRUE,0
"BL23BQ","OK",FALSE,26,20,30,TRUE,15
"BL23BR","OK",FALSE,18.1,13.2,30,TRUE,22
"BL23BS","OK",FALSE,19.6,6.6,30,TRUE,17
"BL23BT","OK",FALSE,29.3,30,30,TRUE,11
"BL23BU","OK",FALSE,25.6,20,30,TRUE,20
"BL23BW","OK",FALSE,23.3,20,30,TRUE,24
"BL23BX","OK",TRUE,20.7,8.2,30,TRUE,27
"BL23BY","OK",FALSE,26.7,8.3,30,TRUE,19
"BL23BZ","OK",FALSE,24.9,20,30,TRUE,23
"BL23DA","OK",TRUE,10,5.6,30,TRUE,15
"BL23DB","OK",FALSE,15.8,14.9,30,TRUE,7
"BL23DD","OK",TRUE,14.4,8.7,30,TRUE,31
"BL23DE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL23DE","No Data",NA,NA,NA,NA,TRUE,0
"BL23DF","OK",TRUE,5.3,6,7.8,TRUE,9
"BL23DG","OK",TRUE,16.2,6.9,30,TRUE,15
"BL23DH","No premises",NA,NA,NA,NA,TRUE,0
"BL23DJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL23DJ","No Data",NA,NA,NA,NA,TRUE,0
"BL23DL","OK",FALSE,23.5,18.9,30,TRUE,26
"BL23DN","OK",FALSE,17.6,10.7,30,TRUE,4
"BL23DP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL23DP","No Data",NA,NA,NA,NA,TRUE,0
"BL23DQ","OK",FALSE,13.5,9.7,30,TRUE,14
"BL23DR","OK",TRUE,3.6,3.2,6.4,TRUE,9
"BL23DS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BL23DS","No Data",NA,NA,NA,NA,TRUE,0
"BL23DT","OK",TRUE,6.1,3.5,12.7,TRUE,5
"BL23DU","OK",TRUE,14.5,3.6,30,TRUE,62
"BL23DW","OK",FALSE,22.5,24.9,30,TRUE,3
"BL23DX","OK",TRUE,21.1,8,30,TRUE,44
"BL23DY","OK",TRUE,25.9,20,30,TRUE,26
"BL23EA","OK",TRUE,16.7,6.1,30,TRUE,36
"BL23EB","OK",TRUE,18.6,20,30,TRUE,7
"BL23ED","OK",FALSE,30,30,30,TRUE,8
"BL23EE","OK",TRUE,24.2,5.2,30,TRUE,30
"BL23EF","OK",TRUE,30,30,30,TRUE,16
"BL23EG","OK",FALSE,27.1,20,30,TRUE,17
"BL23EH","OK",FALSE,20.3,20,30,TRUE,7
"BL23EJ","OK",TRUE,22.9,20,30,TRUE,15
