"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BN16AA","OK",TRUE,21.5,11.6,30,TRUE,64
"BN16AB","OK",FALSE,8.7,9.1,13.4,TRUE,14
"BN16AD","OK",FALSE,29.2,13.9,30,TRUE,15
"BN16AE","OK",FALSE,30,30,30,TRUE,11
"BN16AF","OK",FALSE,26.1,30,30,TRUE,23
"BN16AG","OK",FALSE,8.7,7.2,14.5,TRUE,4
"BN16AH","OK",FALSE,30,30,30,TRUE,6
"BN16AJ","OK",TRUE,28.8,30,30,TRUE,57
"BN16AL","OK",FALSE,27.6,20,30,TRUE,15
"BN16AN","OK",FALSE,7.7,7.8,14.1,TRUE,5
"BN16AP","OK",FALSE,29.7,20,30,TRUE,11
"BN16AQ","OK",FALSE,23.6,25,30,TRUE,11
"BN16AR","No premises",NA,NA,NA,NA,TRUE,0
"BN16AS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN16AS","No Data",NA,NA,NA,NA,TRUE,0
"BN16AU","No premises",NA,NA,NA,NA,TRUE,0
"BN16AX","OK",TRUE,14.5,5.6,30,TRUE,14
"BN16AZ","OK",TRUE,18.9,11.7,30,TRUE,16
"BN16BA","No premises",NA,NA,NA,NA,FALSE,0
"BN16BD","No premises",NA,NA,NA,NA,FALSE,0
"BN16BE","No premises",NA,NA,NA,NA,FALSE,0
"BN16BH","OK",FALSE,26.5,20,30,TRUE,40
"BN16BN","No premises",NA,NA,NA,NA,FALSE,0
"BN16BP","No premises",NA,NA,NA,NA,FALSE,0
"BN16BT","OK",TRUE,16.9,6.1,30,TRUE,63
"BN16BY","OK",TRUE,12.4,5,30,TRUE,35
"BN16BZ","OK",FALSE,25.7,20,30,TRUE,19
"BN16DA","OK",FALSE,27.8,20,30,TRUE,52
"BN16DB","OK",FALSE,26,30,30,TRUE,25
"BN16DD","OK",FALSE,30,20,30,TRUE,16
"BN16DE","OK",TRUE,24.3,20,30,TRUE,61
"BN16DF","OK",TRUE,20.9,20,30,TRUE,69
"BN16DG","OK",FALSE,30,20,30,TRUE,40
"BN16DH","OK",FALSE,30,20,30,TRUE,21
"BN16DJ","OK",FALSE,21.8,13.3,30,TRUE,80
"BN16DL","OK",FALSE,26.1,17,30,TRUE,55
"BN16DN","OK",FALSE,18.7,19.2,30,TRUE,5
"BN16DP","No premises",NA,NA,NA,NA,TRUE,0
"BN16DQ","OK",FALSE,19.4,18.9,30,TRUE,7
"BN16DR","OK",FALSE,29,30,30,TRUE,8
"BN16DS","OK",FALSE,29,20,30,TRUE,15
"BN16DT","OK",FALSE,30,17.5,30,TRUE,4
"BN16DU","No premises",NA,NA,NA,NA,FALSE,0
"BN16DW","OK",FALSE,23.7,14.1,30,TRUE,5
"BN16EA","OK",FALSE,26,30,30,TRUE,16
"BN16EB","OK",FALSE,29.4,20,30,TRUE,62
"BN16ED","OK",FALSE,30,20,30,TRUE,32
"BN16EE","OK",FALSE,30,30,30,TRUE,51
"BN16EF","OK",FALSE,30,25,30,TRUE,18
"BN16EG","OK",FALSE,30,30,30,TRUE,24
"BN16EH","OK",TRUE,30,30,30,TRUE,39
"BN16EJ","OK",TRUE,26.1,20,30,TRUE,31
"BN16EL","OK",TRUE,30,30,30,TRUE,38
"BN16EN","OK",FALSE,30,20,30,TRUE,15
"BN16EP","OK",FALSE,30,30,30,TRUE,13
"BN16EQ","OK",TRUE,30,20,30,TRUE,33
"BN16ES","No premises",NA,NA,NA,NA,FALSE,0
"BN16EW","OK",FALSE,30,20,30,TRUE,18
"BN16EX","OK",FALSE,20.8,20,30,TRUE,6
"BN16EZ","No premises",NA,NA,NA,NA,FALSE,0
"BN16FA","OK",TRUE,26.8,20,30,TRUE,26
"BN16FB","OK",FALSE,27.3,20,30,TRUE,19
"BN16FD","OK",TRUE,30,30,30,TRUE,21
"BN16FE","OK",FALSE,26.1,20,30,TRUE,20
"BN16FF","OK",FALSE,30,30,30,TRUE,29
"BN16FG","OK",TRUE,23.3,20,30,TRUE,32
"BN16FH","OK",FALSE,30,30,30,TRUE,23
"BN16FJ","OK",FALSE,17.1,7.7,30,TRUE,12
"BN16FL","OK",TRUE,30,30,30,TRUE,31
"BN16FN","OK",FALSE,30,20,30,TRUE,26
"BN16FP","OK",FALSE,25.1,8.1,30,TRUE,8
"BN16GA","OK",TRUE,27.9,20,30,TRUE,24
"BN16GB","OK",FALSE,30,20,30,TRUE,66
"BN16GD","OK",FALSE,25.8,20,30,TRUE,54
"BN16GE","OK",FALSE,24.5,20,30,TRUE,33
"BN16GF","OK",FALSE,30,20,30,TRUE,42
"BN16GG","OK",FALSE,30,30,30,TRUE,44
"BN16GH","OK",FALSE,24.8,20,30,TRUE,13
"BN16GJ","OK",FALSE,29.2,20,30,TRUE,41
"BN16GL","OK",FALSE,26.4,20,30,TRUE,73
"BN16GN","OK",FALSE,30,30,30,TRUE,42
"BN16GP","OK",FALSE,30,30,30,TRUE,3
"BN16GQ","OK",TRUE,30,20,30,TRUE,47
"BN16GR","OK",FALSE,30,20,30,TRUE,36
"BN16GZ","No premises",NA,NA,NA,NA,FALSE,0
"BN16HA","OK",FALSE,28.6,20,30,TRUE,40
"BN16HB","OK",TRUE,27,20,30,TRUE,37
"BN16HD","OK",FALSE,27.1,20,30,TRUE,31
"BN16HE","OK",FALSE,28.1,20,30,TRUE,43
"BN16HF","OK",TRUE,25.2,20,30,TRUE,58
"BN16HG","OK",TRUE,24.5,20,30,TRUE,47
"BN16HH","OK",FALSE,10.5,10.5,16.3,TRUE,12
"BN16HJ","OK",TRUE,17.5,8.9,30,TRUE,43
"BN16HL","OK",TRUE,24.9,16.6,30,TRUE,72
"BN16HN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BN16HN","No Data",NA,NA,NA,NA,TRUE,0
"BN16HP","OK",TRUE,15,6.7,30,TRUE,20
"BN16HR","OK",TRUE,12.2,6.8,30,TRUE,69
"BN16JA","OK",TRUE,15.7,7.2,30,TRUE,45
"BN16JB","OK",TRUE,30,30,30,TRUE,32
"BN16JD","OK",TRUE,30,20,30,TRUE,18
"BN16JE","OK",FALSE,30,30,30,TRUE,28
"BN16JF","OK",FALSE,16.4,11.2,30,TRUE,34
"BN16JG","OK",TRUE,18.8,8,30,TRUE,26
"BN16JH","OK",TRUE,30,19,30,TRUE,10
"BN16JJ","OK",FALSE,29.1,12.5,30,TRUE,26
"BN16JL","OK",FALSE,30,30,30,TRUE,12
"BN16JN","OK",FALSE,27.2,10.4,30,TRUE,6
"BN16JP","OK",TRUE,19.2,10.5,30,TRUE,36
"BN16JQ","OK",TRUE,21.4,16.7,30,TRUE,38
"BN16JR","OK",FALSE,30,20,30,TRUE,43
"BN16JS","OK",TRUE,30,20,30,TRUE,52
"BN16JT","OK",FALSE,28.9,25,30,TRUE,5
"BN16JU","OK",FALSE,20.2,12.4,30,TRUE,7
"BN16JX","OK",FALSE,26.2,10.2,30,TRUE,11
"BN16LA","OK",TRUE,30,20,30,TRUE,38
"BN16LB","OK",FALSE,30,30,30,TRUE,17
"BN16LD","OK",FALSE,30,30,30,TRUE,26
"BN16LE","OK",FALSE,30,24.3,30,TRUE,9
"BN16LF","OK",FALSE,30,20,30,TRUE,42
"BN16LG","OK",FALSE,30,20,30,TRUE,29
"BN16LH","OK",TRUE,26.5,20,30,TRUE,29
"BN16LJ","OK",FALSE,22,13,30,TRUE,33
"BN16LL","OK",FALSE,26.8,30,30,TRUE,25
"BN16LN","OK",FALSE,13,8.1,30,TRUE,13
"BN16LP","OK",FALSE,14.7,8.2,30,TRUE,17
"BN16LQ","OK",FALSE,29,20,30,TRUE,27
"BN16LR","OK",FALSE,27.4,18.1,30,TRUE,37
"BN16LS","OK",TRUE,26,15.6,30,TRUE,13
"BN16LT","OK",FALSE,24.4,19.8,30,TRUE,10
"BN16LU","OK",FALSE,30,30,30,TRUE,24
"BN16LW","OK",FALSE,30,30,30,TRUE,34
"BN16NA","OK",FALSE,30,30,30,TRUE,43
"BN16NB","OK",FALSE,30,30,30,TRUE,29
"BN16ND","OK",FALSE,28,20,30,TRUE,26
"BN16NE","OK",TRUE,28.3,29,30,TRUE,31
"BN16NF","OK",TRUE,30,30,30,TRUE,9
"BN16NG","OK",FALSE,28.1,20,30,TRUE,25
"BN16NH","OK",FALSE,30,20,30,TRUE,21
