"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BS240AA","OK",FALSE,14.9,16,22,FALSE,13
"BS240AB","OK",FALSE,15.3,17.7,22.6,FALSE,5
"BS240AD","OK",FALSE,10.1,9.2,18,FALSE,17
"BS240AG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240AG","No Data",NA,NA,NA,NA,FALSE,0
"BS240AL","OK",FALSE,5.1,4.6,8,FALSE,5
"BS240AN","OK",FALSE,9.7,9.6,21.2,FALSE,38
"BS240AP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BS240AS","OK",TRUE,8.1,8.8,12.5,FALSE,9
"BS240AT","No premises",NA,NA,NA,NA,FALSE,0
"BS240AU","OK",FALSE,9.4,8.9,16.6,FALSE,22
"BS240AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240AW","No Data",NA,NA,NA,NA,FALSE,0
"BS240AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240AX","No Data",NA,NA,NA,NA,FALSE,0
"BS240BA","OK",FALSE,7.7,6.4,14.1,FALSE,9
"BS240BD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240BE","OK",FALSE,6.3,6.5,12.4,FALSE,27
"BS240BG","OK",FALSE,6.8,7,8.6,FALSE,6
"BS240BH","OK",TRUE,6.5,6.6,11.2,FALSE,11
"BS240BL","OK",FALSE,4.5,4.2,7.4,FALSE,8
"BS240BN","OK",TRUE,5,5.2,7.5,FALSE,11
"BS240BP","OK",FALSE,5.2,5.5,7.2,FALSE,8
"BS240BQ","OK",TRUE,7.7,7,14.3,FALSE,3
"BS240BT","OK",TRUE,4.8,5.2,8,FALSE,20
"BS240BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240BW","No Data",NA,NA,NA,NA,FALSE,0
"BS240BX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240BY","OK",TRUE,2.3,1.8,4.9,FALSE,5
"BS240BZ","OK",FALSE,4.2,4.5,5.7,FALSE,3
"BS240DA","OK",FALSE,5.6,6.2,7.8,FALSE,9
"BS240DB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240DB","No Data",NA,NA,NA,NA,FALSE,0
"BS240DE","OK",FALSE,5.2,5.7,6.2,FALSE,4
"BS240DF","OK",TRUE,5.1,5.6,7.4,FALSE,20
"BS240DG","OK",FALSE,4.4,4.8,5.2,FALSE,7
"BS240DJ","OK",TRUE,3.6,3.6,5,FALSE,13
"BS240DN","OK",TRUE,3.8,4.1,5.1,FALSE,4
"BS240DP","OK",TRUE,3.2,3.1,5.6,FALSE,10
"BS240DQ","OK",TRUE,4.3,4.4,5.7,FALSE,13
"BS240DR","OK",TRUE,2.6,2.8,3.4,FALSE,3
"BS240DS","OK",TRUE,2.4,2.3,4.3,FALSE,8
"BS240DT","OK",TRUE,3,3.3,4.5,FALSE,11
"BS240DX","OK",TRUE,2.6,2.6,4.1,FALSE,13
"BS240DY","OK",TRUE,1.6,1.7,2.6,FALSE,12
"BS240DZ","OK",TRUE,1.6,2,2.3,FALSE,3
"BS240EB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240EB","No Data",NA,NA,NA,NA,FALSE,0
"BS240ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240ED","No Data",NA,NA,NA,NA,FALSE,0
"BS240EG","OK",TRUE,1.5,1.5,3.4,FALSE,11
"BS240EN","OK",TRUE,2.2,2.3,5.1,FALSE,13
"BS240EQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240EQ","No Data",NA,NA,NA,NA,FALSE,0
"BS240ES","OK",TRUE,2.1,2,2.7,FALSE,3
"BS240EU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240EW","OK",TRUE,2.2,1.7,5.7,FALSE,16
"BS240EX","OK",TRUE,2.4,1.7,7.3,FALSE,5
"BS240EZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240HA","OK",TRUE,1.6,1.4,2,FALSE,3
"BS240HD","OK",TRUE,2.9,3.2,4,FALSE,8
"BS240HG","OK",TRUE,1.6,1.8,2.6,FALSE,7
"BS240HL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240HP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240HS","OK",TRUE,2.6,2.4,4.5,FALSE,5
"BS240HT","OK",FALSE,4.3,4.5,5.8,FALSE,13
"BS240HW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240HY","OK",TRUE,3.8,3.4,7.6,FALSE,6
"BS240JA","OK",FALSE,7.7,8.1,8.1,FALSE,4
"BS240JB","OK",FALSE,7.6,8.1,8.1,FALSE,4
"BS240JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JD","No Data",NA,NA,NA,NA,FALSE,0
"BS240JG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JG","No Data",NA,NA,NA,NA,FALSE,0
"BS240JH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JH","No Data",NA,NA,NA,NA,FALSE,0
"BS240JJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JJ","No Data",NA,NA,NA,NA,FALSE,0
"BS240JL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JL","No Data",NA,NA,NA,NA,FALSE,0
"BS240JN","OK",FALSE,6.1,5.8,8.1,FALSE,9
"BS240JQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BS240JQ","No Data",NA,NA,NA,NA,TRUE,0
"BS240JR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JR","No Data",NA,NA,NA,NA,FALSE,0
"BS240JT","OK",FALSE,4.8,4.5,7.1,FALSE,5
"BS240JW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240JW","No Data",NA,NA,NA,NA,FALSE,0
"BS240NA","OK",FALSE,12.2,11.5,20.6,FALSE,12
"BS240NB","OK",FALSE,11.9,12.9,14.5,FALSE,9
"BS240NF","OK",FALSE,8.8,8.5,15.1,FALSE,8
"BS240NG","OK",FALSE,11.2,11.5,17.4,FALSE,14
"BS240NJ","OK",FALSE,7.8,7.2,13.6,FALSE,9
"BS240NN","OK",FALSE,8.1,8.5,11.5,FALSE,4
"BS240NP","OK",FALSE,10.1,8.4,15.9,FALSE,7
"BS240NQ","OK",FALSE,9.3,8.6,17,FALSE,18
"BS240NW","OK",TRUE,7.6,8,11.5,FALSE,10
"BS240NX","OK",TRUE,3.6,3.9,6.2,FALSE,9
"BS240NY","OK",TRUE,2.9,2.9,5.3,FALSE,8
"BS240NZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240NZ","No Data",NA,NA,NA,NA,FALSE,0
"BS240PA","OK",FALSE,7.3,7.1,14.6,FALSE,10
"BS240PB","OK",FALSE,10.3,9.9,12.1,FALSE,3
"BS240PD","OK",FALSE,9,8,14.5,FALSE,4
"BS240PE","OK",FALSE,9.4,9.4,11.1,FALSE,6
"BS240PF","OK",FALSE,10.2,9.7,16.8,FALSE,7
"BS240PG","OK",TRUE,8.6,8.6,16.7,FALSE,9
"BS240PH","OK",FALSE,9.1,7.1,16.5,FALSE,12
"BS240PJ","OK",FALSE,7.7,8.4,10,FALSE,5
"BS240PL","OK",FALSE,11.5,8.1,20.4,FALSE,3
"BS240PN","OK",FALSE,11.5,10.8,16.2,FALSE,5
"BS240PQ","OK",TRUE,11.4,13.5,17.1,FALSE,7
"BS240PR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240PR","No Data",NA,NA,NA,NA,FALSE,0
"BS240PS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240PT","OK",FALSE,6.7,6.2,11.7,FALSE,4
"BS240PU","OK",TRUE,7,7.1,16.2,FALSE,12
"BS240PW","OK",FALSE,7.8,8.1,12.8,FALSE,9
"BS240PX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS240PY","OK",TRUE,6.1,5.8,10.7,FALSE,3
"BS240PZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS240PZ","No Data",NA,NA,NA,NA,FALSE,0
"BS240QD","OK",FALSE,7,7.2,8.1,FALSE,4
"BS240QE","OK",FALSE,7.1,7.3,12.3,FALSE,24
"BS240QF","OK",FALSE,7.9,6.9,11.7,FALSE,9
"BS240QG","OK",FALSE,8.1,6.9,13.3,FALSE,8
"BS240WY","No premises",NA,NA,NA,NA,FALSE,0
"BS246AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BS246AH","No Data",NA,NA,NA,NA,TRUE,0
"BS246AJ","No Data",NA,NA,NA,NA,FALSE,0
"BS246RA","OK",FALSE,15.8,8.8,30,TRUE,4
"BS246RB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BS246RB","No Data",NA,NA,NA,NA,TRUE,0
"BS246RD","OK",FALSE,6,2.7,17.2,TRUE,5
"BS246RE","No premises",NA,NA,NA,NA,FALSE,0
"BS246RG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS246RG","No Data",NA,NA,NA,NA,FALSE,0
"BS246RN","OK",TRUE,1.7,1.6,2.5,FALSE,6
"BS246RP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS246RQ","OK",TRUE,1,1,1.3,FALSE,7
"BS246RR","OK",TRUE,1.7,1.2,3.6,FALSE,7
"BS246RS","OK",TRUE,1.8,1.9,2.1,FALSE,6
"BS246RT","OK",TRUE,2,2.2,3.1,FALSE,10
"BS246RU","OK",TRUE,3,3.5,3.7,FALSE,3
"BS246RW","OK",TRUE,1.7,2,2.6,FALSE,6
"BS246RX","No Data",NA,NA,NA,NA,FALSE,0
"BS246RZ","OK",TRUE,1.5,1.5,2.4,FALSE,4
"BS246SE","OK",TRUE,3,2.7,4.6,FALSE,9
"BS246SF","OK",TRUE,1.9,1.4,4,FALSE,4
"BS246SG","OK",FALSE,4.6,4.6,5.3,FALSE,5
"BS246SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS246SN","No Data",NA,NA,NA,NA,FALSE,0
"BS246SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS246SP","No Data",NA,NA,NA,NA,FALSE,0
"BS246SQ","OK",TRUE,2.3,1.9,4.9,FALSE,9
"BS246TA","OK",TRUE,1.3,1.4,2.3,FALSE,3
"BS246TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS246TE","No Data",NA,NA,NA,NA,FALSE,0
"BS246TF","OK",TRUE,1.5,1.4,2.4,FALSE,16
"BS246TH","OK",TRUE,0.9,0.8,1.4,FALSE,4
"BS246TL","OK",TRUE,0.4,0.4,0.6,FALSE,3
"BS246TP","OK",TRUE,0.9,0.9,1,FALSE,4
"BS246TR","OK",TRUE,1.1,1,1.5,FALSE,3
"BS246UA","OK",TRUE,2.6,2.7,3.4,FALSE,6
"BS246UE","OK",TRUE,2.1,2,3.9,FALSE,7
"BS246UF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS246UF","No Data",NA,NA,NA,NA,FALSE,0
"BS246UG","OK",TRUE,3.6,4.2,4.5,FALSE,5
"BS246UH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BS246UL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS246UL","No Data",NA,NA,NA,NA,FALSE,0
"BS246UP","OK",TRUE,1.2,1.2,1.4,FALSE,3
"BS246UQ","OK",TRUE,2.2,2.2,3.7,FALSE,4
"BS246UR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS246UU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS246UZ","OK",TRUE,0.8,0.9,1.1,FALSE,4
"BS247AB","OK",FALSE,8.7,7.5,15.9,FALSE,13
"BS247AD","OK",FALSE,7.8,7.4,8.9,FALSE,3
"BS247AE","OK",FALSE,7.7,8,8.8,FALSE,6
"BS247AF","OK",TRUE,9.7,10.9,14.3,FALSE,14
"BS247AG","OK",FALSE,4.9,4.6,5.6,FALSE,3
"BS247AH","OK",TRUE,6.2,7.6,10.9,FALSE,18
"BS247AJ","OK",FALSE,7.9,7.6,12.3,FALSE,5
"BS247AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS247AL","No Data",NA,NA,NA,NA,FALSE,0
"BS247AN","OK",FALSE,7.4,6,11.3,FALSE,6
"BS247AP","OK",FALSE,9.2,7.6,15.2,FALSE,9
"BS247AQ","OK",TRUE,7.5,7.8,14.6,FALSE,12
"BS247AR","OK",TRUE,5.9,6.7,8.2,TRUE,16
"BS247AS","OK",TRUE,17.8,4.1,30,TRUE,37
"BS247AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS247AW","No Data",NA,NA,NA,NA,FALSE,0
"BS247AX","OK",TRUE,11.9,5.4,30,TRUE,14
"BS247AY","OK",TRUE,5.8,5.9,10.7,TRUE,5
"BS247AZ","OK",FALSE,10.8,6.4,30,TRUE,7
"BS247BA","OK",TRUE,7.4,5.3,30,TRUE,15
"BS247BB","OK",FALSE,22.1,23,30,TRUE,5
"BS247BD","OK",FALSE,9.3,6.4,30,TRUE,15
"BS247BE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"BS247BG","OK",TRUE,5.4,6.1,8.6,TRUE,10
"BS247BH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BS247BJ","OK",TRUE,9.6,5.9,30,TRUE,11
"BS247BL","OK",TRUE,13.7,5.3,30,TRUE,41
"BS247BN","OK",TRUE,17,3.3,30,TRUE,17
"BS247BP","OK",TRUE,3.1,3.4,4.1,TRUE,8
"BS247BQ","OK",TRUE,6.5,2.9,30,TRUE,10
"BS247BS","OK",TRUE,15.6,2.7,30,TRUE,57
"BS247BT","OK",TRUE,26.3,21.7,30,TRUE,8
"BS247BU","OK",TRUE,17.3,2.5,30,TRUE,10
"BS247BW","OK",TRUE,11.7,6.5,30,TRUE,45
"BS247BX","OK",TRUE,16.2,3.4,30,TRUE,28
"BS247BY","OK",TRUE,15.2,3.9,30,TRUE,25
"BS247BZ","OK",TRUE,25.3,2.4,30,TRUE,17
"BS247DA","OK",TRUE,1.9,1.9,3.4,FALSE,14
"BS247DB","OK",TRUE,3,3.2,4.1,FALSE,23
"BS247DD","OK",TRUE,23.6,3.8,30,TRUE,24
"BS247DE","OK",TRUE,2.1,2.1,3.8,FALSE,18
"BS247DF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BS247DF","No Data",NA,NA,NA,NA,FALSE,0
"BS247DG","OK",TRUE,1.7,1.6,3.3,FALSE,36
"BS247DH","OK",TRUE,2.7,1.9,19.8,FALSE,26
"BS247DJ","OK",TRUE,13.7,8.1,30,TRUE,37
"BS247DL","OK",TRUE,2,1.5,4,FALSE,12
"BS247DN","OK",TRUE,2,1.9,3.8,FALSE,19
"BS247DP","OK",TRUE,2.1,2,4.2,FALSE,28
