"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"BT319AA","OK",FALSE,17.8,13.1,30,TRUE,9
"BT319AB","OK",FALSE,3.5,4.1,4.1,TRUE,3
"BT319AD","OK",TRUE,3.4,2,8.1,TRUE,10
"BT319AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT319AE","No Data",NA,NA,NA,NA,FALSE,0
"BT319AF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"BT319AG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"BT319AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT319AH","No Data",NA,NA,NA,NA,FALSE,0
"BT319AJ","OK",FALSE,27,14.5,30,TRUE,7
"BT319AL","OK",FALSE,11.6,8.2,23.9,TRUE,7
"BT319AN","OK",FALSE,14.8,12.6,28.9,TRUE,10
"BT319AP","OK",TRUE,1.7,1.7,2.6,TRUE,6
"BT319AQ","OK",FALSE,24.7,9.2,30,TRUE,5
"BT319AR","Insufficient Data",NA,NA,NA,NA,FALSE,1
"BT319AS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"BT319AS","No Data",NA,NA,NA,NA,FALSE,0
"BT319AT","OK",FALSE,6.3,6.2,7.4,FALSE,7
"BT319AU","OK",FALSE,4.8,4.8,8.1,FALSE,8
"BT319AW","OK",TRUE,2.5,2,4.7,TRUE,13
"BT319AX","OK",TRUE,1.7,1.9,2.2,TRUE,4
"BT319AY","OK",TRUE,2.1,0.8,5.1,TRUE,3
"BT319AZ","OK",FALSE,5.9,6.3,7.8,FALSE,4
"BT319BA","OK",TRUE,3.3,3.2,6.1,TRUE,4
"BT319BB","OK",TRUE,1.2,1.4,2.2,TRUE,9
"BT319BD","OK",TRUE,2.4,2.6,2.8,TRUE,4
"BT319BE","OK",TRUE,2.8,3.4,3.8,FALSE,5
"BT319BF","OK",TRUE,5.2,5.1,8.4,TRUE,12
"BT319BG","OK",TRUE,8,7.5,12.7,TRUE,5
"BT319BH","OK",TRUE,2.8,2.1,7.5,TRUE,20
"BT319BJ","OK",FALSE,20.1,19.1,30,TRUE,15
"BT319BL","OK",FALSE,5.8,5.2,7.5,TRUE,3
"BT319BN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT319BN","No Data",NA,NA,NA,NA,TRUE,0
"BT319BP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"BT319BP","No Data",NA,NA,NA,NA,TRUE,0
"BT319BQ","OK",TRUE,3,2.5,6.1,TRUE,16
"BT319BS","OK",TRUE,12.9,7.9,30,TRUE,9
