"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CA48AA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CA48AA","No Data",NA,NA,NA,NA,TRUE,0
"CA48AB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CA48AD","OK",TRUE,2.4,2.7,4.5,TRUE,7
"CA48AF","OK",TRUE,2.3,2.1,6.1,FALSE,11
"CA48AG","OK",TRUE,1.7,2,2.6,TRUE,3
"CA48AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48AH","No Data",NA,NA,NA,NA,FALSE,0
"CA48AJ","OK",TRUE,1.9,2,5.9,FALSE,13
"CA48AL","OK",TRUE,14.5,2.1,30,TRUE,16
"CA48AN","OK",TRUE,1.9,1.8,3.4,FALSE,11
"CA48AP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CA48AQ","OK",TRUE,1.9,2,3.1,FALSE,41
"CA48AR","OK",TRUE,5.3,1.3,30,TRUE,12
"CA48AS","OK",TRUE,1.8,1.8,2.2,TRUE,4
"CA48AT","OK",TRUE,11.6,2.1,30,TRUE,20
"CA48AU","OK",TRUE,17,1.9,30,TRUE,15
"CA48AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48AW","No Data",NA,NA,NA,NA,FALSE,0
"CA48AX","OK",TRUE,1.5,1.7,2.5,TRUE,14
"CA48AY","OK",TRUE,1.8,2.1,2.4,FALSE,4
"CA48AZ","OK",TRUE,1.3,1.3,1.9,FALSE,3
"CA48BA","OK",TRUE,1.2,1.2,2.2,FALSE,12
"CA48BB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CA48BD","OK",TRUE,2.5,2.6,4.5,TRUE,31
"CA48BE","OK",TRUE,1.9,1.9,3.4,TRUE,3
"CA48BG","OK",TRUE,2.8,3.3,4.2,TRUE,15
"CA48BH","OK",TRUE,2.9,3,4,TRUE,14
"CA48BJ","OK",TRUE,3.1,3.3,5.3,TRUE,29
"CA48BL","OK",TRUE,3,3.1,4.6,TRUE,21
"CA48BN","OK",TRUE,2.8,3,3.8,TRUE,9
"CA48BP","OK",TRUE,1.6,1.6,2.9,FALSE,12
"CA48BS","OK",TRUE,1.7,1.8,2.5,FALSE,17
"CA48BT","OK",TRUE,1.1,1.1,2.8,FALSE,30
"CA48BU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CA48BW","OK",TRUE,1.9,2.4,2.8,FALSE,6
"CA48BX","OK",TRUE,1.7,1.7,3,FALSE,15
"CA48BZ","OK",TRUE,1.8,1.8,3.3,FALSE,8
"CA48DA","OK",TRUE,1.9,1.8,2.2,FALSE,3
"CA48DB","OK",TRUE,1.1,1.1,1.5,FALSE,3
"CA48DD","OK",TRUE,1.1,1.2,1.9,FALSE,12
"CA48DE","OK",TRUE,1.5,1.6,2.5,FALSE,21
"CA48DF","OK",TRUE,1.1,1.2,1.9,FALSE,7
"CA48DG","OK",TRUE,1.1,1,1.4,FALSE,10
"CA48DH","OK",TRUE,4.2,3.7,7.9,FALSE,13
"CA48DJ","OK",TRUE,6.1,6.1,10.3,FALSE,15
"CA48DL","OK",TRUE,4.6,4.7,9,FALSE,17
"CA48DP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48DP","No Data",NA,NA,NA,NA,FALSE,0
"CA48DR","OK",TRUE,3.4,3.1,7.2,FALSE,15
"CA48DS","OK",FALSE,6.3,6.5,7.1,FALSE,7
"CA48DT","OK",TRUE,5.3,6.1,8.6,FALSE,10
"CA48DU","OK",FALSE,6.5,6.7,10.8,FALSE,10
"CA48DW","OK",TRUE,7.7,1,30,TRUE,12
"CA48DX","OK",FALSE,6.9,7.8,8.1,FALSE,5
"CA48DY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CA48DZ","OK",FALSE,8.2,7.7,9.7,FALSE,3
"CA48EA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48EA","No Data",NA,NA,NA,NA,FALSE,0
"CA48EB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48EB","No Data",NA,NA,NA,NA,FALSE,0
"CA48ED","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48ED","No Data",NA,NA,NA,NA,FALSE,0
"CA48EE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48EE","No Data",NA,NA,NA,NA,FALSE,0
"CA48EF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CA48EG","OK",TRUE,2,2.1,2.6,FALSE,6
"CA48EH","OK",FALSE,2.7,2.7,2.8,FALSE,3
"CA48EJ","OK",TRUE,6.1,5.8,12.3,FALSE,10
"CA48EL","OK",FALSE,5.8,4.8,12.1,FALSE,9
"CA48EN","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CA48EQ","OK",TRUE,1.6,1.5,2.2,FALSE,6
"CA48ER","OK",TRUE,5.4,5,9.4,FALSE,18
"CA48ES","OK",FALSE,16.3,18.7,24.4,FALSE,7
"CA48ET","OK",FALSE,17.5,18.5,24.4,FALSE,30
"CA48EW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CA48EW","No Data",NA,NA,NA,NA,FALSE,0
