"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CB43AA","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CB43AB","No Data",NA,NA,NA,NA,TRUE,0
"CB43AD","No Data",NA,NA,NA,NA,TRUE,0
"CB43AE","OK",FALSE,30,30,30,TRUE,10
"CB43AF","OK",FALSE,23.6,20,30,TRUE,18
"CB43AG","OK",FALSE,29.2,20,30,TRUE,24
"CB43AH","OK",FALSE,26.2,20,30,TRUE,28
"CB43AJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CB43AL","OK",FALSE,30,30,30,TRUE,6
"CB43AN","OK",FALSE,30,18.9,30,TRUE,17
"CB43AP","OK",FALSE,23.6,20,30,TRUE,9
"CB43AQ","OK",FALSE,21.7,17.3,30,TRUE,20
"CB43AR","OK",FALSE,30,30,30,TRUE,9
"CB43AT","No premises",NA,NA,NA,NA,FALSE,0
"CB43AU","No premises",NA,NA,NA,NA,TRUE,0
"CB43AX","OK",FALSE,14.2,9.5,30,TRUE,8
"CB43AZ","No premises",NA,NA,NA,NA,FALSE,0
"CB43BA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CB43BA","No Data",NA,NA,NA,NA,TRUE,0
"CB43BB","OK",FALSE,10.1,11.5,14.3,TRUE,5
"CB43BD","OK",FALSE,7.9,7.9,8.1,FALSE,3
"CB43BE","OK",FALSE,27.5,20,30,TRUE,33
"CB43BG","No premises",NA,NA,NA,NA,FALSE,0
"CB43BJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CB43BJ","No Data",NA,NA,NA,NA,TRUE,0
"CB43BL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CB43BL","No Data",NA,NA,NA,NA,TRUE,0
"CB43BN","OK",FALSE,30,20,30,TRUE,3
"CB43BP","OK",FALSE,30,30,30,TRUE,9
"CB43BQ","No premises",NA,NA,NA,NA,FALSE,0
"CB43BS","OK",FALSE,28.9,20,30,TRUE,26
"CB43BU","OK",FALSE,27,30,30,TRUE,21
"CB43BW","OK",FALSE,23.5,17,30,TRUE,38
"CB43BX","OK",FALSE,30,30,30,TRUE,5
"CB43BY","OK",FALSE,18.9,20,30,TRUE,23
"CB43BZ","OK",FALSE,25.3,20,30,TRUE,18
"CB43DA","OK",FALSE,21.5,13.2,30,TRUE,17
"CB43DB","OK",TRUE,20.1,20,30,TRUE,53
"CB43DD","OK",FALSE,29,20,30,TRUE,18
"CB43DF","OK",FALSE,27.9,21.7,30,TRUE,4
"CB43DG","OK",FALSE,30,30,30,TRUE,29
