"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CF417AD","OK",TRUE,2.9,3.1,4.7,TRUE,10
"CF417AE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CF417AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CF417AF","No Data",NA,NA,NA,NA,TRUE,0
"CF417AG","OK",TRUE,8.8,3.7,30,TRUE,7
"CF417AH","OK",TRUE,2.3,2.3,4.4,FALSE,6
"CF417AJ","OK",TRUE,1.9,1.7,3.1,FALSE,9
"CF417AL","OK",FALSE,2.7,2.7,3,FALSE,3
"CF417AN","OK",TRUE,2.8,2.9,4.8,TRUE,30
"CF417AP","OK",TRUE,2.3,2.4,4.1,FALSE,20
"CF417AQ","OK",TRUE,3.2,3.2,5.3,TRUE,31
"CF417AR","OK",TRUE,2.4,2.6,3.9,FALSE,22
"CF417AS","OK",TRUE,2,1.8,3.7,FALSE,11
"CF417AT","OK",TRUE,2.3,2.4,3.8,FALSE,25
"CF417AU","OK",TRUE,2.2,2.1,3.3,FALSE,30
"CF417AW","OK",TRUE,2.3,2.4,3.7,FALSE,23
"CF417AX","OK",TRUE,1.9,2,2.8,FALSE,4
"CF417AY","OK",TRUE,2.7,3.1,4.1,FALSE,29
"CF417AZ","OK",TRUE,3,3.1,4.1,FALSE,28
"CF417BA","OK",TRUE,2.5,2.7,4.6,FALSE,32
"CF417BB","OK",TRUE,3.1,3.5,3.6,FALSE,5
"CF417BD","OK",TRUE,2.5,2.5,4,FALSE,13
"CF417BE","No premises",NA,NA,NA,NA,FALSE,0
"CF417BF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CF417BG","OK",TRUE,3.8,4,5,FALSE,12
"CF417BH","OK",TRUE,1.4,1.3,3.2,FALSE,9
"CF417BJ","OK",TRUE,2.9,3,4.4,FALSE,3
"CF417BL","OK",TRUE,2.2,1.9,4.5,FALSE,6
"CF417BN","OK",TRUE,2.2,2.2,2.4,FALSE,3
