"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CH319AS","No premises",NA,NA,NA,NA,FALSE,0
"CH319BG","No premises",NA,NA,NA,NA,FALSE,0
"CH319BX","No premises",NA,NA,NA,NA,FALSE,0
"CH319DA","No premises",NA,NA,NA,NA,FALSE,0
"CH319DB","No premises",NA,NA,NA,NA,FALSE,0
"CH319DH","No premises",NA,NA,NA,NA,FALSE,0
"CH319DR","No premises",NA,NA,NA,NA,FALSE,0
"CH319DT","No premises",NA,NA,NA,NA,FALSE,0
"CH319DU","No premises",NA,NA,NA,NA,FALSE,0
"CH319DW","No premises",NA,NA,NA,NA,FALSE,0
"CH319DZ","No premises",NA,NA,NA,NA,FALSE,0
"CH319ES","No premises",NA,NA,NA,NA,FALSE,0
"CH319ET","No premises",NA,NA,NA,NA,FALSE,0
"CH319EZ","No premises",NA,NA,NA,NA,FALSE,0
"CH319FA","No premises",NA,NA,NA,NA,FALSE,0
"CH319AS","No premises",NA,NA,NA,NA,FALSE,0
"CH319BG","No premises",NA,NA,NA,NA,FALSE,0
"CH319BX","No premises",NA,NA,NA,NA,FALSE,0
"CH319DA","No premises",NA,NA,NA,NA,FALSE,0
"CH319DB","No premises",NA,NA,NA,NA,FALSE,0
"CH319DH","No premises",NA,NA,NA,NA,FALSE,0
"CH319DR","No premises",NA,NA,NA,NA,FALSE,0
"CH319DT","No premises",NA,NA,NA,NA,FALSE,0
"CH319DU","No premises",NA,NA,NA,NA,FALSE,0
"CH319DW","No premises",NA,NA,NA,NA,FALSE,0
"CH319DZ","No premises",NA,NA,NA,NA,FALSE,0
"CH319ES","No premises",NA,NA,NA,NA,FALSE,0
"CH319ET","No premises",NA,NA,NA,NA,FALSE,0
"CH319EZ","No premises",NA,NA,NA,NA,FALSE,0
"CH319FA","No premises",NA,NA,NA,NA,FALSE,0
