"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CM72AA","OK",TRUE,4.1,3.8,7.2,TRUE,9
"CM72AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM72AE","No Data",NA,NA,NA,NA,FALSE,0
"CM72AF","OK",FALSE,6.2,5.2,13.2,FALSE,12
"CM72AG","OK",TRUE,5.9,5.8,14.4,FALSE,17
"CM72AH","OK",FALSE,7.2,6.8,14.5,FALSE,9
"CM72AJ","OK",FALSE,5.8,6,6.5,FALSE,8
"CM72AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CM72AL","No Data",NA,NA,NA,NA,FALSE,0
"CM72AN","OK",FALSE,7.9,7.1,11.9,FALSE,4
"CM72AS","OK",FALSE,18.2,9.2,30,TRUE,7
"CM72ET","No premises",NA,NA,NA,NA,FALSE,0
"CM72FA","OK",TRUE,5.7,6.1,8.6,FALSE,40
"CM72FB","OK",TRUE,5.9,6.1,9.7,FALSE,27
"CM72FD","OK",FALSE,7.9,7.7,9.9,FALSE,6
"CM72FJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CM72GB","OK",TRUE,7.5,7.7,14.1,FALSE,8
"CM72GD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"CM72GD","No Data",NA,NA,NA,NA,TRUE,0
"CM72GE","OK",TRUE,5.3,6.1,7.9,FALSE,3
"CM72GT","OK",FALSE,13.7,5.5,30,TRUE,4
"CM72LD","OK",TRUE,25.2,17.5,30,TRUE,14
"CM72LF","OK",FALSE,26.8,18.1,30,TRUE,20
"CM72LG","OK",FALSE,30,30,30,TRUE,11
"CM72LH","OK",FALSE,17.5,17.6,30,TRUE,14
"CM72LJ","No premises",NA,NA,NA,NA,TRUE,0
"CM72LL","OK",FALSE,25.3,15.8,30,TRUE,19
"CM72LN","OK",FALSE,30,30,30,TRUE,3
"CM72LP","OK",FALSE,21.7,15.7,30,TRUE,31
"CM72LQ","OK",FALSE,30,15.9,30,TRUE,3
"CM72LR","OK",FALSE,21.1,14.8,30,TRUE,34
"CM72LS","OK",TRUE,16.6,8.7,30,TRUE,15
"CM72LT","OK",FALSE,21.1,16.1,30,TRUE,18
"CM72LU","OK",FALSE,26.1,12.8,30,TRUE,12
"CM72LW","OK",FALSE,19.5,13.2,30,TRUE,17
"CM72LX","OK",FALSE,18,13.6,30,TRUE,13
"CM72NA","OK",FALSE,26.5,13.4,30,TRUE,5
"CM72NB","OK",FALSE,30,16.4,30,TRUE,7
"CM72NE","OK",FALSE,30,19.7,30,TRUE,15
"CM72NF","OK",FALSE,24.4,17.6,30,TRUE,17
"CM72NG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"CM72NH","OK",FALSE,11.2,12.5,15.6,TRUE,12
"CM72NJ","OK",FALSE,15.1,11.7,30,TRUE,6
"CM72NL","OK",FALSE,30,27.1,30,TRUE,12
"CM72NN","OK",FALSE,30,27.4,30,TRUE,10
"CM72NP","OK",FALSE,30,30,30,TRUE,5
"CM72NQ","OK",FALSE,17.9,12.7,30,TRUE,32
"CM72NR","OK",FALSE,19.8,13.3,30,TRUE,30
"CM72NS","OK",FALSE,18.6,12.9,30,TRUE,8
