"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CR96AA","No premises",NA,NA,NA,NA,FALSE,0
"CR96AB","No premises",NA,NA,NA,NA,FALSE,0
"CR96AD","No premises",NA,NA,NA,NA,TRUE,0
"CR96AG","No premises",NA,NA,NA,NA,FALSE,0
"CR96AP","No premises",NA,NA,NA,NA,FALSE,0
"CR96AS","No premises",NA,NA,NA,NA,FALSE,0
"CR96AX","No premises",NA,NA,NA,NA,FALSE,0
"CR96AZ","No premises",NA,NA,NA,NA,FALSE,0
"CR96BE","No premises",NA,NA,NA,NA,FALSE,0
"CR96BN","No premises",NA,NA,NA,NA,FALSE,0
"CR96BR","No premises",NA,NA,NA,NA,TRUE,0
"CR96BU","No premises",NA,NA,NA,NA,TRUE,0
"CR96BX","No premises",NA,NA,NA,NA,FALSE,0
"CR96BY","No premises",NA,NA,NA,NA,FALSE,0
"CR96BZ","No premises",NA,NA,NA,NA,FALSE,0
"CR96DJ","No premises",NA,NA,NA,NA,FALSE,0
"CR96DS","No premises",NA,NA,NA,NA,FALSE,0
"CR96DY","No premises",NA,NA,NA,NA,FALSE,0
"CR96DZ","No premises",NA,NA,NA,NA,FALSE,0
"CR96EG","No premises",NA,NA,NA,NA,FALSE,0
"CR96EQ","No premises",NA,NA,NA,NA,FALSE,0
"CR96EU","No premises",NA,NA,NA,NA,TRUE,0
"CR96EY","No premises",NA,NA,NA,NA,FALSE,0
"CR96HA","No premises",NA,NA,NA,NA,FALSE,0
"CR96HB","No premises",NA,NA,NA,NA,FALSE,0
"CR96HD","No premises",NA,NA,NA,NA,TRUE,0
"CR96HL","No premises",NA,NA,NA,NA,FALSE,0
"CR96LL","No premises",NA,NA,NA,NA,FALSE,0
"CR96RB","No premises",NA,NA,NA,NA,FALSE,0
"CR96UH","No premises",NA,NA,NA,NA,FALSE,0
"CR96UJ","No premises",NA,NA,NA,NA,FALSE,0
"CR96UN","No premises",NA,NA,NA,NA,FALSE,0
"CR96UP","No premises",NA,NA,NA,NA,FALSE,0
"CR96UW","No premises",NA,NA,NA,NA,FALSE,0
"CR96UY","No premises",NA,NA,NA,NA,FALSE,0
"CR96WD","No premises",NA,NA,NA,NA,FALSE,0
"CR96WQ","No premises",NA,NA,NA,NA,FALSE,0
"CR96WY","No premises",NA,NA,NA,NA,FALSE,0
"CR96XD","No premises",NA,NA,NA,NA,FALSE,0
"CR96XQ","No premises",NA,NA,NA,NA,FALSE,0
"CR96YL","No premises",NA,NA,NA,NA,FALSE,0
"CR96YP","No premises",NA,NA,NA,NA,FALSE,0
"CR96ZD","No premises",NA,NA,NA,NA,FALSE,0
"CR96ZN","No premises",NA,NA,NA,NA,FALSE,0
