"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CV21AA","OK",TRUE,4.6,5,5.9,FALSE,7
"CV21AB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CV21AE","OK",TRUE,21.5,16.3,30,TRUE,8
"CV21AF","OK",FALSE,29.7,20,30,TRUE,12
"CV21AG","OK",FALSE,11.9,11.8,15.4,TRUE,5
"CV21AH","OK",FALSE,23.7,20,30,TRUE,7
"CV21AJ","OK",FALSE,30,30,30,TRUE,8
"CV21AL","OK",TRUE,30,15.8,30,TRUE,12
"CV21AN","OK",FALSE,27.9,20,30,TRUE,32
"CV21AP","OK",FALSE,27.4,16.1,30,TRUE,18
"CV21AQ","OK",TRUE,20.1,15.4,30,TRUE,17
"CV21AR","OK",FALSE,26,18.9,30,TRUE,4
"CV21AS","OK",FALSE,7.2,7.7,9.2,FALSE,17
"CV21AT","OK",TRUE,7.8,7.9,11.7,TRUE,23
"CV21AU","OK",TRUE,5.9,6.3,8.8,FALSE,13
"CV21AW","OK",FALSE,16.5,7.3,30,TRUE,23
"CV21AX","OK",FALSE,23.3,6.9,30,TRUE,20
"CV21AY","OK",TRUE,9.7,6,30,TRUE,9
"CV21AZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"CV21BA","OK",TRUE,24.9,9.8,30,TRUE,12
"CV21BB","OK",TRUE,28.5,25,30,TRUE,10
"CV21BD","OK",TRUE,10.9,9,30,TRUE,12
"CV21BE","OK",FALSE,20.8,20,30,TRUE,23
"CV21BG","OK",TRUE,21.8,6.2,30,TRUE,25
"CV21BL","OK",FALSE,21.4,30,30,TRUE,3
"CV21BN","OK",FALSE,5.9,5.6,8.8,TRUE,5
"CV21BP","OK",TRUE,10.8,6.2,30,TRUE,16
"CV21BQ","OK",TRUE,7.9,6.5,20,TRUE,13
"CV21BS","OK",TRUE,3.8,4.1,6.8,FALSE,5
"CV21BT","OK",FALSE,7.6,8,11.7,FALSE,25
"CV21BW","OK",TRUE,26,20,30,TRUE,19
